county,subcounty,division,location,sublocation,Village
Trans-Nzoia,Cheranganyi,Kaplamai,Motosiet,Motosiet,Almer A_Motosiet
Trans-Nzoia,Cheranganyi,Kaplamai,Motosiet,Motosiet,Almer B
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Kapkoi Sisal,Amagoro line moja A
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,KACHIBORA,AMANI
Trans-Nzoia,Kiminini,Kiminini,Weonia,Weonia ,Amani Central
Trans-Nzoia,Kiminini,Kiminini,Weonia,Weonia ,Babarton
Trans-Nzoia,Kiminini,Waitaluk,Waitaluk,Mabonde ,Baraka
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Baraton Misemwa
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,Karara,Bata mihiu B
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Big tree center
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Big tree centre
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Birubda mitoto c
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Birunda Central C
Trans-Nzoia,Kiminini,Kiminini,Matunda,Matunda,birunda centre
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Birunda Mitoto A
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Birunda mitoto B
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Birunda mitoto c
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Birundu Sikhendu B
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,KACHIBORA,BOMBO
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Bondeni
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,Karara,Bororiet A_Karara
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,Karara,Bororiet B_Karara
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,Karara,Bororiet Sabwani_Karara
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,Karara,Botwa Redcross_Karara
Trans-Nzoia,Cheranganyi,Kaplamai,Kaplamai,Karara,Botwa Sabwani
Trans-Nzoia,Cheranganyi,Kaplamai,Motosiet,Motosiet,Bukembe_Motosiet
Trans-Nzoia,Kiminini,Kiminini,Baraton,Baraton,Bungali
Trans-Nzoia,Kiminini,Kiminini,Weonia,Weonia ,Buyanji 
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,KACHIBORA,CANAAN
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,Kachibora,Canaan 'B'_Kachibora
Trans-Nzoia,Kiminini,Kiminini,Weonia,Weonia ,Chalicha Central 
Trans-Nzoia,Kiminini,Kiminini,Weonia,Weonia ,Chalicha Kamkuywa
Trans-Nzoia,Kiminini,Kiminini,Weonia,Weonia ,Chalicha Namusole
Trans-Nzoia,Cheranganyi,Cherenganyi,Cherenganyi,Nzoia,Chaptil_Nzoia
