No.	County	County ID	District Name	District ID	Division Name	Division ID	School Name	School Id	MOE code	School Type	Treatment Type	Closed	Total Number of Children
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Aisaik	004-007-AI01	None	STH	public	None	257
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Aonet Ac	004-007-AO01	None	STH	private	None	108
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Balek B	004-007-BA01	None	STH	public	None	465
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Baraka	004-007-BA03	None	STH	public	None	383
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Barekeiyat	004-007-BA05	None	STH	public	None	185
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Bariwot Aca	004-007-BA04	None	STH	private	None	62
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Belgut	004-007-BE02	None	STH	public	None	320
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Bilelga	004-007-BE01	None	STH	public	None	220
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Bomet Christian	004-007-BO02	None	STH	private	None	38
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Bomet Pry	004-007-BO01	None	STH	public	None	638
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Bongo	004-007-BO04	None	STH	public	None	169
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Bonyoriot	004-007-BO03	None	STH	public	None	152
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Bredals	004-007-BR01	None	STH	private	None	136
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Brilliant Kids	004-007-BR03	None	STH	private	None	106
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Bukacha	004-007-BU01	None	STH	public	None	549
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chebamban	004-007-CH22	None	STH	public	None	132
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chebisian	004-007-CH27	None	STH	public	None	428
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Cheboingong	004-007-CH02	None	STH	public	None	282
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chebunbungo	004-007-CH24	None	STH	public	None	74
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Cheche	004-007-CH20	None	STH	private	None	221
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chelsa	004-007-CH04	None	STH	private	None	276
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chematich	004-007-CH05	None	STH	public	None	200
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chemomul	004-007-CH50	None	STH	private	None	213
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chemorut	004-007-CH51	None	STH	private	None	101
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chepkochon Son	004-007-SU01	None	STH	private	None	48
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chepkolon	004-007-CH10	None	STH	public	None	504
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chepkongony	004-007-CH12	None	STH	public	None	282
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chepkurbet	004-007-CH13	None	STH	public	None	214
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chepngaina	004-007-CH14	None	STH	public	None	366
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Cheptembe	004-007-CH15	None	STH	public	None	333
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Cheptuiyet	004-007-CH16	None	STH	public	None	435
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chesoen	004-007-CH17	None	STH	public	None	695
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chesoen Aca	004-007-CH18	None	STH	private	None	46
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Cheswerta	004-007-CH19	None	STH	public	None	132
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Choronok Greenfield	004-007-GR56	None	STH	private	None	90
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Chuyat	004-007-CH21	None	STH	public	None	213
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Coast Bay	004-007-CO02	None	STH	private	None	153
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Davian	004-007-DI01	None	STH	private	None	85
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Davsi	004-007-DA01	None	STH	private	None	257
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Dr Sitory M	004-007-DR01	None	STH	public	None	392
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Ebenezer	004-007-EB01	None	STH	private	None	265
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Ecla	004-007-EC01	None	STH	private	None	287
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Emkwenbor	004-007-EM01	None	STH	private	None	212
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Emmaus Christian	004-007-EM02	None	STH	private	None	236
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Ernest Memorial	004-007-ER01	None	STH	private	None	178
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Fpfk	004-007-FP01	None	STH	private	None	188
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Golden Child	004-007-GO02	None	STH	private	None	118
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Greenland	004-007-GR01	None	STH	private	None	218
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Irwaga	004-007-IR01	None	STH	public	None	230
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Ivyana	004-007-IV01	None	STH	private	None	216
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Jobes Academy	004-007-JO53	None	STH	private	None	120
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Jonches Aca	004-007-JO01	None	STH	private	None	251
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Jonjo Star	004-007-JO03	None	STH	private	None	46
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Judea Academy	004-007-JU01	None	STH	private	None	199
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Junior Amb	004-007-JU02	None	STH	private	None	161
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Kabungut	004-007-KA02	None	STH	public	None	481
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Kabusare	004-007-KA03	None	STH	public	None	281
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Kamobiriri	004-007-KA05	None	STH	public	None	367
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Kamogoro Mission	004-007-KA01	None	STH	None	None	
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Kamogoso Pry	004-007-KA06	None	STH	public	None	1012
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Kamoyo	004-007-KA07	None	STH	public	None	103
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Kapcheluch B	004-007-KA58	None	STH	public	None	231
	Bomet	COUN02	Bomet Central	2012300	Central	DIV000602	Kapkesiego	004-007-KA09	None	STH	public	None	206
