id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year
,BSA,13,1,6,2010
,BSA,12,1,6,2010
,BSA,16,1,6,2010
,BSA,16,1,6,2010
,BSA,21,1,6,2010
,BSA,16,1,6,2010
,BSA,21,1,6,2010
,BSA,11,1,6,2010
,BSA,17,1,6,2010
,BSA,19,1,6,2010
,BSA,16,1,6,2010
,BSA,23,1,6,2010
,BSA,18,1,6,2010
,BSA,12,1,6,2010
,BSA,22,1,6,2010
,BSA,15,1,9,2010
,BSA,29,1,9,2010
,BSA,15,1,9,2010
,BSA,21,1,9,2010
,BSA,15,1,3,2011
,BSA,20,1,2,2011
,BSA,14,1,3,2011
,BSA,27,1,2,2011
,BSA,23,1,2,2011
,BSA,15,1,3,2011
,KKM,24,1,3,2011
,BSA,23,1,3,2011
,BSA,25,1,3,2011
,BSA,14,1,3,2011
,KKM2,16,1,3,2011
,KKM2,19,1,3,2011
,BSA,15,1,3,2011
,BSA,14,1,3,2011
,BSA,22,1,3,2011
,BSA,16,1,2,2011
,BSA,13,1,3,2011
,BSA,14,1,3,2011
,BSA,51,1,3,2011
,BSA,18,1,2,2011
,KKM,12,1,2,2011
,BSA,25,1,2,2011
,BSA,24,1,2,2011
,BSA,35,1,2,2011
,BSA,28,1,2,2011
,BSA,18,1,3,2011
,KKM2,16,1,3,2011
,KKM2,14,1,3,2011
,BSA,12,1,3,2011
,BSA,16,1,3,2011
,BSA,19,1,3,2011
,KKM,30,1,3,2011
,BSA,16,1,2,2011
,BSA,14,1,2,2011
,BSA,12,1,2,2011
,BSA,11,1,2,2011
,KKM2,12,1,3,2011
,KKM2,20,1,3,2011
,KKM2,15,1,3,2011
,KKM2,19,1,3,2011
,KKM2,16,1,3,2011
,BSA,28,1,2,2011
,KKM,35,1,2,2011
,KKM,17,1,2,2011
,BSA,32,1,2,2011
,BSA,11,1,2,2011
,BSA,15,1,2,2011
,KKM,25,1,3,2011
,KKM2,10,1,3,2011
,KKM2,22,1,3,2011
,BSA,16,1,3,2011
,KKM2,24,1,3,2011
,KKM2,12,1,3,2011
,BSA,18,1,3,2011
,BSA,14,1,2,2011
,BSA,15,1,2,2011
,BSA,17,1,2,2011
,BSA,27,1,3,2011
,BSA,18,1,3,2011
,BSA,24,1,3,2011
,BSA,25,1,3,2011
,BSA,12,1,3,2011
,BSA,18,1,3,2011
,BSA,12,1,3,2011
,BSA,22,1,3,2011
,BSA,11,1,3,2011
,BSA,28,1,3,2011
,BSA,16,1,2,2011
,KKM,30,1,3,2011
,BSA,18,1,2,2011
,BSA,27,1,2,2011
,BSA,27,1,2,2011
,KKM,15,1,2,2011
,BSA,11,1,2,2011
,BSA,15,1,3,2011
,BSA,23,1,2,2011
,BSA,19,1,2,2011
,BSA,20,1,3,2011
,KKM,21,1,3,2011
,BSA,10,1,3,2011
,BSA,15,1,3,2011
,KKM,15,1,3,2011
,BSA,23,1,3,2011
,BSA,19,1,3,2011
,BSA,18,1,3,2011
,KKM,14,1,3,2011
,KKM,13,1,3,2011
,BSA,21,1,2,2011
,BSA,32,1,2,2011
,BSA,21,1,2,2011
,BSA,31,1,3,2011
,BSA,31,1,2,2011
,KKM2,17,1,3,2011
,KKM2,19,1,3,2011
,KKM2,18,1,3,2011
,BSA,15,1,8,2010
,BSA,15,1,8,2010
,BSA,8,1,8,2010
,BSA,17,1,8,2010
,BSA,22,1,8,2010
,BSA,22,1,8,2010
,BSA,20,1,8,2010
,BSA,17,1,8,2010
,BSA,15,1,8,2010
,BSA,19,1,8,2010
,BSA,16,1,8,2010
,KKM2,16,1,8,2010
,BSA,23,1,8,2010
,BSA,14,1,8,2010
,BSA,16,1,8,2010
,BSA,12,1,11,2010
,BSA,18,1,11,2010
,BSA,21,1,11,2010
,BSA,31,1,11,2010
,BSA,19,1,11,2010
,BSA,16,1,11,2010
,BSA,10,1,11,2010
,BSA,20,1,11,2010
,BSA,40,1,11,2010
,BSA,16,1,11,2010
,BSA,28,1,11,2010
,BSA,22,1,11,2010
,BSA,38,1,11,2010
,BSA,33,1,11,2010
,BSA,14,1,11,2010
,BSA,14,1,11,2010
,BSA,18,1,11,2010
,BSA,18,1,11,2010
,BSA,24,1,11,2010
,BSA,28,1,11,2010
,BSA,16,1,11,2010
,BSA,17,1,11,2010
,BSA,18,1,11,2010
,BSA,16,1,11,2010
,BSA,26,1,11,2010
,KKM,13,1,5,2014
,KKM,14,1,5,2014
,KKM,11,1,5,2014
,KKM,19,1,5,2014
,KKM,25,1,5,2014
,KKM,16,1,5,2014
,KKM,15,1,5,2014
,KKM,6,1,5,2014
,VHG,16,1,7,2011
,VHG,21,1,6,2011
,KKM,23,1,6,2011
,KKM,20,1,6,2011
,KKM,14,1,5,2014
,VHG,18,1,6,2011
,KKM,24,1,6,2011
,KKM,18,1,6,2011
,VHG,16,1,7,2011
,KKM,7,1,5,2014
,VHG,18,1,7,2011
,KKM,22,1,5,2014
,KKM,10,1,5,2014
,KKM,20,1,5,2014
,KKM,12,1,5,2014
,KKM,19,1,5,2014
,KKM,22,1,5,2014
,KKM,19,1,5,2014
,KKM,16,1,5,2014
,KKM,15,1,5,2014
,KKM,15,1,6,2011
,KKM,23,1,5,2014
,VHG,15,1,7,2011
,KKM,10,1,5,2014
,KKM,16,1,5,2014
,KKM,21,1,5,2014
,KKM,16,1,5,2014
,KKM,19,1,5,2014
,KKM,16,1,5,2014
,KKM,19,1,5,2014
,KKM,16,1,6,2011
,KKM,16,1,5,2014
,KKM,16,1,5,2014
,KKM,15,1,5,2014
,KKM,15,1,5,2014
,KKM,14,1,5,2014
,KKM,15,1,5,2014
,KKM,13,1,6,2011
,KKM,33,1,6,2011
,KKM,15,1,6,2011
,KKM,18,1,5,2014
,VHG,13,1,7,2011
,KKM,16,1,3,2014
,KKM,15,1,6,2011
,VHG,20,1,7,2011
,KKM,15,1,5,2014
,KKM,18,1,5,2014
,BSA,14,1,12,2010
,BSA,13,1,12,2010
,BSA,14,1,12,2010
,BSA,16,1,12,2010
,BSA,19,1,12,2010
,BSA,19,1,12,2010
,BSA,15,1,12,2010
,BSA,12,1,11,2010
,BGM,20,1,3,2011
,BGM,42,1,3,2011
,BGM,25,1,5,2013
,BGM,21,1,11,2012
,BGM,11,1,10,2012
,BGM,32,1,3,2011
,BGM,16,1,10,2012
,BGM,15,1,3,2011
,BGM,13,1,10,2012
,BGM,24,1,3,2011
,BGM,18,1,3,2011
,BGM,21,1,5,2013
,BGM,22,1,3,2011
,BGM,49,1,11,2012
,BGM,28,1,11,2012
,BGM,28,1,11,2012
,BGM,13,1,11,2012
,BGM,11,1,11,2012
,BGM,15,1,3,2011
,BGM,12,1,11,2012
,BGM,26,1,3,2011
,BGM,30,1,6,2012
,BGM,15,1,3,2011
,BGM,12,1,11,2012
,BGM,16,1,11,2012
,BGM,21,1,5,2012
,BGM,25,1,3,2011
,BGM,15,1,3,2011
,BGM,13,1,3,2011
,BGM,25,1,5,2013
,BGM,18,1,5,2013
