id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,13,BSA,6,2010,1
,12,BSA,6,2010,1
,16,BSA,6,2010,1
,16,BSA,6,2010,1
,21,BSA,6,2010,1
,16,BSA,6,2010,1
,21,BSA,6,2010,1
,11,BSA,6,2010,1
,17,BSA,6,2010,1
,19,BSA,6,2010,1
,16,BSA,6,2010,1
,23,BSA,6,2010,1
,18,BSA,6,2010,1
,12,BSA,6,2010,1
,22,BSA,6,2010,1
,15,BSA,9,2010,1
,29,BSA,9,2010,1
,15,BSA,9,2010,1
,21,BSA,9,2010,1
,15,BSA,3,2011,1
,20,BSA,2,2011,1
,14,BSA,3,2011,1
,27,BSA,2,2011,1
,23,BSA,2,2011,1
,15,BSA,3,2011,1
,24,KKM,3,2011,1
,23,BSA,3,2011,1
,25,BSA,3,2011,1
,14,BSA,3,2011,1
,16,KKM2,3,2011,1
,19,KKM2,3,2011,1
,15,BSA,3,2011,1
,14,BSA,3,2011,1
,22,BSA,3,2011,1
,16,BSA,2,2011,1
,13,BSA,3,2011,1
,14,BSA,3,2011,1
,51,BSA,3,2011,1
,18,BSA,2,2011,1
,12,KKM,2,2011,1
,25,BSA,2,2011,1
,24,BSA,2,2011,1
,35,BSA,2,2011,1
,28,BSA,2,2011,1
,18,BSA,3,2011,1
,16,KKM2,3,2011,1
,14,KKM2,3,2011,1
,12,BSA,3,2011,1
,16,BSA,3,2011,1
,19,BSA,3,2011,1
,30,KKM,3,2011,1
,16,BSA,2,2011,1
,14,BSA,2,2011,1
,12,BSA,2,2011,1
,11,BSA,2,2011,1
,12,KKM2,3,2011,1
,20,KKM2,3,2011,1
,15,KKM2,3,2011,1
,19,KKM2,3,2011,1
,16,KKM2,3,2011,1
,28,BSA,2,2011,1
,35,KKM,2,2011,1
,17,KKM,2,2011,1
,32,BSA,2,2011,1
,11,BSA,2,2011,1
,15,BSA,2,2011,1
,25,KKM,3,2011,1
,10,KKM2,3,2011,1
,22,KKM2,3,2011,1
,16,BSA,3,2011,1
,24,KKM2,3,2011,1
,12,KKM2,3,2011,1
,18,BSA,3,2011,1
,14,BSA,2,2011,1
,15,BSA,2,2011,1
,17,BSA,2,2011,1
,27,BSA,3,2011,1
,18,BSA,3,2011,1
,24,BSA,3,2011,1
,25,BSA,3,2011,1
,12,BSA,3,2011,1
,18,BSA,3,2011,1
,12,BSA,3,2011,1
,22,BSA,3,2011,1
,11,BSA,3,2011,1
,28,BSA,3,2011,1
,16,BSA,2,2011,1
,30,KKM,3,2011,1
,18,BSA,2,2011,1
,27,BSA,2,2011,1
,27,BSA,2,2011,1
,15,KKM,2,2011,1
,11,BSA,2,2011,1
,15,BSA,3,2011,1
,23,BSA,2,2011,1
,19,BSA,2,2011,1
,20,BSA,3,2011,1
,21,KKM,3,2011,1
,10,BSA,3,2011,1
,15,BSA,3,2011,1
,15,KKM,3,2011,1
,23,BSA,3,2011,1
,19,BSA,3,2011,1
,18,BSA,3,2011,1
,14,KKM,3,2011,1
,13,KKM,3,2011,1
,21,BSA,2,2011,1
,32,BSA,2,2011,1
,21,BSA,2,2011,1
,31,BSA,3,2011,1
,31,BSA,2,2011,1
,17,KKM2,3,2011,1
,19,KKM2,3,2011,1
,18,KKM2,3,2011,1
,15,BSA,8,2010,1
,15,BSA,8,2010,1
,8,BSA,8,2010,1
,17,BSA,8,2010,1
,22,BSA,8,2010,1
,22,BSA,8,2010,1
,20,BSA,8,2010,1
,17,BSA,8,2010,1
,15,BSA,8,2010,1
,19,BSA,8,2010,1
,16,BSA,8,2010,1
,16,KKM2,8,2010,1
,23,BSA,8,2010,1
,14,BSA,8,2010,1
,16,BSA,8,2010,1
,12,BSA,11,2010,1
,18,BSA,11,2010,1
,21,BSA,11,2010,1
,31,BSA,11,2010,1
,19,BSA,11,2010,1
,16,BSA,11,2010,1
,10,BSA,11,2010,1
,20,BSA,11,2010,1
,40,BSA,11,2010,1
,16,BSA,11,2010,1
,28,BSA,11,2010,1
,22,BSA,11,2010,1
,38,BSA,11,2010,1
,33,BSA,11,2010,1
,14,BSA,11,2010,1
,14,BSA,11,2010,1
,18,BSA,11,2010,1
,18,BSA,11,2010,1
,24,BSA,11,2010,1
,28,BSA,11,2010,1
,16,BSA,11,2010,1
,17,BSA,11,2010,1
,18,BSA,11,2010,1
,16,BSA,11,2010,1
,26,BSA,11,2010,1
,13,KKM,5,2014,1
,14,KKM,5,2014,1
,11,KKM,5,2014,1
,19,KKM,5,2014,1
,25,KKM,5,2014,1
,16,KKM,5,2014,1
,15,KKM,5,2014,1
,6,KKM,5,2014,1
,16,VHG,7,2011,1
,21,VHG,6,2011,1
,23,KKM,6,2011,1
,20,KKM,6,2011,1
,14,KKM,5,2014,1
,18,VHG,6,2011,1
,24,KKM,6,2011,1
,18,KKM,6,2011,1
,16,VHG,7,2011,1
,7,KKM,5,2014,1
,18,VHG,7,2011,1
,22,KKM,5,2014,1
,10,KKM,5,2014,1
,20,KKM,5,2014,1
,12,KKM,5,2014,1
,19,KKM,5,2014,1
,22,KKM,5,2014,1
,19,KKM,5,2014,1
,16,KKM,5,2014,1
,15,KKM,5,2014,1
,15,KKM,6,2011,1
,23,KKM,5,2014,1
,15,VHG,7,2011,1
,10,KKM,5,2014,1
,16,KKM,5,2014,1
,21,KKM,5,2014,1
,16,KKM,5,2014,1
,19,KKM,5,2014,1
,16,KKM,5,2014,1
,19,KKM,5,2014,1
,16,KKM,6,2011,1
,16,KKM,5,2014,1
,16,KKM,5,2014,1
,15,KKM,5,2014,1
,15,KKM,5,2014,1
,14,KKM,5,2014,1
,15,KKM,5,2014,1
,13,KKM,6,2011,1
,33,KKM,6,2011,1
,15,KKM,6,2011,1
,18,KKM,5,2014,1
,13,VHG,7,2011,1
,16,KKM,3,2014,1
,15,KKM,6,2011,1
,20,VHG,7,2011,1
,15,KKM,5,2014,1
,18,KKM,5,2014,1
,14,BSA,12,2010,1
,13,BSA,12,2010,1
,14,BSA,12,2010,1
,16,BSA,12,2010,1
,19,BSA,12,2010,1
,19,BSA,12,2010,1
,15,BSA,12,2010,1
,12,BSA,11,2010,1
,20,BGM,3,2011,1
,42,BGM,3,2011,1
,25,BGM,5,2013,1
,21,BGM,11,2012,1
,11,BGM,10,2012,1
,32,BGM,3,2011,1
,16,BGM,10,2012,1
,15,BGM,3,2011,1
,13,BGM,10,2012,1
,24,BGM,3,2011,1
,18,BGM,3,2011,1
,21,BGM,5,2013,1
,22,BGM,3,2011,1
,49,BGM,11,2012,1
,28,BGM,11,2012,1
,28,BGM,11,2012,1
,13,BGM,11,2012,1
,11,BGM,11,2012,1
,15,BGM,3,2011,1
,12,BGM,11,2012,1
,26,BGM,3,2011,1
,30,BGM,6,2012,1
,15,BGM,3,2011,1
,12,BGM,11,2012,1
,16,BGM,11,2012,1
,21,BGM,5,2012,1
,25,BGM,3,2011,1
,15,BGM,3,2011,1
,13,BGM,3,2011,1
,25,BGM,5,2013,1
,18,BGM,5,2013,1
