ID,cem301_attendees_total,cem011 prgrm,month,year,country
,37,Butaleja,2,2015,2
,23,Butaleja,2,2015,2
,45,Butaleja,12,2014,2
,41,Butaleja,2,2015,2
,44,Butaleja,1,2015,2
,65,Butaleja,12,2014,2
,53,Butaleja,1,2015,2
,34,Butaleja,12,2014,2
,34,Butaleja,1,2015,2
,42,Butaleja,2,2015,2
,34,Butaleja,12,2014,2
,35,Butaleja,12,2014,2
,18,Butaleja,2,2015,2
,35,Butaleja,1,2015,2
,37,Butaleja,1,2015,2
,38,Butaleja,1,2015,2
,34,Butaleja,1,2015,2
,33,Butaleja,1,2015,2
,46,Butaleja,1,2015,2
,40,Butaleja,12,2014,2
,27,Butaleja,2,2015,2
,30,Butaleja,12,2014,2
,38,Butaleja,12,2014,2
,34,Butaleja,1,2015,2
,28,Butaleja,2,2015,2
,34,Butaleja,2,2015,2
,47,Butaleja,12,2014,2
,48,Butaleja,12,2014,2
,42,Butaleja,2,2015,2
,31,Butaleja,12,2014,2
,29,Butaleja,12,2014,2
,48,Butaleja,1,2015,2
,30,Butaleja,2,2015,2
,34,Butaleja,2,2015,2
,21,Butaleja,2,2015,2
,29,Butaleja,1,2015,2
,40,Butaleja,12,2014,2
,34,Butaleja,12,2014,2
,45,Butaleja,12,2014,2
,36,Butaleja,2,2015,2
,50,Butaleja,1,2015,2
,57,Butaleja,12,2014,2
,49,Butaleja,12,2014,2
,33,Butaleja,2,2015,2
,53,Butaleja,1,2015,2
,38,Butaleja,2,2015,2
,28,Butaleja,2,2015,2
,17,Butaleja,12,2014,2
,50,Butaleja,1,2015,2
,53,Butaleja,1,2015,2
,62,Butaleja,2,2015,2
,39,Butaleja,12,2014,2
,36,Butaleja,1,2015,2
,26,Butaleja,2,2015,2
,47,Butaleja,12,2014,2
,46,Butaleja,1,2015,2
,40,Butaleja,2,2015,2
,34,Butaleja,2,2015,2
,41,Butaleja,12,2014,2
,22,Butaleja,12,2014,2
,39,Butaleja,12,2014,2
,28,Butaleja,2,2015,2
,50,Butaleja,12,2014,2
,42,Butaleja,12,2014,2
,39,Butaleja,1,2015,2
,30,Butaleja,1,2015,2
,22,Butaleja,1,2015,2
,31,Butaleja,1,2015,2
,25,Butaleja,1,2015,2
,73,Butaleja,12,2014,2
,56,Butaleja,12,2014,2
,20,Butaleja,12,2014,2
,38,Butaleja,12,2014,2
,61,Butaleja,12,2014,2
,46,Butaleja,12,2014,2
,72,Butaleja,12,2014,2
,44,Butaleja,12,2014,2
,29,Butaleja,12,2014,2
,36,Butaleja,2,2015,2
,37,Butaleja,1,2015,2
,24,Butaleja,1,2015,2
,151,Butaleja,2,2015,2
,26,Butaleja,2,2015,2
,76,Butaleja,1,2015,2
,40,Butaleja,12,2014,2
,30,Butaleja,1,2015,2
,20,Butaleja,2,2015,2
,50,Butaleja,12,2014,2
,85,Butaleja,12,2014,2
,50,Butaleja,1,2015,2
,32,Butaleja,2,2015,2
,40,Butaleja,2,2015,2
,27,Butaleja,2,2015,2
,53,Butaleja,12,2014,2
,36,Butaleja,1,2015,2
,36,Butaleja,1,2015,2
,52,Butaleja,2,2015,2
,25,Butaleja,12,2014,2
,27,Butaleja,12,2014,2
,36,Butaleja,2,2015,2
,25,Butaleja,1,2015,2
,52,Butaleja,12,2014,2
,42,Butaleja,1,2015,2
,33,Butaleja,12,2014,2
,70,Butaleja,12,2014,2
,46,Butaleja,1,2015,2
,34,Butaleja,2,2015,2
,44,Butaleja,1,2015,2
,55,Butaleja,12,2014,2
,36,Butaleja,1,2015,2
,26,Butaleja,2,2015,2
,46,Butaleja,2,2015,2
,44,Butaleja,2,2015,2
,18,Butaleja,12,2014,2
,41,Butaleja,12,2014,2
,27,Butaleja,2,2015,2
,42,Butaleja,2,2015,2
,37,Butaleja,1,2015,2
,35,Butaleja,12,2014,2
,46,Butaleja,1,2015,2
,43,Butaleja,1,2015,2
,31,Butaleja,2,2015,2
,42,Butaleja,12,2014,2
,18,Butaleja,2,2015,2
,56,Butaleja,1,2015,2
,32,Butaleja,1,2015,2
,60,Butaleja,12,2014,2
,36,Butaleja,2,2015,2
,34,Butaleja,2,2015,2
,18,Butaleja,2,2015,2
,49,Butaleja,12,2014,2
,31,Butaleja,2,2015,2
,34,Butaleja,1,2015,2
,45,Butaleja,1,2015,2
,51,Butaleja,12,2014,2
,42,Butaleja,12,2014,2
,32,Butaleja,1,2015,2
,70,Butaleja,1,2015,2
,34,Butaleja,1,2015,2
,55,Butaleja,1,2015,2
,50,Butaleja,1,2015,2
,56,Butaleja,1,2015,2
,31,Butaleja,1,2015,2
,33,Butaleja,1,2015,2
,32,Butaleja,1,2015,2
,61,Butaleja,1,2015,2
,21,Butaleja,1,2015,2
,30,Butaleja,12,2014,2
,26,Butaleja,1,2015,2
,42,Butaleja,12,2014,2
,30,Butaleja,1,2015,2
,68,Butaleja,2,2015,2
,50,Butaleja,1,2015,2
,30,Butaleja,2,2015,2
,40,Butaleja,1,2015,2
,26,Butaleja,1,2015,2
,41,Butaleja,1,2015,2
,44,Butaleja,1,2015,2
,30,Butaleja,1,2015,2
,41,Butaleja,12,2014,2
,63,Butaleja,1,2015,2
,55,Butaleja,12,2014,2
,70,Butaleja,12,2014,2
,23,Butaleja,2,2015,2
,36,Butaleja,12,2014,2
,24,Butaleja,2,2015,2
,34,Butaleja,1,2015,2
,47,Butaleja,1,2015,2
,59,Butaleja,12,2014,2
,35,Butaleja,1,2015,2
,40,Butaleja,12,2014,2
,37,Butaleja,1,2015,2
,34,Butaleja,12,2014,2
,42,Butaleja,12,2014,2
,23,Butaleja,1,2015,2
,43,Butaleja,12,2014,2
,47,Butaleja,12,2014,2
,29,Butaleja,12,2014,2
,33,Butaleja,12,2014,2
,62,Butaleja,1,2015,2
,27,Butaleja,2,2015,2
,60,Butaleja,1,2015,2
,28,Butaleja,12,2014,2
,26,Butaleja,12,2014,2
,28,Butaleja,12,2014,2
,34,Butaleja,12,2014,2
,34,Butaleja,1,2015,2
,44,Butaleja,12,2014,2
,49,Butaleja,1,2015,2
,45,Butaleja,12,2014,2
,60,Butaleja,2,2015,2
,34,Butaleja,1,2015,2
,37,Butaleja,1,2015,2
,34,Butaleja,2,2015,2
,73,Butaleja,12,2014,2
,57,Butaleja,12,2014,2
,29,Butaleja,12,2014,2
,49,Butaleja,12,2014,2
,34,Butaleja,12,2014,2
,47,Butaleja,2,2015,2
,31,Butaleja,12,2014,2
,34,Butaleja,12,2014,2
,26,Butaleja,12,2014,2
,72,Butaleja,12,2014,2
,32,Butaleja,1,2015,2
,30,Butaleja,12,2014,2
,31,Butaleja,12,2014,2
,31,Butaleja,1,2015,2
,50,Butaleja,12,2014,2
,32,Butaleja,1,2015,2
,45,Butaleja,1,2015,2
,45,Butaleja,12,2014,2
,40,Butaleja,1,2015,2
,32,Butaleja,2,2015,2
,26,Butaleja,12,2014,2
,40,Butaleja,1,2015,2
,35,Butaleja,1,2015,2
,49,Butaleja,12,2014,2
,34,Butaleja,12,2014,2
,45,Butaleja,2,2015,2
,47,Butaleja,2,2015,2
,51,Butaleja,1,2015,2
,42,Butaleja,1,2015,2
,50,Butaleja,1,2015,2
,33,Butaleja,12,2014,2
,34,Butaleja,1,2015,2
,54,Butaleja,1,2015,2
,23,Butaleja,12,2014,2
,20,Butaleja,1,2015,2
,62,Butaleja,12,2014,2
,49,Butaleja,2,2015,2
,59,Butaleja,12,2014,2
,38,Butaleja,1,2015,2
,31,Butaleja,1,2015,2
,47,Butaleja,1,2015,2
,32,Butaleja,12,2014,2
,31,Butaleja,2,2015,2
,34,Butaleja,12,2014,2
,36,Butaleja,2,2015,2
,41,Butaleja,2,2015,2
,54,Butaleja,1,2015,2
,20,Butaleja,12,2014,2
,28,Butaleja,12,2014,2
,45,Butaleja,12,2014,2
,23,Butaleja,2,2015,2
,74,Butaleja,12,2014,2
,40,Butaleja,12,2014,2
,40,Butaleja,2,2015,2
,32,Butaleja,12,2014,2
,46,Butaleja,12,2014,2
,29,Butaleja,1,2015,2
,67,Butaleja,1,2015,2
,45,Butaleja,2,2015,2
,51,Butaleja,1,2015,2
,53,Butaleja,12,2014,2
,57,Butaleja,1,2015,2
,52,Butaleja,12,2014,2
,85,Butaleja,1,2015,2
,30,Butaleja,1,2015,2
,32,Butaleja,12,2014,2
,55,Butaleja,12,2014,2
,44,Butaleja,12,2014,2
,62,Butaleja,1,2015,2
,37,Butaleja,2,2015,2
,50,Butaleja,12,2014,2
,39,Butaleja,1,2015,2
,43,Butaleja,12,2014,2
,43,Butaleja,1,2015,2
,29,Butaleja,2,2015,2
,34,Butaleja,2,2015,2
,34,Butaleja,2,2015,2
,34,Butaleja,2,2015,2
,26,Butaleja,2,2015,2
,34,Butaleja,2,2015,2
,44,Butaleja,1,2015,2
,41,Butaleja,2,2015,2
,18,Butaleja,1,2015,2
,51,Butaleja,2,2015,2
,42,Butaleja,12,2014,2
,52,Butaleja,12,2014,2
,35,Butaleja,1,2015,2
,25,Butaleja,12,2014,2
,22,Butaleja,2,2015,2
,56,Butaleja,2,2015,2
,58,Butaleja,2,2015,2
,25,Butaleja,12,2014,2
,40,Butaleja,1,2015,2
,33,Butaleja,2,2015,2
,60,Butaleja,1,2015,2
,34,Butaleja,12,2014,2
,43,Butaleja,1,2015,2
,18,Butaleja,12,2014,2
,48,Butaleja,2,2015,2
,28,Butaleja,12,2014,2
,25,Butaleja,1,2015,2
,38,Butaleja,1,2015,2
,27,Butaleja,2,2015,2
,22,Butaleja,1,2015,2
,34,Butaleja,1,2015,2
,45,Butaleja,12,2014,2
,41,Butaleja,1,2015,2
,38,Butaleja,2,2015,2
,26,Butaleja,2,2015,2
,15,Butaleja,2,2015,2
,50,Butaleja,12,2014,2
,43,Butaleja,12,2014,2
,68,Butaleja,12,2014,2
,33,Butaleja,2,2015,2
,46,Butaleja,12,2014,2
,108,Butaleja,1,2015,2
,28,Butaleja,1,2015,2
,27,Butaleja,12,2014,2
,33,Butaleja,12,2014,2
,41,Butaleja,12,2014,2
,22,Butaleja,2,2015,2
,43,Butaleja,2,2015,2
,36,Butaleja,1,2015,2
,27,Butaleja,1,2015,2
,30,Butaleja,2,2015,2
,34,Butaleja,12,2014,2
,23,Butaleja,2,2015,2
,28,Butaleja,12,2014,2
,26,Butaleja,12,2014,2
,51,Butaleja,1,2015,2
,41,Butaleja,1,2015,2
,22,Butaleja,2,2015,2
,45,Butaleja,1,2015,2
,24,Butaleja,12,2014,2
,36,Butaleja,12,2014,2
,22,Butaleja,2,2015,2
,37,Butaleja,1,2015,2
,46,Butaleja,1,2015,2
,44,Butaleja,1,2015,2
,68,Butaleja,12,2014,2
,51,Butaleja,2,2015,2
,51,Butaleja,1,2015,2
,55,Butaleja,1,2015,2
,25,Butaleja,2,2015,2
,31,Butaleja,2,2015,2
,26,Butaleja,1,2015,2
,29,Butaleja,12,2014,2
,20,Butaleja,2,2015,2
,45,Butaleja,2,2015,2
,20,Butaleja,2,2015,2
,37,Butaleja,2,2015,2
,47,Butaleja,2,2015,2
,34,Butaleja,12,2014,2
,28,Butaleja,1,2015,2
,23,Butaleja,2,2015,2
,34,Butaleja,1,2015,2
,28,Butaleja,1,2015,2
,32,Butaleja,12,2014,2
,27,Butaleja,2,2015,2
,27,Butaleja,2,2015,2
,43,Butaleja,2,2015,2
,60,Butaleja,12,2014,2
,24,Butaleja,2,2015,2
,72,Butaleja,12,2014,2
,51,Butaleja,1,2015,2
,37,Butaleja,1,2015,2
,27,Butaleja,1,2015,2
,48,Butaleja,1,2015,2
,40,Butaleja,2,2015,2
,41,Butaleja,12,2014,2
,40,Butaleja,2,2015,2
,27,Butaleja,1,2015,2
,30,Butaleja,2,2015,2
,80,Butaleja,12,2014,2
,40,Butaleja,1,2015,2
,35,Butaleja,12,2014,2
,37,Butaleja,2,2015,2
,37,Butaleja,1,2015,2
,36,Butaleja,2,2015,2
,59,Butaleja,1,2015,2
,42,Butaleja,12,2014,2
,43,Butaleja,1,2015,2
,24,Butaleja,12,2014,2
,29,Butaleja,12,2014,2
,18,Butaleja,2,2015,2
,46,Butaleja,2,2015,2
,35,Butaleja,2,2015,2
,37,Butaleja,1,2015,2
,34,Butaleja,2,2015,2
,64,Butaleja,1,2015,2
,42,Butaleja,12,2014,2
,39,Butaleja,1,2015,2
,34,Butaleja,12,2014,2
,15,Butaleja,2,2015,2
,39,Butaleja,12,2014,2
,38,Butaleja,1,2015,2
,47,Butaleja,1,2015,2
,34,Butaleja,1,2015,2
,32,Butaleja,2,2015,2
,31,Butaleja,1,2015,2
,33,Butaleja,1,2015,2
,42,Butaleja,12,2014,2
,40,Butaleja,12,2014,2
,38,Butaleja,2,2015,2
,35,Butaleja,1,2015,2
,34,Butaleja,12,2014,2
,47,Butaleja,12,2014,2
,34,Butaleja,12,2014,2
,41,Butaleja,12,2014,2
,69,Kibuku 1,7,2013,2
,35,Kibuku 1,8,2013,2
,40,Kibuku 1,5,2013,2
,51,Kibuku 1,8,2013,2
,52,Kibuku 1,5,2013,2
,59,Kibuku 1,3,2015,2
,21,Kibuku 1,4,2013,2
,20,Kibuku 1,4,2013,2
,21,Kibuku 1,7,2013,2
,28,Kibuku 1,4,2013,2
