ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,55,Kibuku 2,1,2012,2,01-Jan-12
,37,Kibuku 2,1,2012,2,01-Jan-12
,23,Kibuku 3,4,2013,2,21-Apr-13
,33,Kibuku 3,5,2013,2,17-May-13
,22,Kibuku 4,1,2013,2,01-Jan-13
,33,Kibuku 4,1,2013,2,01-Jan-13
,52,Kibuku 3,4,2013,2,10-Apr-13
,25,Kibuku 3,4,2013,2,10-Apr-13
,68,Kibuku 3,4,2013,2,10-Apr-13
,38,Kibuku 3,4,2013,2,10-Apr-13
,44,Kibuku 3,4,2013,2,11-Apr-13
,19,Kibuku 3,4,2013,2,11-Apr-13
,32,Kibuku 3,4,2013,2,11-Apr-13
,35,Kibuku 3,4,2013,2,11-Apr-13
,30,Kibuku 3,4,2013,2,11-Apr-13
,48,Kibuku 3,4,2013,2,11-Apr-13
,32,Kibuku 3,4,2013,2,11-Apr-13
,22,Kibuku 3,4,2013,2,12-Apr-13
,30,Kibuku 3,4,2013,2,12-Apr-13
,20,Kibuku 1,4,2013,2,12-Apr-13
,52,Kibuku 3,4,2013,2,12-Apr-13
,21,Kibuku 3,4,2013,2,12-Apr-13
,32,Kibuku 3,4,2013,2,12-Apr-13
,25,Kibuku 3,4,2013,2,12-Apr-13
,23,Kibuku 1,4,2013,2,12-Apr-13
,30,Kibuku 3,4,2013,2,12-Apr-13
,42,Kibuku 3,4,2013,2,12-Apr-13
,48,Kibuku 3,4,2013,2,13-Apr-13
,30,Kibuku 3,4,2013,2,13-Apr-13
,32,Kibuku 3,4,2013,2,13-Apr-13
,32,Kibuku 3,4,2013,2,13-Apr-13
,49,Kibuku 3,4,2013,2,13-Apr-13
,37,Kibuku 3,4,2013,2,13-Apr-13
,17,Kibuku 3,4,2013,2,13-Apr-13
,22,Kibuku 3,4,2013,2,13-Apr-13
,19,Kibuku 3,4,2013,2,14-Apr-13
,38,Kibuku 3,4,2013,2,14-Apr-13
