ID,t101a_wpt_verifn_id,t011_prgrm,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,,UJA,,,1,,,,,2,3,,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,1,,2,2,,,1,1,5,2013,03-May-13
,6442415904,KRA,1,,,,,0,,,,,,,1,9,2014,08-Sep-14
,,UJA,,,1,,,,,3,2,8,,,1,8,2012,25-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,6642416702,NMR,1,,1,,,0,,,,,,,1,11,2015,05-Nov-15
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,25-Aug-12
,5844435507,VHG,,,1,,,1,,3,3,,10,1,1,2,2015,25-Feb-15
,,UJA,,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,3,3,8,,,1,8,2012,27-Aug-12
,4656435904,TNZ,1,,1,,,1,,3,3,,4.333333333,,1,10,2015,08-Oct-15
,5843415615,VHG,1,,,1,1,1,,3,3,,8,,1,2,2015,24-Feb-15
,5840415504,VHG,,,1,,,1,,3,3,,20,1,1,3,2015,05-Mar-15
,6642416404,NMR,,,1,,,1,,3,3,,93.33333333,1,1,11,2015,06-Nov-15
,6642415501,NMR,,,1,,,1,,3,3,,150,1,1,11,2015,06-Nov-15
,6339416004,RNG,1,,,,,0,,,,,,,1,9,2014,04-Sep-14
,6642415913,NMR,1,,1,,,0,,,,,,,1,11,2015,04-Nov-15
,,UJA,,,1,,,,,2,3,,,,1,8,2012,29-Aug-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,25-Aug-12
,6642415706,NMR,1,,1,,,0,,,,,,,1,11,2015,05-Nov-15
,6642415901,NMR,1,,1,,,0,,,,,,,1,11,2015,04-Nov-15
,6644415405,NMR,,,1,,,1,,2,3,,15,1,1,11,2015,04-Nov-15
,6642415903,NMR,1,,1,,,0,,,,,,,1,11,2015,04-Nov-15
,6642416003,NMR,1,,,1,1,0,,,,,,,1,11,2015,04-Nov-15
,5961516103,WASHB 75,,,,,,1,,3,3,,11.25,1,1,4,2016,29-Apr-16
,,UJA,,,1,,,,,2,3,,,,1,8,2012,29-Aug-12
,,UJA,,,1,,,,,1,1,,,,1,8,2012,29-Aug-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,30-Aug-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,6642415302,NMR,1,,1,,,0,,,,,,,1,11,2015,03-Nov-15
,6642415910,NMR,1,,,,,0,,,,,,,1,11,2015,04-Nov-15
,,UJA,,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,,UJA,,,-999,,,,,1,3,,,,1,8,2012,30-Aug-12
,5830445302,VHG,1,,1,,,1,,2,3,9,,,1,7,2013,01-Jul-13
,,UJA,,,0,,,,,,,,,,1,8,2012,30-Aug-12
,,UJA,,,1,,,,,2,3,,,,1,8,2012,25-Aug-12
,6355416203,RNG,1,,1,,,1,,3,3,,7.5,,1,9,2014,02-Sep-14
,6136456002,SYA,1,,,,,1,,1,2,,,,1,7,2013,24-Jul-13
,6430415802,KRA,1,,1,,,1,,3,3,,5,,1,9,2014,11-Sep-14
,,UJA,,,,,,,,3,3,,,,1,8,2012,27-Aug-12
,,UJA,,,,,,,,3,3,,,,1,8,2012,27-Aug-12
,6642416303,NMR,,,,1,1,1,,3,3,,200,1,1,11,2015,06-Nov-15
,,UJA,,,,,,,,3,3,,,,1,9,2012,01-Sep-12
,,UJA,,,1,,,,,3,3,,,,1,8,2012,27-Aug-12
,4650435910,TNZ,,,1,,,1,,3,3,,50,1,1,10,2015,02-Oct-15
,6642415715,NMR,1,,1,,,1,,3,3,,2,,1,11,2015,04-Nov-15
