ID,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,55,Kibuku 2,1,2012,2
,37,Kibuku 2,1,2012,2
,23,Kibuku 3,4,2013,2
,33,Kibuku 3,5,2013,2
,22,Kibuku 4,1,2013,2
,33,Kibuku 4,1,2013,2
,52,Kibuku 3,4,2013,2
,25,Kibuku 3,4,2013,2
,68,Kibuku 3,4,2013,2
,38,Kibuku 3,4,2013,2
,44,Kibuku 3,4,2013,2
,19,Kibuku 3,4,2013,2
,32,Kibuku 3,4,2013,2
,35,Kibuku 3,4,2013,2
,30,Kibuku 3,4,2013,2
,48,Kibuku 3,4,2013,2
,32,Kibuku 3,4,2013,2
,22,Kibuku 3,4,2013,2
,30,Kibuku 3,4,2013,2
,20,Kibuku 1,4,2013,2
,52,Kibuku 3,4,2013,2
,21,Kibuku 3,4,2013,2
,32,Kibuku 3,4,2013,2
,25,Kibuku 3,4,2013,2
,23,Kibuku 1,4,2013,2
,30,Kibuku 3,4,2013,2
,42,Kibuku 3,4,2013,2
,48,Kibuku 3,4,2013,2
,30,Kibuku 3,4,2013,2
,32,Kibuku 3,4,2013,2
,32,Kibuku 3,4,2013,2
,49,Kibuku 3,4,2013,2
,37,Kibuku 3,4,2013,2
,17,Kibuku 3,4,2013,2
,22,Kibuku 3,4,2013,2
,19,Kibuku 3,4,2013,2
,38,Kibuku 3,4,2013,2
,44,Kibuku 3,4,2013,2
,29,Kibuku 3,4,2013,2
,46,Kibuku 3,4,2013,2
,26,Kibuku 3,4,2013,2
,39,Kibuku 3,4,2013,2
,26,Kibuku 3,4,2013,2
,35,Kibuku 3,4,2013,2
,28,Kibuku 3,4,2013,2
,,Kibuku 4,4,2013,2
,33,Kibuku 3,4,2013,2
,23,Kibuku 3,4,2013,2
,37,Kibuku 3,4,2013,2
,21,Kibuku 3,4,2013,2
,20,Kibuku 3,4,2013,2
,54,Kibuku 3,4,2013,2
,22,Kibuku 3,4,2013,2
,44,Kibuku 3,4,2013,2
,,Kibuku 4,4,2013,2
,21,Kibuku 3,4,2013,2
,19,Kibuku 3,4,2013,2
,29,Kibuku 3,4,2013,2
,39,Kibuku 3,4,2013,2
,29,Kibuku 3,4,2013,2
,41,Kibuku 3,4,2013,2
,19,Kibuku 3,4,2013,2
,19,Kibuku 3,4,2013,2
,26,Kibuku 3,4,2013,2
,21,Kibuku 3,4,2013,2
,21,Kibuku 3,4,2013,2
,32,Kibuku 3,4,2013,2
,61,Kibuku 3,4,2013,2
,155,Kibuku 3,4,2013,2
,37,Kibuku 3,4,2013,2
,24,Kibuku 3,4,2013,2
,59,Kibuku 3,4,2013,2
,31,Kibuku 3,4,2013,2
,31,Kibuku 3,4,2013,2
,45,Kibuku 3,4,2013,2
,28,Kibuku 3,4,2013,2
,30,Kibuku 3,4,2013,2
,38,Kibuku 3,4,2013,2
,31,Kibuku 3,4,2013,2
,29,Kibuku 3,4,2013,2
,28,Kibuku 3,4,2013,2
,22,Kibuku 3,4,2013,2
,19,Kibuku 3,4,2013,2
,34,Kibuku 3,4,2013,2
,30,Kibuku 3,4,2013,2
,75,Kibuku 3,4,2013,2
,24,Kibuku 3,4,2013,2
,40,Kibuku 2,4,2013,2
,30,Kibuku 3,4,2013,2
,31,Kibuku 3,4,2013,2
,20,Kibuku 3,4,2013,2
,10,Kibuku 3,4,2013,2
,21,Kibuku 3,4,2013,2
,22,Kibuku 3,4,2013,2
,24,Kibuku 3,4,2013,2
,33,Kibuku 3,4,2013,2
,36,Kibuku 2,4,2013,2
,35,Kibuku 3,4,2013,2
,31,Kibuku 3,4,2013,2
,22,Kibuku 3,4,2013,2
