id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,24,TNZ3,6,2015,1
,23,TNZ2,6,2015,1
,33,TNZ2,6,2015,1
,54,TNZ2,5,2015,1
,20,TNZ2,5,2015,1
,20,TNZ3,6,2015,1
,20,TNZ2,6,2015,1
,26,TNZ2,5,2015,1
,20,TNZ3,6,2015,1
,18,TNZ3,7,2015,1
,20,TNZ2,6,2015,1
,29,TNZ3,5,2015,1
,20,TNZ3,6,2015,1
,20,TNZ3,5,2015,1
,52,TNZ3,6,2015,1
,20,TNZ3,6,2015,1
,21,TNZ3,5,2015,1
,24,1AF,1,2015,1
,21,TNZ3,6,2015,1
,26,TNZ3,6,2015,1
,35,TNZ3,6,2015,1
,31,TNZ3,6,2015,1
,18,TNZ3,5,2015,1
,20,TNZ2,6,2015,1
,35,TNZ3,5,2015,1
,25,TNZ3,5,2015,1
,28,1AF,1,2015,1
,41,1AF,1,2015,1
,34,TNZ3,5,2015,1
,20,TNZ3,5,2015,1
,22,TNZ3,6,2015,1
,23,TNZ3,6,2015,1
,21,TNZ3,5,2015,1
,28,1AF,1,2015,1
,18,TNZ3,5,2015,1
,51,TNZ3,6,2015,1
,20,TNZ2,5,2015,1
,24,TNZ2,5,2015,1
,32,TNZ3,5,2015,1
,21,TNZ3,6,2015,1
,22,TNZ3,6,2015,1
,19,TNZ3,5,2015,1
,25,TNZ3,5,2015,1
,33,TNZ3,5,2015,1
,35,TNZ3,5,2015,1
,34,TNZ3,6,2015,1
,16,TNZ3,5,2015,1
,20,TNZ3,6,2015,1
,30,1AF,1,2015,1
,36,TNZ3,5,2015,1
,22,TNZ3,6,2015,1
,28,1AF,1,2015,1
,30,TNZ2,5,2015,1
,19,TNZ3,6,2015,1
,45,1AF,1,2015,1
,31,TNZ2,5,2015,1
,54,TNZ3,6,2015,1
,24,TNZ3,5,2015,1
,20,TNZ3,6,2015,1
,44,BGM2,5,2015,1
,40,BGM2,5,2015,1
,32,BGM2,5,2015,1
,46,BGM2,5,2015,1
,49,BGM2,5,2015,1
,49,BGM2,5,2015,1
,52,BGM2,5,2015,1
,40,BGM2,5,2015,1
,43,BGM2,5,2015,1
,26,BGM2,5,2015,1
,45,BGM2,5,2015,1
,45,BGM2,5,2015,1
,37,UGS5,8,2015,1
,61,BSA3,4,2015,1
,28,BSA3,4,2015,1
,42,BSA3,4,2015,1
,33,BSA3,4,2015,1
,56,BSA3,4,2015,1
,52,BSA3,4,2015,1
,31,BSA3,4,2015,1
,33,BSA3,4,2015,1
,36,BSA3,4,2015,1
,29,BSA3,4,2015,1
,42,BSA3,4,2015,1
,31,BSA3,4,2015,1
,49,BSA3,4,2015,1
,49,BSA3,4,2015,1
,25,BSA3,4,2015,1
,33,BSA3,4,2015,1
,31,UGS5,7,2015,1
,40,UGS5,8,2015,1
,36,1AF,1,2015,1
,33,UGS5,7,2015,1
,22,1AF,12,2014,1
,32,UGS5,7,2015,1
,48,1AF,10,2014,1
,28,1AF,10,2014,1
,30,1AF,9,2014,1
,38,1AF,11,2014,1
,28,1AF,8,2014,1
,29,1AF,12,2014,1
,40,UGS5,8,2015,1
,41,1AF,9,2014,1
,37,1AF,8,2014,1
,38,1AF,1,2015,1
,12,WASHB 75,10,2015,1
,36,UGS5,8,2015,1
,42,UGS5,7,2015,1
,31,1AF,9,2014,1
,33,1AF,8,2014,1
,37,1AF,9,2014,1
,32,UGS5,8,2015,1
,30,1AF,1,2015,1
,40,UGS5,8,2015,1
,33,UGS5,7,2015,1
,21,1AF,1,2015,1
,26,1AF,9,2014,1
,37,1AF,9,2014,1
,45,1AF,1,2015,1
,26,1AF,11,2014,1
,40,1AF,9,2014,1
,26,1AF,9,2014,1
,33,1AF,9,2014,1
,32,1AF,11,2014,1
,35,1AF,11,2014,1
,28,1AF,9,2014,1
,45,1AF,11,2014,1
,32,1AF,1,2015,1
,44,1AF,11,2014,1
,27,1AF,12,2014,1
,29,1AF,8,2014,1
,27,1AF,11,2014,1
,30,UGS5,8,2015,1
,33,1AF,9,2014,1
,57,UGS5,8,2015,1
,41,UGS5,8,2015,1
,31,1AF,12,2014,1
,33,1AF,9,2014,1
,23,1AF,1,2015,1
,27,1AF,11,2014,1
,47,UGS5,8,2015,1
,27,UGS5,7,2015,1
,31,UGS5,7,2015,1
,31,1AF,10,2014,1
,33,1AF,11,2014,1
,27,1AF,11,2014,1
,21,1AF,1,2015,1
,44,UGS5,8,2015,1
,51,UGS5,7,2015,1
,32,UGS5,7,2015,1
,35,1AF,10,2014,1
,36,1AF,1,2015,1
,34,UGS5,8,2015,1
,38,UGS5,7,2015,1
