id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,country,program
,1,0,,,,,6,2015,1,Migori
,,,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,1,1,0,0,0,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Lugari
,,,,,,,6,2015,1,Busia
,1,1,1,0,0,0,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Busia
,1,1,1,0,0,0,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,0,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Kuria
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Siaya
,,,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Lugari
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Kuria
,1,0,,,,,6,2015,1,Vihiga
,,,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Kuria
,1,1,0,1,0,0,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,1,0,1,1,0,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Migori
,0,1,0,1,0,0,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Vihiga
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Ugunja
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Migori
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Ugunja
,1,1,0,1,0,1,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,1,1,0,0,0,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Kakamega
,1,0,,,,,6,2015,1,Busia
,1,1,0,1,0,0,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,0,1,0,1,0,0,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Lugari
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Vihiga
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,0,1,0,1,0,0,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Busia
,1,1,0,0,1,0,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Kakamega
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Migori
,,,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Vihiga
,,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Ugunja
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Migori
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Busia
,1,1,1,1,0,1,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Rongo
,,,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Migori
,1,1,1,0,0,0,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Ugunja
,1,1,1,0,0,0,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,,,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,,,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Lugari
,1,1,1,0,1,1,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Lugari
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Lugari
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Rongo
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Lugari
,,,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Lugari
,,,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,1,1,0,0,0,6,2015,1,Lugari
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Siaya
,1,0,,,,,6,2015,1,Bungoma
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,One Acre Fund
,1,0,,,,,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Migori
,1,0,,,,,6,2015,1,Vihiga
,,1,1,0,0,0,6,2015,1,Vihiga
,1,0,,,,,6,2015,1,Busia
,1,0,,,,,6,2015,1,Ugunja
,1,0,,,,,6,2015,1,Busia
