id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Manafwa,700953,,,,,,1,3,29may2014,29may2014,5,2014,2
,Manafwa,703002,,,,,,1,4,05-Jun-14,05-Jun-14,6,2014,2
,Manafwa,703017,,,,,,1,2,08may2014,08may2014,5,2014,2
,Manafwa,703046,,,,,,1,4,16-Jul-14,16-Jul-14,7,2014,2
,Manafwa,703060,,,,,,1,4,05-Jun-14,05-Jun-14,6,2014,2
,Manafwa,703406,,,,,,1,4,17-Jun-14,17-Jun-14,6,2014,2
,Manafwa,703483,,,,,,1,2,07may2014,07may2014,5,2014,2
,Manafwa,703519,,,,,,1,3,02-Aug-14,02-Aug-14,8,2014,2
,Manafwa,703682,,,,,,1,4,28may2014,28may2014,5,2014,2
,Manafwa,730696,,,,,,1,4,23may2014,23may2014,5,2014,2
,Kibuku 1,7020001,,,,,,1,4,28oct2014,28oct2014,10,2014,2
,Kibuku 1,7020002,,,,,,1,4,28oct2014,28oct2014,10,2014,2
,Kibuku 1,7020003,,,,,,1,4,16mar2015,16mar2015,3,2015,2
,Kibuku 1,7020004,,,,,,1,4,16mar2015,16mar2015,3,2015,2
,Kibuku 1,7020005,8,226,7.533333,1.061947,5.309734,3,12,12-Nov-14,26-Jun-15,6,2015,2
,Kibuku 1,7020006,4,138,4.6,0.8695652,4.347826,2,8,29oct2014,16mar2015,3,2015,2
,Kibuku 1,7020007,4,138,4.6,0.8695652,4.347826,2,8,29oct2014,16mar2015,3,2015,2
,Kibuku 1,7020008,4,138,4.6,0.8695652,4.347826,2,8,29oct2014,16mar2015,3,2015,2
,Kibuku 1,7020009,4,138,4.6,0.8695652,4.347826,2,8,29oct2014,16mar2015,3,2015,2
,Kibuku 1,7020010,3,136,4.533333,0.6617647,3.308823,3,6,29oct2014,19mar2015,3,2015,2
,Kibuku 2,7020011,4,122,4.066667,0.9836066,4.918033,2,8,14-Nov-14,16mar2015,3,2015,2
,Kibuku 2,7020012,4,122,4.066667,0.9836066,4.918033,2,6,14-Nov-14,16mar2015,3,2015,2
,Kibuku 2,7020014,4,135,4.5,0.8888889,4.444445,2,8,30oct2014,14mar2015,3,2015,2
,Kibuku 2,7020015,,,,,,1,4,14mar2015,14mar2015,3,2015,2
,Kibuku 2,7020017,,,,,,1,3,30oct2014,30oct2014,10,2014,2
,Kibuku 2,7020018,4,137,4.566667,0.8759124,4.379562,2,6,30oct2014,16mar2015,3,2015,2
,Kibuku 2,7020019,4,137,4.566667,0.8759124,4.379562,2,6,30oct2014,16mar2015,3,2015,2
,Kibuku 2,7020020,,,,,,1,4,30oct2014,30oct2014,10,2014,2
,Kibuku 2,7020021,1,102,3.4,0.2941176,1.470588,2,2,16mar2015,26-Jun-15,6,2015,2
,Kibuku 2,7020022,4,104,3.466667,1.153846,5.769231,2,8,14mar2015,26-Jun-15,6,2015,2
,Kibuku 2,7020023,8,241,8.033334,0.9958506,4.979253,3,9,28oct2014,26-Jun-15,6,2015,2
,Kibuku 2,7020025,,,,,,1,0,19mar2015,19mar2015,3,2015,2
,Kibuku 2,7020026,8,207,6.9,1.15942,5.797101,3,12,31oct2014,26may2015,5,2015,2
,Kibuku 2,7020027,4,70,2.333333,1.714286,8.571428,2,8,17mar2015,26may2015,5,2015,2
,Kibuku 2,7020028,4,70,2.333333,1.714286,8.571428,3,8,17mar2015,28may2015,5,2015,2
,Kibuku 2,7020029,8,208,6.933333,1.153846,5.769231,3,10,31oct2014,27may2015,5,2015,2
,Kibuku 2,7020030,,,,,,2,0,17mar2015,26may2015,5,2015,2
,Kibuku 2,7020031,8,208,6.933333,1.153846,5.769231,4,12,31oct2014,28may2015,5,2015,2
,Kibuku 2,7020032,7.2,207,6.9,1.043478,5.217391,3,12,31oct2014,26may2015,5,2015,2
,Kibuku 2,7020033,8,204,6.8,1.176471,5.882353,4,12,03-Nov-14,27may2015,5,2015,2
,Kibuku 2,7020034,4,131,4.366667,0.9160305,4.580153,2,7,03-Nov-14,14mar2015,3,2015,2
,Kibuku 2,7020035,4,131,4.366667,0.9160305,4.580153,2,8,03-Nov-14,14mar2015,3,2015,2
,Kibuku 2,7020036,8,204,6.8,1.176471,5.882353,3,11,04-Nov-14,27may2015,5,2015,2
,Kibuku 2,7020037,7.8,203,6.766667,1.152709,5.763547,4,10,05-Nov-14,28may2015,5,2015,2
,Kibuku 2,7020038,10,211,7.033333,1.421801,7.109005,3,12,05-Nov-14,04-Jun-15,6,2015,2
,Kibuku 2,7020039,8,205,6.833333,1.170732,5.853658,3,11,03-Nov-14,27may2015,5,2015,2
,Kibuku 2,7020040,7,204,6.8,1.029412,5.147059,3,11,03-Nov-14,26may2015,5,2015,2
,Kibuku 2,7020041,7,204,6.8,1.029412,5.147059,3,9,03-Nov-14,26may2015,5,2015,2
,Kibuku 2,7020042,,,,,,1,4,14mar2015,14mar2015,3,2015,2
,Kibuku 2,7020043,8,207,6.9,1.15942,5.797101,3,12,31oct2014,26may2015,5,2015,2
,Kibuku 2,7020044,4,71,2.366667,1.690141,8.450705,2,8,16mar2015,26may2015,5,2015,2
,Kibuku 2,7020045,8,207,6.9,1.15942,5.797101,3,11,31oct2014,26may2015,5,2015,2
,Kibuku 2,7020046,6.8,207,6.9,0.9855072,4.927536,3,11,31oct2014,26may2015,5,2015,2
,Kibuku 2,7020047,8,207,6.9,1.15942,5.797101,3,12,31oct2014,26may2015,5,2015,2
,Kibuku 2,7020048,6,207,6.9,0.8695652,4.347826,4,10,31oct2014,28may2015,5,2015,2
,Kibuku 2,7020049,7.2,207,6.9,1.043478,5.217391,3,12,31oct2014,26may2015,5,2015,2
,Kibuku 2,7020050,8,208,6.933333,1.153846,5.769231,4,11,31oct2014,28may2015,5,2015,2
,Kibuku 3,7020052,,,,,,1,3,17-Jun-14,17-Jun-14,6,2014,2
,Kibuku 3,7020053,7,269,8.966666,0.7806692,3.903346,3,11,17-Jun-14,13mar2015,3,2015,2
,Kibuku 3,7020054,6,269,8.966666,0.669145,3.345725,3,9,17-Jun-14,13mar2015,3,2015,2
,Kibuku 3,7020055,6,269,8.966666,0.669145,3.345725,3,10,17-Jun-14,13mar2015,3,2015,2
,Kibuku 3,7020056,5,268,8.933333,0.5597015,2.798507,3,8,17-Jun-14,12mar2015,3,2015,2
,Kibuku 3,7020057,8,269,8.966666,0.8921934,4.460967,3,12,16-Jun-14,12mar2015,3,2015,2
,Kibuku 3,7020058,4,128,4.266667,0.9374999,4.6875,2,7,05-Nov-14,13mar2015,3,2015,2
,Kibuku 3,7020059,4,117,3.9,1.025641,5.128205,2,8,12-Nov-14,09mar2015,3,2015,2
,Kibuku 3,7020060,4.3,269,8.966666,0.4795539,2.39777,3,8.3,17-Jun-14,13mar2015,3,2015,2
