ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country,vcs014_mtg_date
,25,KBK4,1,2013,2,01-Jan-12
,98,KBK4,1,2013,2,01-Jan-12
,31,KBK4,6,2013,2,27-Jun-13
,30,KBK4,6,2013,2,27-Jun-13
,26,KBK4,6,2013,2,27-Jun-13
,32,KBK4,6,2013,2,27-Jun-13
,59,KBK4,6,2013,2,27-Jun-13
,27,KBK4,6,2013,2,27-Jun-13
,33,KBK4,6,2013,2,27-Jun-13
,55,KBK4,6,2013,2,27-Jun-13
,43,KBK4,6,2013,2,28-Jun-13
,27,KBK4,6,2013,2,28-Jun-13
,41,KBK4,6,2013,2,28-Jun-13
,50,KBK4,7,2013,2,01-Jul-13
,27,KBK4,7,2013,2,01-Jul-13
,59,KBK4,7,2013,2,01-Jul-13
,62,KBK4,7,2013,2,02-Jul-13
,50,KBK4,7,2013,2,02-Jul-13
,39,KBK4,7,2013,2,03-Jul-13
,40,KBK4,7,2013,2,03-Jul-13
,30,KBK4,7,2013,2,03-Jul-13
,56,KBK4,7,2013,2,03-Jul-13
,36,KBK4,7,2013,2,03-Jul-13
,35,KBK4,7,2013,2,03-Jul-13
,43,KBK4,7,2013,2,04-Jul-13
,47,KBK4,7,2013,2,04-Jul-13
,49,KBK4,7,2013,2,04-Jul-13
,35,KBK4,7,2013,2,04-Jul-13
,47,KBK4,7,2013,2,05-Jul-13
,35,KBK4,7,2013,2,05-Jul-13
,41,KBK4,7,2013,2,05-Jul-13
,54,KBK4,7,2013,2,05-Jul-13
,39,KBK4,7,2013,2,06-Jul-13
,30,KBK4,7,2013,2,06-Jul-13
,34,KBK4,7,2013,2,06-Jul-13
,35,KBK4,7,2013,2,06-Jul-13
,30,KBK4,7,2013,2,06-Jul-13
,42,KBK4,7,2013,2,06-Jul-13
,32,KBK4,7,2013,2,06-Jul-13
,67,KBK4,7,2013,2,09-Jul-13
,30,KBK4,7,2013,2,09-Jul-13
,400,KBK4,7,2013,2,09-Jul-13
,41,KBK4,7,2013,2,09-Jul-13
,40,KBK4,7,2013,2,09-Jul-13
,95,KBK4,7,2013,2,10-Jul-13
,54,KBK4,7,2013,2,10-Jul-13
,49,KBK4,7,2013,2,10-Jul-13
,31,KBK4,7,2013,2,10-Jul-13
,26,KBK4,7,2013,2,10-Jul-13
,28,KBK4,7,2013,2,10-Jul-13
,59,KBK4,7,2013,2,10-Jul-13
,36,KBK4,7,2013,2,10-Jul-13
,36,KBK4,7,2013,2,10-Jul-13
,50,KBK4,7,2013,2,10-Jul-13
,40,KBK4,7,2013,2,10-Jul-13
,74,KBK4,7,2013,2,10-Jul-13
,36,KBK4,7,2013,2,10-Jul-13
,44,KBK4,7,2013,2,10-Jul-13
,49,KBK4,7,2013,2,10-Jul-13
,69,KBK4,7,2013,2,11-Jul-13
,30,KBK4,7,2013,2,11-Jul-13
,37,KBK4,7,2013,2,11-Jul-13
,41,KBK4,7,2013,2,12-Jul-13
,25,KBK4,7,2013,2,12-Jul-13
,52,KBK4,7,2013,2,12-Jul-13
,80,KBK4,7,2013,2,12-Jul-13
,54,KBK4,7,2013,2,12-Jul-13
,41,KBK4,7,2013,2,12-Jul-13
,47,KBK4,7,2013,2,12-Jul-13
,35,KBK4,7,2013,2,12-Jul-13
,49,KBK4,7,2013,2,13-Jul-13
,36,KBK4,7,2013,2,13-Jul-13
,28,KBK4,7,2013,2,13-Jul-13
,39,KBK4,7,2013,2,13-Jul-13
,27,KBK4,7,2013,2,14-Jul-13
,30,KBK4,7,2013,2,15-Jul-13
,41,KBK4,7,2013,2,16-Jul-13
,53,KBK4,7,2013,2,16-Jul-13
,49,KBK4,7,2013,2,16-Jul-13
,30,KBK4,7,2013,2,16-Jul-13
,54,KBK4,7,2013,2,16-Jul-13
,43,KBK4,7,2013,2,16-Jul-13
,46,KBK4,7,2013,2,16-Jul-13
,40,KBK4,7,2013,2,18-Jul-13
,134,KBK4,7,2013,2,18-Jul-13
,49,KBK4,7,2013,2,19-Jul-13
,40,KBK3,11,2013,2,07-Nov-13
,23,Srk,10,2014,2,14-Aug-14
,20,Mbl1,10,2014,2,30-Jul-14
,32,Srk,10,2014,2,14-Aug-14
,35,Srk,10,2014,2,14-Aug-14
,30,Mbl1,10,2014,2,30-Jul-14
,30,Srk,10,2014,2,14-Aug-14
,30,Mbl1,10,2014,2,30-Jul-14
,36,Srk,10,2014,2,14-Aug-14
,52,Mbl1,10,2014,2,30-Jul-14
,25,Srk,10,2014,2,14-Aug-14
,50,Srk,10,2014,2,14-Aug-14
,32,Srk,10,2014,2,14-Aug-14
,31,Srk,10,2014,2,14-Aug-14
,23,Srk,10,2014,2,14-Aug-14
,25,Srk,10,2014,2,14-Aug-14
,19,Mbl1,10,2014,2,30-Jul-14
,36,Srk,10,2014,2,14-Aug-14
,18,Mbl1,10,2014,2,30-Jul-14
,41,Srk,10,2014,2,14-Aug-14
,35,Srk,10,2014,2,14-Aug-14
,37,Srk,10,2014,2,14-Aug-14
,42,Mbl1,10,2014,2,30-Jul-14
,39,Srk,10,2014,2,14-Aug-14
