id,t011_prgrm,pass_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,Kilifi,1,,1,,,1,,3,3,,21.25,1,1,3,2014,05mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,06mar2014
,Kilifi,1,,1,,,1,,3,3,,73.33333333,1,1,3,2014,06mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,06mar2014
,Kilifi,1,,,,,1,,3,3,,104.1666667,1,1,3,2014,05mar2014
,Kilifi,1,,1,,,1,,3,3,,52.5,1,1,3,2014,05mar2014
,Kilifi,1,,,1,1,1,,3,3,,27.5,1,1,3,2014,05mar2014
,Kilifi,1,1,1,,,1,,3,3,,11.66666667,1,1,3,2014,05mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,06mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,06mar2014
,Kilifi,1,,1,,,1,,3,3,,41.66666667,1,1,3,2014,04mar2014
,Kilifi,0,1,,,,1,,1,3,,,,1,3,2014,04mar2014
,Kilifi,1,,1,,,1,1,,,,15,1,1,3,2014,23mar2014
,Kilifi,1,,1,,,1,,3,3,,40,1,1,3,2014,18mar2014
,Kilifi,1,,1,,,1,,3,3,,28.5,1,1,3,2014,05mar2014
,Kilifi,1,,1,,,1,,3,3,,22.5,1,1,3,2014,05mar2014
,Kilifi,1,,1,,,1,,3,3,,25.33333333,1,1,3,2014,20mar2014
,Kilifi,1,,,,,1,,2,3,,33,1,1,3,2014,08mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,08mar2014
,Kilifi,1,,,,,1,,2,3,,27.5,1,1,3,2014,05mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,08mar2014
,Kilifi,1,,1,,,1,,2,3,,17.08333333,1,1,3,2014,08mar2014
,Kilifi,1,,1,,,1,,2,3,,16.66666667,1,1,3,2014,08mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,08mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,06mar2014
,Kilifi,1,,1,,,1,,3,3,,58.33333333,1,1,3,2014,16mar2014
,Kilifi,1,1,1,,,1,,3,3,10,73.33333333,1,1,3,2014,18mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,18mar2014
,Kilifi,1,,,,,1,,2,2,5,11.75,1,1,3,2014,04mar2014
,Kilifi,1,1,1,,,1,,2,3,,38.75,1,1,3,2014,04mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,04mar2014
,Kilifi,1,1,,,,1,,2,3,9,18.33333333,1,1,3,2014,05mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,18mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,18mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,18mar2014
,Kilifi,1,,1,,,1,,3,3,,40,1,1,3,2014,18mar2014
,Kilifi,1,,1,,,1,,2,3,,150,1,1,3,2014,16mar2014
,Kilifi,1,,1,,,1,,2,3,9,32.5,1,1,3,2014,16mar2014
,Kilifi,0,0,,,,,,,,,,0,1,3,2014,16mar2014
,Kilifi,1,1,1,,,1,,3,3,9,13.25,1,1,3,2014,16mar2014
,Kilifi,0,1,1,,,0,,,,,,,1,3,2014,04mar2014
,Kilifi,0,,1,,,0,0,,,,6.25,,1,3,2014,23mar2014
,Kilifi,1,1,1,,,1,,3,3,,47.16666667,1,1,3,2014,04mar2014
,Kilifi,1,,,,,1,,3,2,,23.75,1,1,3,2014,21mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,21mar2014
,Kilifi,1,,,1,1,1,,3,3,,40.83333333,1,1,3,2014,04mar2014
,Kilifi,1,,1,,,1,,3,3,,22.5,1,1,3,2014,04mar2014
,Kilifi,1,,1,,,1,,3,3,,14.16666667,1,1,3,2014,04mar2014
,Kilifi,1,,,1,1,1,,3,3,,100,1,1,3,2014,04mar2014
,Kilifi,1,,,1,1,1,,3,3,,300,1,1,3,2014,04mar2014
,Kilifi,1,,1,,,1,,3,3,,10.83333333,1,1,3,2014,04mar2014
,Kilifi,1,,1,,,1,,3,3,,30,1,1,3,2014,16mar2014
,Kilifi,0,0,,,,,,,,,,,1,3,2014,16mar2014
,Kilifi,1,,1,,,1,,3,3,,20,1,1,3,2014,10mar2014
