id,cem102_wpt_id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
,10160859,Once Acre Fund,24,1,5,2013,06may2013
,10160858,Once Acre Fund,21,1,5,2013,06may2013
,10161171,Once Acre Fund,20,1,5,2013,06may2013
,10161410,Once Acre Fund,46,1,5,2013,06may2013
,10166244,Once Acre Fund,24,1,5,2013,06may2013
,10161487,Once Acre Fund,24,1,5,2013,06may2013
,10160971,Once Acre Fund,20,1,5,2013,06may2013
,10161415,Once Acre Fund,18,1,5,2013,06may2013
,10181663,Once Acre Fund,24,1,5,2013,06may2013
,10181282,Once Acre Fund,21,1,5,2013,06may2013
,10160727,Once Acre Fund,18,1,5,2013,06may2013
,10161168,Once Acre Fund,23,1,5,2013,06may2013
,10161440,Once Acre Fund,41,1,5,2013,06may2013
,10161067,Once Acre Fund,22,1,5,2013,06may2013
,10161381,Once Acre Fund,14,1,5,2013,06may2013
,10161476,Once Acre Fund,23,1,5,2013,06may2013
,10181709,Once Acre Fund,31,1,5,2013,06may2013
,10161424,Once Acre Fund,24,1,5,2013,07may2013
,10160721,Once Acre Fund,20,1,5,2013,07may2013
,10166032,Once Acre Fund,22,1,5,2013,07may2013
,10161166,Once Acre Fund,19,1,5,2013,07may2013
,10181647,Once Acre Fund,24,1,5,2013,07may2013
,10181611,Once Acre Fund,22,1,5,2013,07may2013
,10161065,Once Acre Fund,29,1,5,2013,07may2013
,10162453,Once Acre Fund,22,1,5,2013,07may2013
,10161038,Once Acre Fund,24,1,5,2013,07may2013
,10161027,Once Acre Fund,19,1,5,2013,07may2013
,10161066,Once Acre Fund,20,1,5,2013,07may2013
,10181235,Once Acre Fund,38,1,5,2013,07may2013
,10161145,Once Acre Fund,36,1,5,2013,07may2013
,10166306,Once Acre Fund,35,1,5,2013,07may2013
,10161125,Once Acre Fund,17,1,5,2013,08may2013
,10161425,Once Acre Fund,20,1,5,2013,08may2013
,10161492,Once Acre Fund,17,1,5,2013,08may2013
,10161384,Once Acre Fund,48,1,5,2013,08may2013
,10161178,Once Acre Fund,25,1,5,2013,08may2013
,10160713,Once Acre Fund,14,1,5,2013,08may2013
,10162151,Once Acre Fund,15,1,5,2013,08may2013
,10181444,Once Acre Fund,18,1,5,2013,08may2013
,10162362,Once Acre Fund,21,1,5,2013,08may2013
,10161387,Once Acre Fund,31,1,5,2013,08may2013
,10161385,Once Acre Fund,36,1,5,2013,08may2013
,10181289,Once Acre Fund,16,1,5,2013,08may2013
,10181348,Once Acre Fund,21,1,5,2013,08may2013
,10181384,Once Acre Fund,17,1,5,2013,08may2013
,10161438,Once Acre Fund,32,1,5,2013,08may2013
,10181264,Once Acre Fund,22,1,5,2013,08may2013
,10161497,Once Acre Fund,20,1,5,2013,08may2013
,10181410,Once Acre Fund,15,1,5,2013,08may2013
,10161496,Once Acre Fund,31,1,5,2013,08may2013
,10160862,Once Acre Fund,20,1,5,2013,08may2013
,10181479,Once Acre Fund,31,1,5,2013,09may2013
,10181568,Once Acre Fund,20,1,5,2013,09may2013
,10162696,Once Acre Fund,30,1,5,2013,09may2013
,10161059,Once Acre Fund,23,1,5,2013,09may2013
,10181284,Once Acre Fund,33,1,5,2013,09may2013
,10160889,Once Acre Fund,22,1,5,2013,09may2013
,10162449,Once Acre Fund,21,1,5,2013,09may2013
,10181426,Once Acre Fund,36,1,5,2013,09may2013
,10181234,Once Acre Fund,20,1,5,2013,09may2013
,10160842,Once Acre Fund,15,1,5,2013,09may2013
,10161150,Once Acre Fund,28,1,5,2013,09may2013
,10162400,Once Acre Fund,18,1,5,2013,09may2013
,10180312,Once Acre Fund,23,1,5,2013,09may2013
,10161163,Once Acre Fund,25,1,5,2013,09may2013
,10160835,Once Acre Fund,15,1,5,2013,09may2013
,10166163,Once Acre Fund,23,1,5,2013,09may2013
,10181317,Once Acre Fund,45,1,5,2013,09may2013
