id,t011_program,pass_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year,t005_today
,Zomba 5,1,,,1,1,1,,3,3,,54.5,1,3,3,2015,01mar2015
,Zomba 5,1,,,1,1,1,,3,3,,60,1,3,3,2015,31mar2015
,Zomba 4,1,,,1,1,1,,3,2,,18,1,3,10,2014,07oct2014
,Zomba 1_2,0,,,,,,,,,,,,3,1,2014,29-Jan-14
,Zomba 3,0,,,,,1,,1,3,,,,3,9,2014,12-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,50,1,3,4,2015,17-Apr-15
,Zomba 2,1,,1,,,1,,2,3,,,1,3,1,2014,28-Jan-14
,Zomba 8,1,,,1,1,1,,3,3,,28.33333333,1,3,8,2015,25-Aug-15
,Zomba 3,1,,,0,,1,,3,3,,85,1,3,9,2014,11-Sep-14
,Zomba 1_2,1,,,,,1,,3,3,,,1,3,11,2013,21-Nov-13
,Zomba 5,1,,,1,1,1,,3,3,,55,1,3,8,2015,05-Aug-15
,Zomba 4,1,,,1,1,1,,3,3,,25.5,1,3,10,2014,04oct2014
,Zomba 3,1,1,,,,1,,3,3,,,1,3,9,2014,10-Sep-14
,Zomba 4,1,,,0,,1,,3,3,,50,1,3,9,2014,12-Sep-14
,Zomba 5,1,,,0,,1,,3,3,,30,1,3,4,2015,04-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,25,1,3,3,2015,27mar2015
,Zomba 5,1,,,1,1,1,,3,3,,83.33333333,1,3,4,2015,06-Apr-15
,Zomba 3,1,1,,,,1,,3,3,,,1,3,9,2014,08-Sep-14
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,10-Sep-14
,Zomba 7,1,,,1,1,1,,3,3,,101,1,3,7,2015,23-Jul-15
,Zomba 7,1,,,1,1,1,,3,3,,20,1,3,8,2015,12-Aug-15
,Zomba 5,1,,,0,,1,,3,3,,46,1,3,4,2015,27-Apr-15
,Zomba 4,1,1,,0,,1,,3,3,,10,1,3,9,2014,26-Sep-14
,Zomba 4,1,,,0,,1,,3,3,,18,1,3,9,2014,25-Sep-14
,Zomba 5,1,,,1,1,1,,3,3,,15,1,3,4,2015,17-Apr-15
,Zomba 7,1,,,1,1,1,,3,3,,61.66666667,1,3,8,2015,12-Aug-15
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,09-Sep-14
,Zomba 5,1,,,0,,1,,3,3,,19,1,3,2,2015,23-Feb-15
,Zomba 1_2,0,,,,,1,,1,1,,,,3,1,2014,28-Jan-14
,Zomba 8,1,,,1,1,1,,3,3,,38.33333333,1,3,8,2015,27-Aug-15
,Zomba 6,1,,,1,1,1,,3,3,11,89.5,1,3,4,2015,28-Apr-15
,Zomba 6,1,,1,,,1,,3,3,,40,1,3,4,2015,14-Apr-15
,Zomba 3,1,,,1,1,1,,3,3,,80,1,3,9,2014,13-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,38.33333333,1,3,5,2015,03may2015
,Zomba 6,1,,,0,,1,,3,3,,28,1,3,9,2015,18-Sep-15
,Zomba 5,1,,,1,1,1,,3,3,,55,1,3,3,2015,29mar2015
,Zomba 4,1,1,,1,1,1,,3,3,,15,1,3,10,2014,07oct2014
,Zomba 4,1,,,1,1,1,,3,3,,34.5,1,3,10,2014,06oct2014
,Zomba 7,1,,,1,1,1,,3,3,,60,1,3,7,2015,24-Jul-15
,Zomba 8,1,,1,,,1,,3,3,,25,1,3,8,2015,21-Aug-15
,Zomba 4,-999,,,1,1,1,,3,3,,41.91666667,-999,3,10,2014,03oct2014
,Zomba 3,1,,,,,1,,3,3,,,1,3,9,2014,16-Sep-14
,Zomba 8,1,,,0,,1,,3,3,,92,1,3,8,2015,25-Aug-15
,Zomba 6,1,,,1,1,1,,3,3,,70,1,3,4,2015,15-Apr-15
,Zomba 3,1,,,0,,1,,3,3,,34,1,3,9,2014,13-Sep-14
,Zomba 8,1,,1,,,1,,3,3,,17.33333333,1,3,8,2015,17-Aug-15
,Zomba 1_2,0,,,,,,,,,,,,3,1,2014,28-Jan-14
,Zomba 4,0,1,0,,,,,,,,,,3,10,2014,02oct2014
,Zomba 7,1,,,1,1,1,,3,3,,247.9166667,1,3,8,2015,09-Aug-15
,Zomba 4,1,1,,0,,1,,3,3,,33.33333333,1,3,10,2014,07oct2014
,Zomba 4,1,,,1,1,1,,3,3,,40,1,3,8,2014,08-Aug-14
,Zomba 7,1,,,1,1,1,,3,3,,40,1,3,8,2015,12-Aug-15
,Zomba 6,1,,,1,1,1,,3,3,10,10,1,3,4,2015,29-Apr-15
,Zomba 4,1,,,1,1,1,,3,3,,20,1,3,10,2014,19oct2014
,Zomba 5,1,,,0,,1,,3,3,,67,1,3,3,2015,02mar2015
,Zomba 6,1,,1,,,1,,3,3,,10,1,3,8,2015,29-Aug-15
,Zomba 5,1,,,1,1,1,,3,3,,135,1,3,2,2015,06-Feb-15
,Zomba 3,1,1,,,,1,,3,3,,,1,3,9,2014,15-Sep-14
,Zomba 3,1,,,1,1,1,,3,3,,50,1,3,7,2015,27-Jul-15
,Zomba 5,1,,,0,,1,,3,3,,48,1,3,2,2015,07-Feb-15
,Zomba 4,1,,,0,,1,,3,3,,40,1,3,9,2014,11-Sep-14
,Zomba 4,1,,,1,1,1,,3,3,,58.5,1,3,10,2014,03oct2014
,Zomba 5,1,,,0,,1,,3,3,,51.16666667,1,3,2,2015,26-Feb-15
,Zomba 4,1,,,1,1,1,,3,3,,12,1,3,9,2015,07-Sep-15
,Zomba 5,1,,,1,1,1,,3,3,,46.66666667,1,3,3,2015,21mar2015
,Zomba 8,0,0,,,,,,,,,,,3,8,2015,29-Aug-15
,Zomba 6,1,,,1,1,1,,3,3,,42.91666667,1,3,4,2015,18-Apr-15
,Zomba 6,1,,1,,,1,,3,3,,13,1,3,9,2015,15-Sep-15
,Zomba 7,1,,,0,,1,,3,3,,30,1,3,7,2015,20-Jul-15
,Zomba 6,1,,,1,1,1,,3,3,,47.08333333,1,3,4,2015,26-Apr-15
,Zomba 6,1,,,1,1,1,,3,3,,20,1,3,4,2015,01-Apr-15
,Zomba 3,1,,,1,1,1,,3,3,,29,1,3,9,2014,17-Sep-14
,Zomba 6,1,,1,,,1,,3,3,,12,1,3,4,2015,21-Apr-15
,Zomba 5,1,,,1,1,1,,3,3,,13,1,3,3,2015,01mar2015
,Zomba 6,1,,,1,1,1,,3,3,,31,1,3,4,2015,30-Apr-15
,Zomba 4,1,,,0,,1,,3,3,,56.66666667,1,3,9,2014,12-Sep-14
,Zomba 6,1,,1,,,1,,3,3,,15,1,3,9,2015,17-Sep-15
,Zomba 4,1,,,0,,1,,3,3,,12.5,1,3,7,2015,18-Jul-15
,Zomba 4,1,,,1,1,1,,3,3,,23,1,3,9,2014,12-Sep-14
,Zomba 6,1,,1,,,1,,3,3,,20,1,3,5,2015,01may2015
,Zomba 5,1,,,1,1,1,,3,3,,35,1,3,2,2015,23-Feb-15
,Zomba 4,1,,,1,1,1,,3,3,,12.75,1,3,9,2015,23-Sep-15
,Zomba 4,1,,,1,1,1,,3,3,,14,1,3,8,2015,25-Aug-15
,Zomba 4,1,,,1,1,1,,2,3,,30.91666667,1,3,10,2014,04oct2014
,Zomba 7,1,1,,0,,1,,3,3,,50.33333333,1,3,7,2015,13-Jul-15
,Zomba 4,1,,,,,1,,3,3,,,1,3,9,2014,22-Sep-14
,Zomba 6,1,,,1,1,1,,3,3,,37.5,1,3,4,2015,17-Apr-15
,Zomba 8,0,,,1,1,1,,3,3,5,,,3,8,2015,20-Aug-15
,Zomba 6,1,1,,1,1,1,,2,3,9,25.5,1,3,4,2015,29-Apr-15
