ID,t011_prgrm,pass_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,1,,1,,,1,,2,2,,,1,1,5,2013
,KRA,0,,,,,0,,,,,,,1,9,2014
,UJA,0,,1,,,,,3,2,8,,,1,8,2012
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,NMR,0,,1,,,0,,,,,,,1,11,2015
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,VHG,1,,1,,,1,,3,3,,10,1,1,2,2015
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,UJA,0,,1,,,,,3,3,8,,,1,8,2012
,TNZ,0,,1,,,1,,3,3,,4.333333333,,1,10,2015
,VHG,0,,,1,1,1,,3,3,,8,,1,2,2015
,VHG,1,,1,,,1,,3,3,,20,1,1,3,2015
,NMR,1,,1,,,1,,3,3,,93.33333333,1,1,11,2015
,NMR,1,,1,,,1,,3,3,,150,1,1,11,2015
,RNG,0,,,,,0,,,,,,,1,9,2014
,NMR,0,,1,,,0,,,,,,,1,11,2015
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,,,,,,3,3,,,,1,8,2012
,NMR,0,,1,,,0,,,,,,,1,11,2015
,NMR,0,,1,,,0,,,,,,,1,11,2015
,NMR,1,,1,,,1,,2,3,,15,1,1,11,2015
,NMR,0,,1,,,0,,,,,,,1,11,2015
,NMR,0,,,1,1,0,,,,,,,1,11,2015
,WASHB 75,1,,,,,1,,3,3,,11.25,1,1,4,2016
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,1,,,,,1,1,,,,1,8,2012
,UJA,0,,,,,,,3,3,,,,1,8,2012
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,NMR,0,,1,,,0,,,,,,,1,11,2015
,NMR,0,,,,,0,,,,,,,1,11,2015
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,UJA,0,,-999,,,,,1,3,,,,1,8,2012
,VHG,0,,1,,,1,,2,3,9,,,1,7,2013
,UJA,0,,0,,,,,,,,,,1,8,2012
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,RNG,0,,1,,,1,,3,3,,7.5,,1,9,2014
,SYA,0,,,,,1,,1,2,,,,1,7,2013
,KRA,0,,1,,,1,,3,3,,5,,1,9,2014
,UJA,0,,,,,,,3,3,,,,1,8,2012
,UJA,0,,,,,,,3,3,,,,1,8,2012
,NMR,1,,,1,1,1,,3,3,,200,1,1,11,2015
,UJA,0,,,,,,,3,3,,,,1,9,2012
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,TNZ,1,,1,,,1,,3,3,,50,1,1,10,2015
,NMR,0,,1,,,1,,3,3,,2,,1,11,2015
,NMR,0,,,,,0,,,,,,,1,11,2015
,UJA,0,,0,,,,,,,,,,1,9,2012
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,AMG,0,1,1,,,0,,,,,,,1,6,2015
,KRA,0,0,,,,,,,,,,,1,9,2014
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,1,,,,,3,3,,,,1,9,2012
,UJA,0,,,,,,,3,3,,,,1,8,2012
,VHG,1,,,,,1,,3,3,,12,1,1,2,2015
,UJA,0,,1,,,,,2,3,11,,,1,9,2012
,UJA,0,,,,,,,2,3,,,,1,9,2012
,TNZ,1,,1,,,1,,3,3,,10,1,1,6,2015
,RNG,1,,,,,1,,2,3,,20,1,1,7,2014
,UJA,0,,1,,,,,2,2,,,,1,9,2012
,KLF,1,,1,,,1,,3,3,,10,1,1,3,2014
,UJA,0,,,,,,,3,3,,,,1,8,2012
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,UJA,0,,,,,,,2,3,,,,1,8,2012
,KKM,1,,,,,1,,3,3,,14.75,1,1,9,2014
,VHG,1,,,,,1,,3,3,,12,1,1,3,2015
,KKM2,0,,1,,,1,,3,3,,6,,1,9,2014
,BSA2,1,,1,,,1,,3,3,,10,1,1,8,2014
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,,,,,,2,3,,,,1,9,2012
,UJA,1,,,,,1,,1,3,10,,1,1,5,2013
,UJA,0,,1,,,,,2,3,,,,1,9,2012
,UJA,0,,,,,,,,,,,,1,8,2012
,KRA,0,0,,,,,,,,,,,1,9,2014
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,0,,,,,,,,,,1,8,2012
,TNZ,1,,,,,1,,3,3,,10.33333333,1,1,4,2015
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,RNG,0,0,,,,,,,,,,,1,9,2014
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,,,,,,,,,,,1,8,2012
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,WASHB 75,1,,,,,1,,3,3,,14.5,1,1,5,2016
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,,,,,,,,,,,1,8,2012
,UJA,0,,1,,,,,2,3,,,,1,9,2012
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,NMR,0,,,,,0,,,,,,,1,11,2015
,UJA,0,,0,,,,,,,,,,1,8,2012
,UJA,0,,-999,,,,,3,3,,,,1,9,2012
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,NMR,1,,1,,,1,,2,2,,10,1,1,11,2015
,NMR,0,,1,,,0,,,,,,,1,11,2015
,NMR,0,,1,,,0,,,,,,,1,11,2015
,BSA2,1,,1,,,1,,3,3,,12,1,1,9,2014
,NMR,0,,1,,,0,,,,,,,1,11,2015
,UJA,0,,,,,,,1,3,,,,1,8,2012
,UJA,0,,1,,,,,1,1,10,,,1,8,2012
,UJA,0,,1,,,,,2,2,,,,1,8,2012
,NMR,0,,1,,,0,,,,,,,1,11,2015
,UJA,0,,,,,,,3,3,,,,1,8,2012
,VHG,0,0,,,,,,,,,,,1,3,2015
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,UJA,0,,1,,,,,2,2,,,,1,8,2012
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,1,,,,,2,2,,,,1,9,2012
,UJA,0,,,,,,,3,3,,,,1,9,2012
,NMR,0,,1,,,0,,,,,,,1,11,2015
,UJA,0,,,,,,,3,3,,,,1,8,2012
,UJA,0,,1,,,,,1,3,,,,1,8,2012
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,SYA,1,,1,,,1,,1,2,,,1,1,7,2013
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,UJA,0,,1,,,,,1,1,,,,1,8,2012
,UJA,0,,1,,,,,2,3,,,,1,8,2012
,UJA,0,,1,,,,,1,1,,,,1,1,2013
,UJA,0,,1,,,,,3,3,,,,1,8,2012
,WASHB 75,1,,1,,,1,,3,3,,18.5,1,1,5,2016
,UJA,0,,,,,0,,,,,,,1,5,2013
,KRA,1,,1,,,1,,3,3,,20,1,1,9,2014
,UJA,0,,1,,,,,2,3,,,,1,9,2012
,KRA,0,,1,,,1,,3,3,11,1.583333333,,1,9,2014
,UJA,0,,,,,,,3,3,,,,1,8,2012
,NMR,0,,1,,,1,,2,1,,,,1,11,2015
,UJA,0,,,,,,,1,2,4,,,1,10,2012
,UJA,0,,1,,,,,1,2,,,,1,9,2012
,UJA,0,,,,,,,3,3,,,,1,8,2012
,TNZ,1,,1,,,1,,2,3,,14.25,1,1,10,2015
,UJA,0,,1,,,,,1,2,,,,1,2,2013
,UJA,0,,0,,,,,,,,,,1,2,2013
