id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,24,Once Acre Fund,5,2013,1
,21,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,46,Once Acre Fund,5,2013,1
,24,Once Acre Fund,5,2013,1
,24,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,18,Once Acre Fund,5,2013,1
,24,Once Acre Fund,5,2013,1
,21,Once Acre Fund,5,2013,1
,18,Once Acre Fund,5,2013,1
,23,Once Acre Fund,5,2013,1
,41,Once Acre Fund,5,2013,1
,22,Once Acre Fund,5,2013,1
,14,Once Acre Fund,5,2013,1
,23,Once Acre Fund,5,2013,1
,31,Once Acre Fund,5,2013,1
,24,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,22,Once Acre Fund,5,2013,1
,19,Once Acre Fund,5,2013,1
,24,Once Acre Fund,5,2013,1
,22,Once Acre Fund,5,2013,1
,29,Once Acre Fund,5,2013,1
,22,Once Acre Fund,5,2013,1
,24,Once Acre Fund,5,2013,1
,19,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,38,Once Acre Fund,5,2013,1
,36,Once Acre Fund,5,2013,1
,35,Once Acre Fund,5,2013,1
,17,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,17,Once Acre Fund,5,2013,1
,48,Once Acre Fund,5,2013,1
,25,Once Acre Fund,5,2013,1
,14,Once Acre Fund,5,2013,1
,15,Once Acre Fund,5,2013,1
,18,Once Acre Fund,5,2013,1
,21,Once Acre Fund,5,2013,1
,31,Once Acre Fund,5,2013,1
,36,Once Acre Fund,5,2013,1
,16,Once Acre Fund,5,2013,1
,21,Once Acre Fund,5,2013,1
,17,Once Acre Fund,5,2013,1
,32,Once Acre Fund,5,2013,1
,22,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,15,Once Acre Fund,5,2013,1
,31,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,31,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,30,Once Acre Fund,5,2013,1
,23,Once Acre Fund,5,2013,1
,33,Once Acre Fund,5,2013,1
,22,Once Acre Fund,5,2013,1
,21,Once Acre Fund,5,2013,1
,36,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,15,Once Acre Fund,5,2013,1
,28,Once Acre Fund,5,2013,1
,18,Once Acre Fund,5,2013,1
,23,Once Acre Fund,5,2013,1
,25,Once Acre Fund,5,2013,1
,15,Once Acre Fund,5,2013,1
,23,Once Acre Fund,5,2013,1
,45,Once Acre Fund,5,2013,1
,18,Once Acre Fund,5,2013,1
,17,Once Acre Fund,5,2013,1
,16,Once Acre Fund,5,2013,1
,16,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,15,Once Acre Fund,5,2013,1
,23,Once Acre Fund,5,2013,1
,16,Once Acre Fund,5,2013,1
,14,Once Acre Fund,5,2013,1
,18,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,32,Once Acre Fund,5,2013,1
,25,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,24,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,17,Once Acre Fund,5,2013,1
,15,Once Acre Fund,5,2013,1
,27,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,21,Once Acre Fund,5,2013,1
,24,Once Acre Fund,5,2013,1
,43,Once Acre Fund,5,2013,1
,23,Once Acre Fund,5,2013,1
,23,Once Acre Fund,5,2013,1
,20,Once Acre Fund,5,2013,1
,18,Once Acre Fund,5,2013,1
,21,Once Acre Fund,5,2013,1
,21,Once Acre Fund,5,2013,1
,30,Once Acre Fund,5,2013,1
,37,Once Acre Fund,5,2013,1
