id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,MFW,703017,2,524,17.46667,0.1145038,0.5725191,2,6,2014-05-08,2015-10-14,10,2015,2
,KBK1,7020003,4,235,7.833333,0.5106383,2.553191,2,8,2014-07-24,2015-03-16,3,2015,2
,KBK2,7020005,4,263,8.766666,0.4562738,2.281369,2,8,2014-06-24,2015-03-14,3,2015,2
,KBK2,7020009,4,210,7,0.5714286,2.857143,2,8,2015-03-16,2015-10-12,10,2015,2
,KBK1,7020010,4,322,10.73333,0.3726708,1.863354,2,7,2015-03-14,2016-01-30,1,2016,2
,KBK2,7020011,4,264,8.8,0.4545454,2.272727,2,6,2014-06-25,2015-03-16,3,2015,2
,KBK2,7020012,4,264,8.8,0.4545454,2.272727,2,5,2014-06-25,2015-03-16,3,2015,2
,KBK1,7020014,4,262,8.733334,0.4580153,2.290076,2,8,2014-06-25,2015-03-14,3,2015,2
,KBK1,7020015,4,262,8.733334,0.4580153,2.290076,2,8,2014-06-25,2015-03-14,3,2015,2
,KBK2,7020019,4,263,8.766666,0.4562738,2.281369,2,6,2014-06-26,2015-03-16,3,2015,2
,KBK2,7020021,3,484,16.13333,0.1859504,0.9297521,3,6,2014-06-23,2015-10-20,10,2015,2
,KBK2,7020022,12,585,19.5,0.6153846,3.076923,4,15,2014-06-23,2016-01-29,1,2016,2
,KBK2,7020023,12,586,19.53333,0.6143345,3.071672,4,16,2014-06-23,2016-01-30,1,2016,2
,KBK2,7020024,4,483,16.1,0.2484472,1.242236,2,8,2014-06-24,2015-10-20,10,2015,2
,KBK2,7020025,8,320,10.66667,0.75,3.75,4,16,2015-03-14,2016-01-29,1,2016,2
,KBK2,7020026,4,280,9.333333,0.4285714,2.142857,2,8,2014-06-10,2015-03-17,3,2015,2
,KBK2,7020027,4,280,9.333333,0.4285714,2.142857,2,8,2014-06-10,2015-03-17,3,2015,2
,KBK2,7020028,8,587,19.56667,0.4088586,2.044293,3,11,2014-06-10,2016-01-18,1,2016,2
,KBK2,7020029,8,587,19.56667,0.4088586,2.044293,3,12,2014-06-10,2016-01-18,1,2016,2
,KBK2,7020031,8,593,19.76667,0.4047218,2.023609,3,12,2014-06-04,2016-01-18,1,2016,2
,KBK2,7020032,8,592,19.73333,0.4054054,2.027027,3,12,2014-06-05,2016-01-18,1,2016,2
,KBK2,7020034,4,281,9.366667,0.4270463,2.135231,2,8,2014-06-06,2015-03-14,3,2015,2
,KBK2,7020036,4,281,9.366667,0.4270463,2.135231,2,8,2014-06-05,2015-03-13,3,2015,2
,KBK2,7020037,4.2,286,9.533334,0.4405594,2.202797,2,8,2014-06-04,2015-03-17,3,2015,2
,KBK2,7020038,4,277,9.233334,0.433213,2.166065,2,8,2014-06-10,2015-03-14,3,2015,2
,KBK2,7020040,4,281,9.366667,0.4270463,2.135231,2,8,2014-06-06,2015-03-14,3,2015,2
,KBK2,7020041,4,281,9.366667,0.4270463,2.135231,2,7,2014-06-06,2015-03-14,3,2015,2
,KBK2,7020042,4,281,9.366667,0.4270463,2.135231,2,7,2014-06-06,2015-03-14,3,2015,2
,KBK2,7020043,4,280,9.333333,0.4285714,2.142857,2,7,2014-06-10,2015-03-17,3,2015,2
,KBK2,7020044,4,285,9.5,0.4210526,2.105263,2,8,2014-06-04,2015-03-16,3,2015,2
,KBK2,7020045,4,286,9.533334,0.4195804,2.097902,2,8,2014-06-04,2015-03-17,3,2015,2
,KBK2,7020046,3,286,9.533334,0.3146853,1.573427,2,6,2014-06-04,2015-03-17,3,2015,2
,KBK2,7020049,4,286,9.533334,0.4195804,2.097902,2,8,2014-06-04,2015-03-17,3,2015,2
,KBK4,7020051,12,581,19.36667,0.6196213,3.098107,4,15,2014-06-17,2016-01-19,1,2016,2
,KBK3,7020052,11,581,19.36667,0.5679862,2.839931,4,14,2014-06-17,2016-01-19,1,2016,2
,KBK3,7020053,12,581,19.36667,0.6196213,3.098107,4,16,2014-06-17,2016-01-19,1,2016,2
,KBK3,7020054,12,581,19.36667,0.6196213,3.098107,4,15,2014-06-17,2016-01-19,1,2016,2
,KBK3,7020055,12,581,19.36667,0.6196213,3.098107,4,16,2014-06-17,2016-01-19,1,2016,2
,KBK3,7020056,16,590,19.66667,0.8135594,4.067797,5,19,2014-06-17,2016-01-28,1,2016,2
,KBK3,7020057,16,591,19.7,0.8121827,4.060914,5,20,2014-06-16,2016-01-28,1,2016,2
,KBK3,7020058,15,227,7.566667,1.982379,9.911894,5,19,2015-03-11,2015-10-24,10,2015,2
,KBK3,7020059,7,317,10.56667,0.6624606,3.312303,3,11,2015-03-09,2016-01-20,1,2016,2
,KBK3,7020060,12,582,19.4,0.6185567,3.092784,4,16,2014-06-17,2016-01-20,1,2016,2
,KBK3,7020062,8,313,10.43333,0.7667732,3.833866,3,12,2015-03-13,2016-01-20,1,2016,2
,KBK3,7020063,11,590,19.66667,0.5593221,2.79661,4,13,2014-06-17,2016-01-28,1,2016,2
,KBK3,7020064,8,322,10.73333,0.7453416,3.726708,3,12,2015-03-12,2016-01-28,1,2016,2
,KBK3,7020065,15,329,10.96667,1.367781,6.838906,5,19,2015-03-06,2016-01-29,1,2016,2
