id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,KBK3,7020476,,,,,,1,2,2013/04/03,2013/04/03,4,2013,2
,KBK3,7020494,,,,,,1,2,2013/04/03,2013/04/03,4,2013,2
,KBK3,7020501,,,,,,1,1,2013/04/04,2013/04/04,4,2013,2
,SRK,7040705,,,,,,1,4,2013/11/22,2013/11/22,11,2013,2
,SRK,7040706,,,,,,1,4,2013/11/22,2013/11/22,11,2013,2
,SRK,7040708,,,,,,1,4,2013/11/22,2013/11/22,11,2013,2
,SRK,7040709,,,,,,1,3,2013/11/22,2013/11/22,11,2013,2
,SRK,7040740,,,,,,1,4,2013/11/22,2013/11/22,11,2013,2
,MFW,7030967,,,,,,1,0.2,2014/04/11,2014/04/11,4,2014,2
,MFW,7030141,,,,,,1,1,2014/04/15,2014/04/15,4,2014,2
,MFW,7030347,,,,,,1,2,2014/04/16,2014/04/16,4,2014,2
,MFW,7031034,,,,,,1,1,2014/04/17,2014/04/17,4,2014,2
,MFW,7030350,,,,,,1,2,2014/04/22,2014/04/22,4,2014,2
,MFW,7030207,,,,,,1,1,2014/04/24,2014/04/24,4,2014,2
,MFW,7030346,,,,,,1,1,2014/04/24,2014/04/24,4,2014,2
,KBK4,7020807,,,,,,1,2,2014/04/25,2014/04/25,4,2014,2
,MFW,7030052,,,,,,1,2,2014/04/25,2014/04/25,4,2014,2
,MFW,7030180,,,,,,1,1,2014/04/25,2014/04/25,4,2014,2
,MFW,7030181,,,,,,1,2,2014/04/25,2014/04/25,4,2014,2
,MFW,7030188,,,,,,1,1,2014/04/25,2014/04/25,4,2014,2
,MFW,7030174,,,,,,1,1,2014/04/28,2014/04/28,4,2014,2
,MFW,7030318,,,,,,1,2,2014/04/28,2014/04/28,4,2014,2
,KBK3,7020094,,,,,,1,3,2014/06/02,2014/06/02,6,2014,2
,MFW,7030033,,,,,,1,4,2014/06/02,2014/06/02,6,2014,2
,MFW,7030527,,,,,,1,4,2014/06/02,2014/06/02,6,2014,2
,MFW,7030534,,,,,,1,4,2014/06/02,2014/06/02,6,2014,2
,MFW,7030589,,,,,,1,4,2014/06/02,2014/06/02,6,2014,2
,MFW,7030601,,,,,,1,4,2014/06/02,2014/06/02,6,2014,2
,MFW,7030668,,,,,,1,4,2014/06/02,2014/06/02,6,2014,2
,KBK3,7020108,2,89,2.966667,0.6741573,3.370787,2,6,07mar2014,2014/06/04,6,2014,2
,MFW,7030593,,,,,,1,4,2014/06/04,2014/06/04,6,2014,2
,MFW,7030605,,,,,,1,4,2014/06/04,2014/06/04,6,2014,2
,MFW,7030607,,,,,,1,4,2014/06/04,2014/06/04,6,2014,2
,KBK3,7020154,0.3,92,3.066667,0.0978261,0.4891305,2,4,05mar2014,2014/06/05,6,2014,2
,MFW,7030150,,,,,,1,4,2014/06/05,2014/06/05,6,2014,2
,MFW,7030151,,,,,,1,4,2014/06/05,2014/06/05,6,2014,2
,MFW,7030590,,,,,,1,4,2014/06/05,2014/06/05,6,2014,2
,MFW,7030596,,,,,,1,4,2014/06/05,2014/06/05,6,2014,2
,MFW,7030614,0.5,42,1.4,0.3571429,1.785714,2,1.4,2014/04/24,2014/06/05,6,2014,2
,MFW,7030929,,,,,,1,4,2014/06/05,2014/06/05,6,2014,2
,MFW,7030974,,,,,,1,4,2014/06/05,2014/06/05,6,2014,2
,MFW,7031022,,,,,,1,0.4,2014/06/05,2014/06/05,6,2014,2
,MFW,7031023,,,,,,1,0.4,2014/06/05,2014/06/05,6,2014,2
,MFW,7031024,,,,,,1,0.4,2014/06/05,2014/06/05,6,2014,2
,MFW,7031025,,,,,,1,0.4,2014/06/05,2014/06/05,6,2014,2
,MFW,7031026,,,,,,1,4,2014/06/05,2014/06/05,6,2014,2
,KBK3,7020126,1,93,3.1,0.3225807,1.612903,2,5,05mar2014,2014/06/06,6,2014,2
,MFW,7030221,,,,,,1,4,2014/06/06,2014/06/06,6,2014,2
,MFW,7030594,,,,,,1,4,2014/06/06,2014/06/06,6,2014,2
,MFW,7030612,,,,,,1,4,2014/06/06,2014/06/06,6,2014,2
,MFW,7030613,,,,,,1,0.4,2014/06/06,2014/06/06,6,2014,2
,MFW,7030618,,,,,,1,4,2014/06/06,2014/06/06,6,2014,2
,MFW,7030619,,,,,,1,4,2014/06/06,2014/06/06,6,2014,2
,MFW,7030621,,,,,,1,4,2014/06/06,2014/06/06,6,2014,2
,MFW,7030623,,,,,,1,0.4,2014/06/06,2014/06/06,6,2014,2
,MFW,7030625,,,,,,1,0.4,2014/06/06,2014/06/06,6,2014,2
,KBK3,7020103,,,,,,1,3,2014/06/10,2014/06/10,6,2014,2
,MFW,7030103,,,,,,1,4,2014/06/10,2014/06/10,6,2014,2
,MFW,7030149,,,,,,1,4,2014/06/10,2014/06/10,6,2014,2
,MFW,7030152,,,,,,1,4,2014/06/10,2014/06/10,6,2014,2
,MFW,7030153,,,,,,1,4,2014/06/10,2014/06/10,6,2014,2
,MFW,7030597,,,,,,1,4,2014/06/10,2014/06/10,6,2014,2
,MFW,7030598,,,,,,1,4,2014/06/10,2014/06/10,6,2014,2
,MFW,7030624,,,,,,1,4,2014/06/10,2014/06/10,6,2014,2
,MFW,7030633,,,,,,1,4,2014/06/11,2014/06/11,6,2014,2
,KBK3,7020132,1,98,3.266667,0.3061225,1.530612,2,5,06mar2014,2014/06/12,6,2014,2
