id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,BTJ,70060001,19,946,31.53333,0.602537,3.012685,6,23,16mar2015,17oct2017,10,2017,2
,BTJ,70060002,15,978,32.6,0.4601227,2.300614,5,19,12-Feb-15,17oct2017,10,2017,2
,BTJ,70060004,16,978,32.6,0.4907976,2.453988,5,20,12-Feb-15,17oct2017,10,2017,2
,BTJ,70060005,18,861,28.7,0.6271777,3.135888,6,22,12-Feb-15,22-Jun-17,6,2017,2
,BTJ,70060006,19,857,28.56667,0.6651108,3.325554,6,23,14-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060007,19,850,28.33333,0.6705882,3.352941,6,23,21-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060008,16,857,28.56667,0.5600933,2.800467,6,20,14-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060010,19,850,28.33333,0.6705882,3.352941,6,23,21-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060011,24,978,32.6,0.7361963,3.680982,7,28,12-Feb-15,17oct2017,10,2017,2
,BTJ,70060012,12,978,32.6,0.3680982,1.840491,4,16,12-Feb-15,17oct2017,10,2017,2
,BTJ,70060013,23,978,32.6,0.7055215,3.527608,7,27,12-Feb-15,17oct2017,10,2017,2
,BTJ,70060014,20,978,32.6,0.613497,3.067485,6,24,12-Feb-15,17oct2017,10,2017,2
,BTJ,70060015,17,976,32.53333,0.522541,2.612705,6,21,14-Feb-15,17oct2017,10,2017,2
,BTJ,70060016,18,974,32.46667,0.5544147,2.772074,6,22,16-Feb-15,17oct2017,10,2017,2
,BTJ,70060017,18,974,32.46667,0.5544147,2.772074,6,22,16-Feb-15,17oct2017,10,2017,2
,BTJ,70060018,18,975,32.5,0.5538462,2.769231,6,22,15-Feb-15,17oct2017,10,2017,2
,BTJ,70060019,18,851,28.36667,0.6345476,3.172738,6,22,20-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060021,16,851,28.36667,0.5640423,2.820212,5,20,20-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060023,10,857,28.56667,0.3500583,1.750292,4,14,14-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060024,22,948,31.6,0.6962025,3.481013,7,24,14mar2015,17oct2017,10,2017,2
,BTJ,70060025,18,858,28.6,0.6293706,3.146853,6,22,13-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060027,18,859,28.63333,0.628638,3.14319,6,22,12-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060028,12,813,27.1,0.4428044,2.214022,5,15,01-Apr-15,22-Jun-17,6,2017,2
,BTJ,70060030,17,977,32.56667,0.5220062,2.610031,6,21,13-Feb-15,17oct2017,10,2017,2
,BTJ,70060031,12,812,27.06667,0.4433497,2.216749,5,16,31mar2015,20-Jun-17,6,2017,2
,BTJ,70060032,10,812,27.06667,0.3694581,1.847291,4,14,31mar2015,20-Jun-17,6,2017,2
,BTJ,70060033,16,857,28.56667,0.5600933,2.800467,6,20,14-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060034,24,986,32.86666,0.7302232,3.651116,7,28,12-Feb-15,25oct2017,10,2017,2
,BTJ,70060035,18,860,28.66667,0.627907,3.139535,6,22,12-Feb-15,21-Jun-17,6,2017,2
,BTJ,70060036,14,764,25.46667,0.5497382,2.748691,5,18,12-Feb-15,17mar2017,3,2017,2
,BTJ,70060037,17,986,32.86666,0.5172414,2.586207,6,21,12-Feb-15,25oct2017,10,2017,2
,BTJ,70060038,18,986,32.86666,0.5476674,2.738337,6,22,12-Feb-15,25oct2017,10,2017,2
,BTJ,70060040,23,986,32.86666,0.6997972,3.498986,7,27,12-Feb-15,25oct2017,10,2017,2
,BTJ,70060041,13,819,27.3,0.4761905,2.380952,5,17,25mar2015,21-Jun-17,6,2017,2
,BTJ,70060042,13,856,28.53333,0.4556075,2.278037,5,17,16-Feb-15,21-Jun-17,6,2017,2
,BTJ,70060043,13,853,28.43333,0.4572099,2.286049,5,17,20-Feb-15,22-Jun-17,6,2017,2
,BTJ,70060044,13,861,28.7,0.4529617,2.264808,5,17,12-Feb-15,22-Jun-17,6,2017,2
,BTJ,70060045,16,986,32.86666,0.4868155,2.434077,5,20,12-Feb-15,25oct2017,10,2017,2
,BTJ,70060046,18,856,28.53333,0.6308411,3.154206,6,22,16-Feb-15,21-Jun-17,6,2017,2
,BTJ,70060047,15,860,28.66667,0.5232558,2.616279,5,19,12-Feb-15,21-Jun-17,6,2017,2
,BTJ,70060049,18,986,32.86666,0.5476674,2.738337,7,22,12-Feb-15,25oct2017,10,2017,2
,BTJ,70060050,10,292,9.733334,1.027397,5.136986,4,14,20-Feb-15,09dec2015,12,2015,2
,BTJ,70060051,27,979,32.63334,0.8273748,4.136874,8,31,11-Feb-15,17oct2017,10,2017,2
,BTJ,70060052,22,979,32.63334,0.6741573,3.370786,7,26,11-Feb-15,17oct2017,10,2017,2
,BTJ,70060053,16,984,32.8,0.4878049,2.439024,6,20,14-Feb-15,25oct2017,10,2017,2
,BTJ,70060054,14,857,28.56667,0.4900817,2.450408,5,18,14-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060055,16,857,28.56667,0.5600933,2.800467,6,20,14-Feb-15,20-Jun-17,6,2017,2
,BTJ,70060056,22,854,28.46667,0.7728337,3.864169,8,29,14-Feb-15,21-Jun-17,6,2017,2
,BTJ,70060059,12,793,26.43333,0.4539723,2.269861,4,16,18-Apr-15,19-Jun-17,6,2017,2
,BTJ,70060060,16,800,26.66667,0.6,3,5,20,09-Apr-15,17-Jun-17,6,2017,2
,BTJ,70060061,18,858,28.6,0.6293706,3.146853,6,22,12-Feb-15,19-Jun-17,6,2017,2
,BTJ,70060062,24,856,28.53333,0.8411215,4.205607,7,28,12-Feb-15,17-Jun-17,6,2017,2
,BTJ,70060063,19,768,25.6,0.7421875,3.710938,6,23,12-Feb-15,21mar2017,3,2017,2
,BTJ,70060064,20,816,27.2,0.7352941,3.676471,6,24,26mar2015,19-Jun-17,6,2017,2
,BTJ,70060065,15,726,24.2,0.6198347,3.099173,5,19,26mar2015,21mar2017,3,2017,2
,BTJ,70060066,19,814,27.13333,0.7002457,3.501228,6,23,26mar2015,17-Jun-17,6,2017,2
,BTJ,70060067,12,816,27.2,0.4411764,2.205882,4,16,26mar2015,19-Jun-17,6,2017,2
,BTJ,70060068,14,816,27.2,0.5147059,2.573529,5,18,26mar2015,19-Jun-17,6,2017,2
,BTJ,70060069,18,857,28.56667,0.630105,3.150525,6,22,13-Feb-15,19-Jun-17,6,2017,2
,BTJ,70060070,20,858,28.6,0.6993007,3.496504,6,24,12-Feb-15,19-Jun-17,6,2017,2
,BTJ,70060071,11,816,27.2,0.4044118,2.022059,4,15,26mar2015,19-Jun-17,6,2017,2
,BTJ,70060072,18,857,28.56667,0.630105,3.150525,6,22,13-Feb-15,19-Jun-17,6,2017,2
,BTJ,70060073,12,724,24.13333,0.4972376,2.486188,4,16,27mar2015,20mar2017,3,2017,2
,BTJ,70060074,15,858,28.6,0.5244755,2.622378,5,19,12-Feb-15,19-Jun-17,6,2017,2
,BTJ,70060075,11,767,25.56667,0.4302477,2.151238,4,15,12-Feb-15,20mar2017,3,2017,2
,BTJ,70060076,15,812,27.06667,0.5541872,2.770936,5,19,27mar2015,16-Jun-17,6,2017,2
,BTJ,70060077,19,858,28.6,0.6643357,3.321678,6,23,12-Feb-15,19-Jun-17,6,2017,2
,BTJ,70060078,19,858,28.6,0.6643357,3.321678,6,23,12-Feb-15,19-Jun-17,6,2017,2
,BTJ,70060079,7,725,24.16667,0.2896552,1.448276,3,11,26mar2015,20mar2017,3,2017,2
,BTJ,70060080,15,812,27.06667,0.5541872,2.770936,5,19,26mar2015,15-Jun-17,6,2017,2
,BTJ,70060081,19,858,28.6,0.6643357,3.321678,6,23,12-Feb-15,19-Jun-17,6,2017,2
,BTJ,70060082,16,858,28.6,0.5594406,2.797203,5,20,12-Feb-15,19-Jun-17,6,2017,2
,BTJ,70060083,20,950,31.66667,0.631579,3.157895,6,24,12-Feb-15,19-Sep-17,9,2017,2
,BTJ,70060084,16,950,31.66667,0.5052631,2.526316,5,20,12-Feb-15,19-Sep-17,9,2017,2
,BTJ,70060085,19,950,31.66667,0.6,3,6,23,12-Feb-15,19-Sep-17,9,2017,2
,BTJ,70060086,20,950,31.66667,0.631579,3.157895,6,24,12-Feb-15,19-Sep-17,9,2017,2
,BTJ,70060087,27,950,31.66667,0.8526316,4.263158,8,31,12-Feb-15,19-Sep-17,9,2017,2
,BTJ,70060088,20,901,30.03333,0.6659268,3.329634,6,24,02-Apr-15,19-Sep-17,9,2017,2
,BTJ,70060089,23,950,31.66667,0.7263158,3.631579,7,27,12-Feb-15,19-Sep-17,9,2017,2
,BTJ,70060090,15,901,30.03333,0.4994451,2.497225,5,19,02-Apr-15,19-Sep-17,9,2017,2
,BTJ,70060091,16,901,30.03333,0.5327414,2.663707,5,20,02-Apr-15,19-Sep-17,9,2017,2
,BTJ,70060092,23,879,29.3,0.784983,3.924915,7,27,30-Apr-15,25-Sep-17,9,2017,2
,BTJ,70060093,20,854,28.46667,0.7025761,3.512881,6,24,12-Feb-15,15-Jun-17,6,2017,2
,BTJ,70060095,24,953,31.76667,0.7555089,3.777544,7,28,12-Feb-15,22-Sep-17,9,2017,2
,BTJ,70060096,28,953,31.76667,0.8814271,4.407135,8,32,12-Feb-15,22-Sep-17,9,2017,2
,BTJ,70060097,24,957,31.9,0.7523511,3.761755,7,28,12-Feb-15,26-Sep-17,9,2017,2
,BTJ,70060098,12,902,30.06667,0.3991131,1.995565,4,16,08-Apr-15,26-Sep-17,9,2017,2
,BTJ,70060099,20,957,31.9,0.6269593,3.134796,6,24,12-Feb-15,26-Sep-17,9,2017,2
,BTJ,70060100,24,949,31.63333,0.7586933,3.793467,7,28,20-Feb-15,26-Sep-17,9,2017,2
,BTJ,70060101,24,957,31.9,0.7523511,3.761755,7,28,12-Feb-15,26-Sep-17,9,2017,2
,BTJ,70060102,16,910,30.33333,0.5274725,2.637362,5,20,27mar2015,22-Sep-17,9,2017,2
,BTJ,70060103,32,951,31.7,1.009464,5.047318,10,40,12-Feb-15,22-Sep-17,9,2017,2
,BTJ,70060104,20,950,31.66667,0.631579,3.157895,8,28,13-Feb-15,22-Sep-17,9,2017,2
