ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,25,KBK4,1,2013,2
,98,KBK4,1,2013,2
,31,KBK4,6,2013,2
,30,KBK4,6,2013,2
,26,KBK4,6,2013,2
,32,KBK4,6,2013,2
,59,KBK4,6,2013,2
,27,KBK4,6,2013,2
,33,KBK4,6,2013,2
,55,KBK4,6,2013,2
,43,KBK4,6,2013,2
,27,KBK4,6,2013,2
,41,KBK4,6,2013,2
,50,KBK4,7,2013,2
,27,KBK4,7,2013,2
,59,KBK4,7,2013,2
,62,KBK4,7,2013,2
,50,KBK4,7,2013,2
,39,KBK4,7,2013,2
,40,KBK4,7,2013,2
,30,KBK4,7,2013,2
,56,KBK4,7,2013,2
,36,KBK4,7,2013,2
,35,KBK4,7,2013,2
,43,KBK4,7,2013,2
,47,KBK4,7,2013,2
,49,KBK4,7,2013,2
,35,KBK4,7,2013,2
,47,KBK4,7,2013,2
,35,KBK4,7,2013,2
,41,KBK4,7,2013,2
,54,KBK4,7,2013,2
,39,KBK4,7,2013,2
,30,KBK4,7,2013,2
,34,KBK4,7,2013,2
,35,KBK4,7,2013,2
,30,KBK4,7,2013,2
,42,KBK4,7,2013,2
,32,KBK4,7,2013,2
,67,KBK4,7,2013,2
,30,KBK4,7,2013,2
,400,KBK4,7,2013,2
,41,KBK4,7,2013,2
,40,KBK4,7,2013,2
,95,KBK4,7,2013,2
,54,KBK4,7,2013,2
,49,KBK4,7,2013,2
,31,KBK4,7,2013,2
,26,KBK4,7,2013,2
,28,KBK4,7,2013,2
,59,KBK4,7,2013,2
,36,KBK4,7,2013,2
,36,KBK4,7,2013,2
,50,KBK4,7,2013,2
,40,KBK4,7,2013,2
,74,KBK4,7,2013,2
,36,KBK4,7,2013,2
,44,KBK4,7,2013,2
,49,KBK4,7,2013,2
,69,KBK4,7,2013,2
,30,KBK4,7,2013,2
,37,KBK4,7,2013,2
,41,KBK4,7,2013,2
,25,KBK4,7,2013,2
,52,KBK4,7,2013,2
,80,KBK4,7,2013,2
,54,KBK4,7,2013,2
,41,KBK4,7,2013,2
,47,KBK4,7,2013,2
,35,KBK4,7,2013,2
