id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year
,Zomba 1,,,,0,,1,,3,3,,93.33333333,1,3,2,2016
,Zomba 5,,,,1,1,1,,3,3,,60,1,3,3,2015
,Zomba 4,,,,1,1,1,,3,2,,18,1,3,10,2014
,Zomba 2,0,,,,,,,,,,,,3,1,2014
,Zomba 3,0,,,1,1,1,,1,3,,,,3,9,2014
,Zomba 4,,,,1,1,1,,3,3,,50,1,3,4,2015
,Zomba 1,,,,1,1,1,,3,3,,11,1,3,2,2016
,Zomba 3,,,,1,1,1,,3,3,,20,1,3,1,2016
,Zomba 1,,,1,,,1,,2,3,,,1,3,1,2014
,Zomba 8,,,,1,1,1,,3,3,,28.33333333,1,3,8,2015
,Zomba 3,,,,0,,1,,3,3,,85,1,3,10,2014
,Zomba 2,,,,,,1,,3,3,,,1,3,11,2013
,Zomba 5,,,,1,1,1,,3,3,,55,1,3,8,2015
,Zomba 4,,,,1,1,1,,3,3,,25.5,1,3,10,2014
,Zomba 3,,1,,1,1,1,,3,3,,35,1,3,9,2014
,Zomba 4,,,,0,,1,,3,3,,50,1,3,9,2014
,Zomba 5,,,,0,,1,,3,3,,30,1,3,4,2015
,Zomba 5,,,,1,1,1,,3,3,,25,1,3,3,2015
,Zomba 5,,,,1,1,1,,3,3,,83.33333333,1,3,4,2015
,Zomba 3,,1,,1,1,1,,3,3,,67.33333333,1,3,9,2014
,Zomba 3,,,,1,1,1,,3,3,,100.6666667,1,3,9,2014
,Zomba 7,,,,1,1,1,,3,3,,101,1,3,7,2015
,Zomba 7,,,,1,1,1,,3,3,,20,1,3,8,2015
,Zomba 5,,,,0,,1,,3,3,,46,1,3,4,2015
,Zomba 9,,,,1,1,1,,3,3,,29.08333333,1,3,12,2015
,Zomba 4,,1,,0,,1,,3,3,,10,1,3,9,2014
,Zomba 4,,,,0,,1,,3,3,,18,1,3,9,2014
,Zomba 3,,,,0,,1,,3,3,,38.33333333,1,3,2,2016
,Zomba 5,,,,1,1,1,,3,3,,15,1,3,4,2015
,Zomba 7,,,,1,1,1,,3,3,,61.66666667,1,3,8,2015
,Zomba 3,,,,0,,1,,3,3,,18,1,3,9,2014
,Zomba 1,,,,1,1,1,,3,3,,10,1,3,1,2016
,Zomba 5,,,,0,,1,,3,3,,19,1,3,2,2015
,Zomba 1_2,1,,,,,1,,1,1,,,,3,1,2014
,Zomba 9,,,1,,,1,,3,3,,19.66666667,1,3,12,2015
,Zomba 8,,,,1,1,1,,3,3,,38.33333333,1,3,8,2015
,Zomba 6,,,,1,1,1,,3,3,11,89.5,1,3,4,2015
,Zomba 6,,,1,,,1,,3,3,,40,1,3,4,2015
,Zomba 3,,,,1,1,1,,3,3,,80,1,3,9,2014
,Zomba 6,,,,1,1,1,,3,3,,38.33333333,1,3,5,2015
,Zomba 6,,,,0,,1,,3,3,,28,1,3,9,2015
,Zomba 5,,,,1,1,1,,3,3,,55,1,3,3,2015
,Zomba 4,,1,,1,1,1,,3,3,,15,1,3,10,2014
,Zomba 4,,,,1,1,1,,3,3,,34.5,1,3,10,2014
,Zomba 7,,,,1,1,1,,3,3,,60,1,3,7,2015
,Zomba 8,,,1,,,1,,3,3,,25,1,3,8,2015
,Zomba 4,,,,1,1,1,,3,3,,41.91666667,Don't know,3,10,2014
,Zomba 3,,,,1,1,1,,3,3,,30,1,3,1,2016
,Zomba 3,,,,1,1,1,,3,3,,87.5,1,3,9,2014
,Zomba 8,,,,0,,1,,3,3,,92,1,3,8,2015
,Zomba 6,,,,1,1,1,,3,3,,70,1,3,4,2015
,Zomba 3,,,,0,,1,,3,3,,34,1,3,9,2014
,Zomba 8,,,1,,,1,,3,3,,17.33333333,1,3,8,2015
,Zomba 2,1,,,,,,,,,,,,3,1,2014
,Zomba 4,1,1,0,,,,,,,,,,3,10,2014
,Zomba 7,,,,1,1,1,,3,3,,247.9166667,1,3,8,2015
,Zomba 4,,1,,0,,1,,3,3,,33.33333333,1,3,10,2014
,Zomba 4,,,,1,1,1,,3,3,,40,1,3,8,2014
,Zomba 7,,,,1,1,1,,3,3,,40,1,3,8,2015
,Zomba 9,,,,0,,1,,3,3,,20,1,3,12,2015
,Zomba 6,,,,1,1,1,,3,3,10,10,1,3,4,2015
,Zomba 4,,,,1,1,1,,3,3,,20,1,3,10,2014
,Zomba 5,,,,0,,1,,3,3,,67,1,3,3,2015
,Zomba 6,,,1,,,1,,3,3,,10,1,3,8,2015
,Zomba 5,,,,1,1,1,,3,3,,135,1,3,2,2015
,Zomba 3,,1,,0,,1,,3,3,,55.33333333,1,3,9,2014
,Zomba 3,,,,1,1,1,,3,3,,50,1,3,7,2015
,Zomba 5,,,,0,,1,,3,3,,48,1,3,2,2015
,Zomba 5,,,1,,,1,,3,3,,13.91666667,1,3,1,2016
,Zomba 4,,,,0,,1,,3,3,,40,1,3,9,2014
,Zomba 4,,,,1,1,1,,3,3,,58.5,1,3,10,2014
,Zomba 9,,,,1,1,1,,3,3,,24,1,3,1,2016
,Zomba 5,,,,0,,1,,3,3,,51.16666667,1,3,2,2015
,Zomba 4,,,,1,1,1,,3,3,,12,1,3,9,2015
,Zomba 3,,,,1,1,1,,3,3,,208,1,3,1,2016
,Zomba 5,,,,1,1,1,,3,3,,46.66666667,1,3,3,2015
,Zomba 9,,,,1,1,1,,3,3,,20,1,3,12,2015
,Zomba 8,0,0,,,,,,,,,,,3,8,2015
,Zomba 6,,,,1,1,1,,3,3,,42.91666667,1,3,4,2015
,Zomba 6,,,1,,,1,,3,3,,13,1,3,9,2015
,Zomba 7,,,,0,,1,,3,3,,30,1,3,7,2015
,Zomba 6,,,,1,1,1,,3,3,,47.08333333,1,3,4,2015
,Zomba 6,,,,1,1,1,,3,3,,20,1,3,9,2015
,Zomba 5,,,,1,1,1,,3,3,,40,1,3,1,2016
,Zomba 4,,1,,1,1,1,,3,3,,35,1,3,2,2016
,Zomba 3,,,,1,1,1,,3,3,,29,1,3,9,2014
,Zomba 6,,,1,,,1,,3,3,,12,1,3,4,2015
,Zomba 5,,,,1,1,1,,3,3,,13,1,3,3,2015
,Zomba 6,,,,1,1,1,,3,3,,31,1,3,4,2015
,Zomba 4,,,,0,,1,,3,3,,56.66666667,1,3,9,2014
,Zomba 6,,,1,,,1,,3,3,,15,1,3,9,2015
,Zomba 4,,,,0,,1,,3,3,,12.5,1,3,7,2015
,Zomba 4,,,,1,1,1,,3,3,,23,1,3,9,2014
,Zomba 6,,,1,,,1,,3,3,,20,1,3,5,2015
,Zomba 5,,,,1,1,1,,3,3,,35,1,3,2,2015
,Zomba 9,,,,0,,1,,3,3,,42,1,3,12,2015
,Zomba 9,,,,1,1,1,,3,3,,148,1,3,11,2015
,Zomba 4,,,,1,1,1,,3,3,,12.75,1,3,9,2015
,Zomba 4,,,,1,1,1,,3,3,,14,1,3,8,2015
,Zomba 4,,,,1,1,1,,2,3,,30.91666667,1,3,10,2014
,Zomba 6,,,1,,,1,,3,3,,13,1,3,1,2016
,Zomba 7,,1,,0,,1,,3,3,,50.33333333,1,3,7,2015
