id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,50,Kibuku 4,5,2013,3
,36,Kibuku 3,4,2013,3
,22,Kibuku 3,4,2013,3
,28,Kibuku 3,4,2013,3
,45,Kibuku 3,4,2013,3
,22,Kibuku 3,4,2013,3
,30,Kibuku 3,4,2013,3
,21,Kibuku 3,4,2013,3
,31,Kibuku 3,4,2013,3
,39,Kibuku 3,4,2013,3
,19,Kibuku 3,4,2013,3
,29,Kibuku 3,4,2013,3
,29,Kibuku 3,4,2013,3
,40,Kibuku 3,4,2013,3
,24,Kibuku 3,4,2013,3
,31,Kibuku 3,4,2013,3
,23,Kibuku 3,4,2012,3
,35,Kibuku 3,4,2013,3
,34,Kibuku 3,4,2013,3
,47,Kibuku 3,5,2013,3
,38,Kibuku 3,4,2013,3
,22,Kibuku 3,4,2013,3
,31,Kibuku 3,4,2013,3
,10,Kibuku 3,4,2013,3
,42,Kibuku 3,4,2013,3
,31,Kibuku 3,4,2013,3
,30,Kibuku 3,4,2013,3
,20,Kibuku 3,4,2013,3
,30,Kibuku 3,4,2013,3
,61,Kibuku 3,4,2013,3
,37,Kibuku 3,4,2013,3
,19,Kibuku 3,4,2013,3
,24,Kibuku 3,4,2013,3
,43,Kibuku 3,4,2013,3
,37,Kibuku 3,4,2013,3
,28,Kibuku 3,4,2013,3
,75,Kibuku 3,4,2013,3
,59,Kibuku 3,4,2013,3
,38,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,48,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,25,Kibuku 3,4,2013,3
,19,Kibuku 3,4,2013,3
,68,Kibuku 3,4,2013,3
,30,Kibuku 3,4,2013,3
,22,Kibuku 3,4,2013,3
,52,Kibuku 3,4,2013,3
,30,Kibuku ,3,2015,3
,36,Kibuku 3,4,2013,3
,31,Kibuku 3,4,2013,3
,45,Kibuku ,3,2015,3
,33,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,33,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,48,Kibuku 3,4,2013,3
,22,Kibuku 3,4,2013,3
,44,Kibuku 3,4,2013,3
,41,Kibuku 3,4,2013,3
,40,Kibuku 3,4,2013,3
,16,Kibuku 3,4,2013,3
,68,Kibuku 3,4,2013,3
,43,Kibuku 3,4,2013,3
,38,Kibuku 3,4,2013,3
,59,Kibuku 3,4,2013,3
,33,Kibuku 3,4,2013,3
,55,Kibuku 3,4,2013,3
,54,Kibuku 3,4,2013,3
,55,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,35,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,44,Kibuku 3,4,2013,3
,44,Kibuku 3,4,2013,3
,40,Kibuku 3,4,2013,3
,54,Kibuku 3,4,2013,3
,41,Kibuku 3,4,2013,3
,35,Kibuku 3,4,2013,3
,30,Kibuku 3,4,2013,3
,37,Kibuku 3,4,2013,3
,41,Kibuku 3,4,2013,3
,27,Kibuku 3,4,2013,3
,58,Kibuku 3,4,2013,3
,37,Kibuku 3,5,2013,3
,37,Kibuku 3,4,2013,3
,36,Kibuku 4,4,2013,3
,21,Kibuku 3,4,2013,3
,28,Kibuku 3,4,2013,3
,33,Kibuku 3,4,2013,3
,22,Kibuku 3,4,2013,3
,28,Kibuku 3,4,2013,3
,31,Kibuku 3,4,2013,3
,25,Kibuku 3,5,2013,3
,28,Kibuku 3,4,2013,3
,27,Kibuku 3,5,2013,3
,40,Kibuku 3,4,2013,3
,60,Kibuku ,3,2015,3
,28,Kibuku 3,5,2013,3
,86,Kibuku 3,4,2013,3
,39,Kibuku 3,4,2013,3
,36,Kibuku 3,4,2013,3
,41,Kibuku 3,5,2013,3
,43,Kibuku 3,5,2013,3
,35,Kibuku 3,5,2013,3
,22,Kibuku 3,4,2013,3
,38,Kibuku 3,5,2013,3
,25,Kibuku 3,4,2013,3
,42,Kibuku 3,4,2013,3
,25,Kibuku 3,5,2013,3
,35,Kibuku 3,4,2013,3
,40,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,31,Kibuku 3,4,2013,3
,37,Kibuku 3,4,2013,3
,29,Kibuku 3,4,2013,3
,35,Kibuku 3,4,2013,3
,46,Kibuku 3,4,2013,3
,66,Kibuku 3,4,2013,3
,12,Kibuku 3,5,2013,3
,52,Kibuku 3,5,2013,3
,47,Kibuku 3,5,2013,3
,14,Kibuku 3,5,2013,3
,34,Kibuku 3,4,2013,3
,71,Kibuku 3,4,2013,3
,39,Kibuku 3,4,2013,3
,39,Kibuku 3,4,2013,3
,40,Kibuku 3,5,2013,3
,46,Kibuku 3,5,2013,3
,59,Kibuku 3,4,2013,3
,55,Kibuku ,1,2012,3
,32,Kibuku ,3,2015,3
,44,Kibuku 3,4,2013,3
,48,Kibuku 3,4,2013,3
,32,Kibuku 3,4,2013,3
,50,Kibuku 3,5,2013,3
,57,Kibuku 3,5,2013,3
,31,Kibuku 3,5,2013,3
,39,Kibuku 3,8,2013,3
,60,Kibuku 3,5,2013,3
,41,Kibuku 3,5,2013,3
,51,Kibuku 3,5,2013,3
,36,Kibuku 3,5,2013,3
,52,Kibuku 3,8,2013,3
,36,Kibuku 3,5,2013,3
,40,Kibuku 3,5,2013,3
,21,Kibuku 3,4,2013,3
,61,Kibuku 3,5,2013,3
,32,Kibuku 3,4,2013,3
,33,Kibuku 3,4,2013,3
,35,Kibuku 3,5,2013,3
,48,Kibuku 3,5,2013,3
,49,Kibuku 3,5,2013,3
,57,Kibuku ,3,2015,3
,61,Kibuku 3,4,2013,3
,56,Kibuku 3,4,2013,3
,102,Kibuku 3,4,2013,3
,52,Kibuku 3,5,2013,3
,40,Kibuku 3,5,2013,3
,45,Kibuku 3,5,2013,3
,36,Kibuku 3,5,2013,3
,58,Kibuku 3,5,2013,3
,49,Kibuku 3,5,2013,3
,43,Kibuku 3,5,2013,3
,30,Kibuku 3,5,2013,3
,43,Kibuku 3,5,2013,3
,41,Kibuku 3,5,2013,3
,39,Kibuku 3,5,2013,3
,38,Kibuku 3,5,2013,3
,41,Kibuku 3,5,2013,3
,96,Kibuku 3,5,2013,3
,47,Kibuku 3,5,2013,3
,40,Kibuku 3,5,2013,3
,79,Kibuku 3,5,2013,3
,22,Kibuku 3,5,2013,3
,43,Kibuku 3,5,2013,3
,78,Kibuku 3,5,2013,3
,46,Kibuku 3,5,2013,3
,34,Kibuku 3,5,2013,3
,32,Kibuku 3,5,2013,3
,30,Kibuku 3,5,2013,3
,72,Kibuku 3,5,2013,3
,89,Kibuku 3,5,2013,3
,67,Kibuku 3,5,2013,3
,35,Kibuku 3,5,2013,3
,40,Kibuku 3,5,2013,3
,15,Kibuku 3,5,2013,3
,35,Kibuku 3,5,2013,3
,40,Kibuku 3,5,2013,3
,38,Kibuku 3,5,2013,3
,24,Kibuku 3,5,2013,3
,60,Kibuku 3,5,2013,3
,25,Kibuku 3,5,2013,3
,46,Kibuku 3,5,2013,3
,46,Kibuku 3,5,2013,3
,39,Kibuku 3,5,2013,3
,70,Kibuku 3,5,2013,3
,37,Kibuku 3,5,2013,3
,89,Kibuku 3,5,2013,3
,83,Kibuku 3,5,2013,3
,70,Kibuku 3,5,2013,3
,52,Kibuku 3,5,2013,3
,34,Kibuku 3,5,2013,3
,51,Kibuku 3,5,2013,3
,28,Kibuku 3,5,2013,3
,51,Kibuku 3,5,2013,3
,60,Kibuku 3,5,2013,3
,23,Kibuku 3,5,2013,3
,39,Kibuku 3,5,2013,3
,30,Kibuku 3,5,2013,3
