id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,1,0,,,,,11,2017,2,NTB
,,0,,,,,11,2017,2,NTB
,1,0,,,,,11,2017,2,NTB
,1,0,,,,,11,2017,2,PLS
,,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,12,2017,2,TRR
,,0,,,,,12,2017,2,SRK
,1,0,,,,,12,2017,2,BTJ
,1,0,,,,,12,2017,2,BTJ
,1,0,,,,,12,2017,2,BTJ
,1,0,,,,,11,2017,2,BTJ
,1,0,,,,,12,2017,2,BTJ
,1,0,,,,,12,2017,2,BTJ
,1,0,,,,,11,2017,2,NTB
,1,0,,,,,11,2017,2,NTB
,1,0,,,,,11,2017,2,NTB
,1,0,,,,,11,2017,2,NTB
,1,0,,,,,11,2017,2,NTB
,1,0,,,,,11,2017,2,PLS
,,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,PLS
,1,0,,,,,11,2017,2,TRR
,1,0,,,,,12,2017,2,TRR
,,0,,,,,12,2017,2,TRR
,1,0,,,,,12,2017,2,TRR
,1,0,,,,,12,2017,2,TRR
,1,0,,,,,12,2017,2,TRR
,1,0,,,,,12,2017,2,TRR
,,0,,,,,12,2017,2,TRR
,1,0,,,,,12,2017,2,TRR
,1,0,,,,,12,2017,2,TRR
,,0,,,,,12,2017,2,TRR
,1,0,,,,,12,2017,2,KBK3
,1,0,,,,,12,2017,2,KBK3
,1,0,,,,,12,2017,2,KBK3
,1,0,,,,,12,2017,2,KBK3
,1,0,,,,,12,2017,2,KBK3
,1,0,,,,,12,2017,2,KBK3
,1,0,,,,,12,2017,2,KBK3
,,1,1,1,0,0,12,2017,2,KBK4
,1,0,,,,,12,2017,2,KBK4
,1,0,,,,,12,2017,2,KBK4
,,0,,,,,12,2017,2,KBK3
,1,0,,,,,12,2017,2,KBK4
,,0,,,,,12,2017,2,KBK4
,,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,,1,1,0,1,0,11,2017,2,MFW
,1,0,,,,,12,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,1,0,,,,,11,2017,2,MFW
,,0,,,,,11,2017,2,SRK
,0,0,,,,,12,2017,2,SRK
,1,0,,,,,11,2017,2,SRK
,1,0,,,,,12,2017,2,SRK
,,1,1,0,1,0,11,2017,2,SRK
,1,0,,,,,11,2017,2,SRK
,,1,0,1,0,0,11,2017,2,SRK
,,0,,,,,11,2017,2,SRK
,1,0,,,,,11,2017,2,SRK
,1,0,,,,,12,2017,2,SRK
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
,1,0,,,,,11,2017,2,MBL
