ID,t011_prgrm,t311_wpt_pass,t301_wpt_flow_rate,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year
,BTJ,1,,,1,1,1,,,,,50,1,2,10,2014
,BTJ,1,,,,,1,,,,,10,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,105,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,74,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,50,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,0,,1,,,,,35,1,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,1,,1,1,0,,,,,,,2,3,2015
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,0,,1,,,,,6.666666667,,2,10,2014
,BTJ,1,,,1,1,1,,,,,100,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,47.91666667,1,2,11,2014
,BTJ,1,,,0,,1,,,,,120,1,2,11,2014
,BTJ,1,,,0,,1,,,,,35,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,50,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,50,1,2,11,2014
,BTJ,1,,,0,,1,,,,,32.5,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,68,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,73.33333333,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,48.33333333,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,26.66666667,1,2,10,2014
,BTJ,0,,,1,1,1,,,,,43.33333333,0,2,11,2014
,BTJ,1,,,1,1,1,,,,,90,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,30,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,46.66666667,1,2,10,2014
,BTJ,0,,,,,1,,,,,7.916666667,,2,10,2014
,BTJ,1,,,1,1,1,,,,9,85,1,2,10,2014
,BTJ,0,,,0,,1,,,,,6.833333333,,2,11,2014
,BTJ,1,,,1,1,1,,,,,62,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,233.3333333,1,2,10,2014
,BTJ,1,,,1,1,1,,,,,53.33333333,1,2,11,2014
,BTJ,0,,,,,0,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,1,1,,1,1,1,,3,3,,63.33333206,1,2,3,2015
,BTJ,0,,,0,,0,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,,,,,,,,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,0,,1,,,,,100,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,11,2014
,BTJ,1,,,1,1,1,,,,,53.33333333,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,112.5,1,2,11,2014
,BTJ,1,,,0,,1,,,,,66.25,1,2,10,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,150,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,55.83333333,1,2,11,2014
,BTJ,1,,,1,1,1,,,,,30,1,2,10,2014
,BTJ,0,,,,,,,,,,,,2,11,2014
,BTJ,0,,,,,0,,,,,,,2,10,2014
,BTJ,1,,,1,1,1,,,,,97.5,1,2,11,2014
,BTJ,0,,,0,,1,,,,,,,2,10,2014
