id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,country
,Manafwa,700953,,,,,,1,3,2014-05--29,2014-05--29,2
,Manafwa,703002,,,,,,1,4,2014-06--05,2014-06--05,2
,Manafwa,703017,,,,,,1,2,2014-05--08,2014-05--08,2
,Manafwa,703046,,,,,,1,4,2014-07--16,2014-07--16,2
,Manafwa,703060,,,,,,1,4,2014-06--05,2014-06--05,2
,Manafwa,703406,,,,,,1,4,2014-06--17,2014-06--17,2
,Manafwa,703483,,,,,,1,2,2014-05--07,2014-05--07,2
,Manafwa,703519,,,,,,1,3,2014-08--02,2014-08--02,2
,Manafwa,703682,,,,,,1,4,2014-05--28,2014-05--28,2
,Manafwa,730696,,,,,,1,4,2014-05--23,2014-05--23,2
,Kibuku 1,7020001,4,239,7.966667,0.5020921,2.51046,2,8,2014-10--28,2015-06--24,2
,Kibuku 1,7020002,4,239,7.966667,0.5020921,2.51046,2,8,2014-10--28,2015-06--24,2
,Kibuku 1,7020003,4,100,3.333333,1.2,6,2,8,2015-03--16,2015-06--24,2
,Kibuku 1,7020004,4,100,3.333333,1.2,6,2,8,2015-03--16,2015-06--24,2
,Kibuku 1,7020005,8,226,7.533333,1.061947,5.309734,3,12,2014-11--12,2015-06--26,2
,Kibuku 1,7020006,8,216,7.2,1.111111,5.555556,3,12,2014-10--29,2015-06--02,2
,Kibuku 1,7020007,8,241,8.033334,0.9958506,4.979253,3,12,2014-10--29,2015-06--27,2
,Kibuku 1,7020008,8,241,8.033334,0.9958506,4.979253,3,12,2014-10--29,2015-06--27,2
,Kibuku 1,7020009,8,241,8.033334,0.9958506,4.979253,3,12,2014-10--29,2015-06--27,2
,Kibuku 1,7020010,3,136,4.533333,0.6617647,3.308823,4,8,2014-10--29,2015-06--27,2
,Kibuku 2,7020011,8,223,7.433333,1.076233,5.381166,3,12,2014-11--14,2015-06--25,2
,Kibuku 2,7020012,6,223,7.433333,0.8071749,4.035874,3,10,2014-11--14,2015-06--25,2
,Kibuku 2,7020013,,,,,,1,4,2015-06--25,2015-06--25,2
,Kibuku 2,7020014,6.8,239,7.966667,0.8535565,4.267783,3,11,2014-10--30,2015-06--26,2
,Kibuku 2,7020015,2,104,3.466667,0.5769231,2.884615,2,6,2015-03--14,2015-06--26,2
,Kibuku 2,7020016,,,,,,1,1,2015-06--26,2015-06--26,2
,Kibuku 2,7020017,3.8,239,7.966667,0.4769875,2.384937,2,7,2014-10--30,2015-06--26,2
,Kibuku 2,7020018,8,238,7.933333,1.008403,5.042017,3,10,2014-10--30,2015-06--25,2
,Kibuku 2,7020019,8,238,7.933333,1.008403,5.042017,3,10,2014-10--30,2015-06--25,2
,Kibuku 2,7020020,4,239,7.966667,0.5020921,2.51046,2,8,2014-10--30,2015-06--26,2
,Kibuku 2,7020021,1,102,3.4,0.2941176,1.470588,2,2,2015-03--16,2015-06--26,2
,Kibuku 2,7020022,4,104,3.466667,1.153846,5.769231,2,8,2015-03--14,2015-06--26,2
,Kibuku 2,7020023,8,241,8.033334,0.9958506,4.979253,3,9,2014-10--28,2015-06--26,2
,Kibuku 2,7020025,,,,,,1,0,2015-03--19,2015-03--19,2
,Kibuku 2,7020026,8,207,6.9,1.15942,5.797101,3,12,2014-10--31,2015-05--26,2
,Kibuku 2,7020027,4,70,2.333333,1.714286,8.571428,2,8,2015-03--17,2015-05--26,2
,Kibuku 2,7020028,4,70,2.333333,1.714286,8.571428,3,8,2015-03--17,2015-05--28,2
,Kibuku 2,7020029,8,208,6.933333,1.153846,5.769231,3,10,2014-10--31,2015-05--27,2
,Kibuku 2,7020030,,,,,,2,0,2015-03--17,2015-05--26,2
,Kibuku 2,7020031,8,208,6.933333,1.153846,5.769231,4,12,2014-10--31,2015-05--28,2
,Kibuku 2,7020032,7.2,207,6.9,1.043478,5.217391,3,12,2014-10--31,2015-05--26,2
,Kibuku 2,7020033,8,204,6.8,1.176471,5.882353,4,12,2014-11--03,2015-05--27,2
,Kibuku 2,7020034,4,131,4.366667,0.9160305,4.580153,2,7,2014-11--03,2015-03--14,2
,Kibuku 2,7020035,4,131,4.366667,0.9160305,4.580153,2,8,2014-11--03,2015-03--14,2
,Kibuku 2,7020036,8,204,6.8,1.176471,5.882353,3,11,2014-11--04,2015-05--27,2
,Kibuku 2,7020037,7.8,203,6.766667,1.152709,5.763547,4,10,2014-11--05,2015-05--28,2
,Kibuku 2,7020038,10,211,7.033333,1.421801,7.109005,3,12,2014-11--05,2015-06--04,2
,Kibuku 2,7020039,8,205,6.833333,1.170732,5.853658,3,11,2014-11--03,2015-05--27,2
,Kibuku 2,7020040,7,204,6.8,1.029412,5.147059,3,11,2014-11--03,2015-05--26,2
,Kibuku 2,7020041,7,204,6.8,1.029412,5.147059,3,9,2014-11--03,2015-05--26,2
,Kibuku 1,7020042,,,,,,1,4,2015-03--14,2015-03--14,2
,Kibuku 2,7020043,8,207,6.9,1.15942,5.797101,3,12,2014-10--31,2015-05--26,2
,Kibuku 2,7020044,4,71,2.366667,1.690141,8.450705,2,8,2015-03--16,2015-05--26,2
,Kibuku 2,7020045,8,207,6.9,1.15942,5.797101,3,11,2014-10--31,2015-05--26,2
,Kibuku 2,7020046,6.8,207,6.9,0.9855072,4.927536,3,11,2014-10--31,2015-05--26,2
,Kibuku 2,7020047,8,207,6.9,1.15942,5.797101,3,12,2014-10--31,2015-05--26,2
