id,cem011_prgrm,cem301_attendees_total,month,year,cem009_country
,BSA,13,6,2010,1
,BSA,12,6,2010,1
,BSA,16,6,2010,1
,BSA,16,6,2010,1
,BSA,21,6,2010,1
,BSA,16,6,2010,1
,BSA,21,6,2010,1
,BSA,11,6,2010,1
,BSA,17,6,2010,1
,BSA,19,6,2010,1
,BSA,16,6,2010,1
,BSA,23,6,2010,1
,BSA,18,6,2010,1
,BSA,12,6,2010,1
,BSA,22,6,2010,1
,BSA,15,9,2010,1
,BSA,29,9,2010,1
,BSA,15,9,2010,1
,BSA,21,9,2010,1
,BSA,15,3,2011,1
,BSA,20,2,2011,1
,BSA,14,3,2011,1
,BSA,27,2,2011,1
,BSA,23,2,2011,1
,BSA,15,3,2011,1
,KKM,24,3,2011,1
,BSA,23,3,2011,1
,BSA,25,3,2011,1
,BSA,14,3,2011,1
,KKM2,16,3,2011,1
,KKM2,19,3,2011,1
,BSA,15,3,2011,1
,BSA,14,3,2011,1
,BSA,22,3,2011,1
,BSA,16,2,2011,1
,BSA,13,3,2011,1
,BSA,14,3,2011,1
,BSA,51,3,2011,1
,BSA,18,2,2011,1
,KKM,12,2,2011,1
,BSA,25,2,2011,1
,BSA,24,2,2011,1
,BSA,35,2,2011,1
,BSA,28,2,2011,1
,BSA,18,3,2011,1
,KKM2,16,3,2011,1
,KKM2,14,3,2011,1
,BSA,12,3,2011,1
,BSA,16,3,2011,1
,BSA,19,3,2011,1
,KKM,30,3,2011,1
,BSA,16,2,2011,1
,BSA,14,2,2011,1
,BSA,12,2,2011,1
,BSA,11,2,2011,1
,KKM2,12,3,2011,1
,KKM2,20,3,2011,1
,KKM2,15,3,2011,1
,KKM2,19,3,2011,1
,KKM2,16,3,2011,1
,BSA,28,2,2011,1
,KKM,35,2,2011,1
,KKM,17,2,2011,1
,BSA,32,2,2011,1
,BSA,11,2,2011,1
,BSA,15,2,2011,1
,KKM,25,3,2011,1
,KKM2,10,3,2011,1
,KKM2,22,3,2011,1
,BSA,16,3,2011,1
,KKM2,24,3,2011,1
,KKM2,12,3,2011,1
,BSA,18,3,2011,1
,BSA,14,2,2011,1
,BSA,15,2,2011,1
,BSA,17,2,2011,1
,BSA,27,3,2011,1
,BSA,18,3,2011,1
,BSA,24,3,2011,1
,BSA,25,3,2011,1
,BSA,12,3,2011,1
,BSA,18,3,2011,1
,BSA,12,3,2011,1
,BSA,22,3,2011,1
,BSA,11,3,2011,1
,BSA,28,3,2011,1
,BSA,16,2,2011,1
,KKM,30,3,2011,1
,BSA,18,2,2011,1
,BSA,27,2,2011,1
,BSA,27,2,2011,1
,KKM,15,2,2011,1
,BSA,11,2,2011,1
,BSA,15,3,2011,1
,BSA,23,2,2011,1
,BSA,19,2,2011,1
,BSA,20,3,2011,1
,KKM,21,3,2011,1
,BSA,10,3,2011,1
,BSA,15,3,2011,1
,KKM,15,3,2011,1
,BSA,23,3,2011,1
,BSA,19,3,2011,1
,BSA,18,3,2011,1
,KKM,14,3,2011,1
,KKM,13,3,2011,1
,BSA,21,2,2011,1
,BSA,32,2,2011,1
,BSA,21,2,2011,1
,BSA,31,3,2011,1
,BSA,31,2,2011,1
,KKM2,17,3,2011,1
,KKM2,19,3,2011,1
,KKM2,18,3,2011,1
,BSA,15,8,2010,1
,BSA,15,8,2010,1
,BSA,8,8,2010,1
,BSA,17,8,2010,1
,BSA,22,8,2010,1
,BSA,22,8,2010,1
,BSA,20,8,2010,1
,BSA,17,8,2010,1
,BSA,15,8,2010,1
,BSA,19,8,2010,1
,BSA,16,8,2010,1
,KKM2,16,8,2010,1
,BSA,23,8,2010,1
,BSA,14,8,2010,1
,BSA,16,8,2010,1
,BSA,12,11,2010,1
,BSA,18,11,2010,1
,BSA,21,11,2010,1
,BSA,31,11,2010,1
,BSA,19,11,2010,1
,BSA,16,11,2010,1
,BSA,10,11,2010,1
,BSA,20,11,2010,1
,BSA,40,11,2010,1
,BSA,16,11,2010,1
,BSA,28,11,2010,1
,BSA,22,11,2010,1
,BSA,38,11,2010,1
,BSA,33,11,2010,1
,BSA,14,11,2010,1
,BSA,14,11,2010,1
,BSA,18,11,2010,1
,BSA,18,11,2010,1
,BSA,24,11,2010,1
,BSA,28,11,2010,1
,BSA,16,11,2010,1
,BSA,17,11,2010,1
,BSA,18,11,2010,1
,BSA,16,11,2010,1
,BSA,26,11,2010,1
,KKM,13,5,2014,1
,KKM,14,5,2014,1
,KKM,11,5,2014,1
,KKM,19,5,2014,1
,KKM,25,5,2014,1
,KKM,16,5,2014,1
,KKM,15,5,2014,1
,KKM,6,5,2014,1
,VHG,16,7,2011,1
,VHG,21,6,2011,1
,KKM,23,6,2011,1
,KKM,20,6,2011,1
,KKM,14,5,2014,1
,VHG,18,6,2011,1
,KKM,24,6,2011,1
,KKM,18,6,2011,1
,VHG,16,7,2011,1
,KKM,7,5,2014,1
,VHG,18,7,2011,1
,KKM,22,5,2014,1
,KKM,10,5,2014,1
,KKM,20,5,2014,1
,KKM,12,5,2014,1
,KKM,19,5,2014,1
,KKM,22,5,2014,1
,KKM,19,5,2014,1
,KKM,16,5,2014,1
,KKM,15,5,2014,1
,KKM,15,6,2011,1
,KKM,23,5,2014,1
,VHG,15,7,2011,1
,KKM,10,5,2014,1
,KKM,16,5,2014,1
,KKM,21,5,2014,1
,KKM,16,5,2014,1
,KKM,19,5,2014,1
,KKM,16,5,2014,1
,KKM,19,5,2014,1
,KKM,16,6,2011,1
,KKM,16,5,2014,1
,KKM,16,5,2014,1
,KKM,15,5,2014,1
,KKM,15,5,2014,1
,KKM,14,5,2014,1
,KKM,15,5,2014,1
,KKM,13,6,2011,1
,KKM,33,6,2011,1
,KKM,15,6,2011,1
,KKM,18,5,2014,1
,VHG,13,7,2011,1
,KKM,16,3,2014,1
,KKM,15,6,2011,1
,VHG,20,7,2011,1
,KKM,15,5,2014,1
,KKM,18,5,2014,1
,BSA,14,12,2010,1
,BSA,13,12,2010,1
,BSA,14,12,2010,1
,BSA,16,12,2010,1
,BSA,19,12,2010,1
,BSA,19,12,2010,1
,BSA,15,12,2010,1
,BSA,12,11,2010,1
,BGM,20,3,2011,1
