id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year
,Busia,17,1,10,2014
,Busia,18,1,6,2014
,Busia,25,1,1,2015
,Busia,16,1,6,2014
,Busia,19,1,6,2014
,Busia,15,1,12,2014
,Busia,51,1,12,2014
,Busia,18,1,6,2014
,Busia,14,1,6,2014
,Busia,12,1,6,2014
,Busia,16,1,6,2014
,Busia,19,1,6,2014
,Busia,12,1,6,2014
,Busia,20,1,6,2014
,Busia,15,1,6,2014
,Busia,19,1,7,2014
,Busia,16,1,6,2014
,Busia,25,1,6,2014
,Busia,10,1,6,2014
,Busia,22,1,6,2014
,Busia,16,1,6,2014
,Busia,24,1,6,2014
,Busia,12,1,6,2014
,Busia,30,1,1,2015
,Busia,15,1,1,2015
,Busia,31,1,12,2014
,Busia,17,1,6,2014
,Busia,19,1,6,2014
,Busia,18,1,6,2014
,Busia,16,1,12,2014
,Busia,16,1,6,2014
,Busia,22,1,1,2015
,Busia,33,1,2,2015
,Kakamega,13,1,5,2014
,Kakamega,14,1,6,2014
,Kakamega,17,1,1,2015
,Kakamega,19,1,6,2014
,Kakamega,25,1,5,2014
,Kakamega,16,1,5,2014
,Kakamega,15,1,5,2014
,Kakamega,6,1,5,2014
,Kakamega,18,1,6,2014
,Kakamega,14,1,5,2014
,Kakamega,7,1,5,2014
,Kakamega,22,1,5,2014
,Kakamega,10,1,5,2014
,Kakamega,20,1,6,2014
,Kakamega,12,1,5,2014
,Kakamega,19,1,5,2014
,Kakamega,22,1,5,2014
,Kakamega,19,1,5,2014
,Kakamega,16,1,5,2014
,Kakamega,15,1,5,2014
,Kakamega,15,1,5,2014
,Kakamega,23,1,6,2014
,Kakamega,10,1,5,2014
,Kakamega,16,1,5,2014
,Kakamega,21,1,6,2014
,Kakamega,16,1,5,2014
,Kakamega,19,1,5,2014
,Kakamega,16,1,5,2014
,Kakamega,19,1,6,2014
,Kakamega,16,1,5,2014
,Kakamega,16,1,5,2014
,Kakamega,16,1,5,2014
,Kakamega,15,1,5,2014
,Kakamega,15,1,5,2014
,Kakamega,14,1,5,2014
,Kakamega,15,1,5,2014
,Kakamega,13,1,6,2014
,Kakamega,15,1,5,2014
,Kakamega,18,1,5,2014
,Kakamega,16,1,5,2014
,Kakamega,15,1,5,2014
,Kakamega,18,1,5,2014
,One Acre Fund,21,1,7,2013
,One Acre Fund,21,1,7,2013
,One Acre Fund,23,1,7,2013
,One Acre Fund,26,1,7,2013
,One Acre Fund,36,1,7,2013
,One Acre Fund,26,1,7,2013
,One Acre Fund,16,1,7,2013
,One Acre Fund,25,1,7,2013
,One Acre Fund,19,1,7,2013
,One Acre Fund,34,1,7,2013
,One Acre Fund,49,1,7,2013
,One Acre Fund,31,1,7,2013
,One Acre Fund,28,1,7,2013
,One Acre Fund,24,1,7,2013
,One Acre Fund,21,1,5,2013
,One Acre Fund,41,1,7,2013
,One Acre Fund,26,1,7,2013
,One Acre Fund,44,1,7,2013
,One Acre Fund,23,1,7,2013
,One Acre Fund,37,1,7,2013
,One Acre Fund,23,1,7,2013
,One Acre Fund,37,1,7,2013
,One Acre Fund,47,1,7,2013
,One Acre Fund,18,1,7,2013
,One Acre Fund,17,1,7,2013
,One Acre Fund,40,1,7,2013
,One Acre Fund,34,1,7,2013
,One Acre Fund,18,1,7,2013
,One Acre Fund,31,1,7,2013
,One Acre Fund,31,1,7,2013
,One Acre Fund,24,1,7,2013
,One Acre Fund,19,1,7,2013
,One Acre Fund,23,1,7,2013
,One Acre Fund,17,1,7,2013
,One Acre Fund,18,1,7,2013
,One Acre Fund,24,1,7,2013
,One Acre Fund,20,1,6,2013
,One Acre Fund,22,1,6,2013
,One Acre Fund,23,1,6,2013
,One Acre Fund,23,1,6,2013
,One Acre Fund,16,1,6,2013
,One Acre Fund,26,1,6,2013
,One Acre Fund,20,1,6,2013
,One Acre Fund,32,1,6,2013
,One Acre Fund,20,1,6,2013
,One Acre Fund,20,1,6,2013
,One Acre Fund,24,1,6,2013
,One Acre Fund,16,1,6,2013
,One Acre Fund,18,1,6,2013
,One Acre Fund,29,1,6,2013
,One Acre Fund,41,1,6,2013
,One Acre Fund,23,1,6,2013
,One Acre Fund,29,1,6,2013
,One Acre Fund,29,1,6,2013
,One Acre Fund,16,1,6,2013
,One Acre Fund,25,1,7,2013
,One Acre Fund,28,1,7,2013
,One Acre Fund,23,1,7,2013
,One Acre Fund,20,1,7,2013
,One Acre Fund,32,1,7,2013
,One Acre Fund,21,1,7,2013
,One Acre Fund,23,1,7,2013
,One Acre Fund,26,1,7,2013
,One Acre Fund,16,1,7,2013
,One Acre Fund,18,1,7,2013
,One Acre Fund,17,1,7,2013
,One Acre Fund,23,1,7,2013
,One Acre Fund,18,1,7,2013
,One Acre Fund,30,1,7,2013
,One Acre Fund,21,1,7,2013
,One Acre Fund,21,1,7,2013
,One Acre Fund,26,1,7,2013
,One Acre Fund,22,1,7,2013
,One Acre Fund,19,1,7,2013
,One Acre Fund,18,1,7,2013
,One Acre Fund,19,1,7,2013
,One Acre Fund,30,1,7,2013
,One Acre Fund,16,1,7,2013
,One Acre Fund,26,1,7,2013
,One Acre Fund,26,1,7,2013
,One Acre Fund,27,1,7,2013
,One Acre Fund,22,1,7,2013
,One Acre Fund,26,1,7,2013
,One Acre Fund,16,1,7,2013
,One Acre Fund,22,1,7,2013
,One Acre Fund,25,1,7,2013
,One Acre Fund,26,1,6,2013
,One Acre Fund,16,1,6,2013
,One Acre Fund,16,1,6,2013
,One Acre Fund,18,1,6,2013
,One Acre Fund,22,1,6,2013
,One Acre Fund,20,1,6,2013
,One Acre Fund,16,1,5,2013
,One Acre Fund,27,1,5,2013
,One Acre Fund,35,1,6,2013
,One Acre Fund,25,1,6,2013
,One Acre Fund,22,1,6,2013
,One Acre Fund,27,1,6,2013
