id,cem011_prgrm,cem301_attendees_total,cem009_country,month,year,cem005_today
,Once Acre Fund,24,1,5,2013,06may2013
,Once Acre Fund,21,1,5,2013,06may2013
,Once Acre Fund,20,1,5,2013,06may2013
,Once Acre Fund,46,1,5,2013,06may2013
,Once Acre Fund,24,1,5,2013,06may2013
,Once Acre Fund,24,1,5,2013,06may2013
,Once Acre Fund,20,1,5,2013,06may2013
,Once Acre Fund,18,1,5,2013,06may2013
,Once Acre Fund,24,1,5,2013,06may2013
,Once Acre Fund,21,1,5,2013,06may2013
,Once Acre Fund,18,1,5,2013,06may2013
,Once Acre Fund,23,1,5,2013,06may2013
,Once Acre Fund,41,1,5,2013,06may2013
,Once Acre Fund,22,1,5,2013,06may2013
,Once Acre Fund,14,1,5,2013,06may2013
,Once Acre Fund,23,1,5,2013,06may2013
,Once Acre Fund,31,1,5,2013,06may2013
,Once Acre Fund,24,1,5,2013,07may2013
,Once Acre Fund,20,1,5,2013,07may2013
,Once Acre Fund,22,1,5,2013,07may2013
,Once Acre Fund,19,1,5,2013,07may2013
,Once Acre Fund,24,1,5,2013,07may2013
,Once Acre Fund,22,1,5,2013,07may2013
,Once Acre Fund,29,1,5,2013,07may2013
,Once Acre Fund,22,1,5,2013,07may2013
,Once Acre Fund,24,1,5,2013,07may2013
,Once Acre Fund,19,1,5,2013,07may2013
,Once Acre Fund,20,1,5,2013,07may2013
,Once Acre Fund,38,1,5,2013,07may2013
,Once Acre Fund,36,1,5,2013,07may2013
,Once Acre Fund,35,1,5,2013,07may2013
,Once Acre Fund,17,1,5,2013,08may2013
,Once Acre Fund,20,1,5,2013,08may2013
,Once Acre Fund,17,1,5,2013,08may2013
,Once Acre Fund,48,1,5,2013,08may2013
,Once Acre Fund,25,1,5,2013,08may2013
,Once Acre Fund,14,1,5,2013,08may2013
,Once Acre Fund,15,1,5,2013,08may2013
,Once Acre Fund,18,1,5,2013,08may2013
,Once Acre Fund,21,1,5,2013,08may2013
,Once Acre Fund,31,1,5,2013,08may2013
,Once Acre Fund,36,1,5,2013,08may2013
,Once Acre Fund,16,1,5,2013,08may2013
,Once Acre Fund,21,1,5,2013,08may2013
,Once Acre Fund,17,1,5,2013,08may2013
,Once Acre Fund,32,1,5,2013,08may2013
,Once Acre Fund,22,1,5,2013,08may2013
,Once Acre Fund,20,1,5,2013,08may2013
,Once Acre Fund,15,1,5,2013,08may2013
,Once Acre Fund,31,1,5,2013,08may2013
,Once Acre Fund,20,1,5,2013,08may2013
,Once Acre Fund,31,1,5,2013,09may2013
,Once Acre Fund,20,1,5,2013,09may2013
,Once Acre Fund,30,1,5,2013,09may2013
,Once Acre Fund,23,1,5,2013,09may2013
,Once Acre Fund,33,1,5,2013,09may2013
,Once Acre Fund,22,1,5,2013,09may2013
,Once Acre Fund,21,1,5,2013,09may2013
,Once Acre Fund,36,1,5,2013,09may2013
,Once Acre Fund,20,1,5,2013,09may2013
,Once Acre Fund,15,1,5,2013,09may2013
,Once Acre Fund,28,1,5,2013,09may2013
,Once Acre Fund,18,1,5,2013,09may2013
,Once Acre Fund,23,1,5,2013,09may2013
,Once Acre Fund,25,1,5,2013,09may2013
,Once Acre Fund,15,1,5,2013,09may2013
,Once Acre Fund,23,1,5,2013,09may2013
,Once Acre Fund,45,1,5,2013,09may2013
,Once Acre Fund,18,1,5,2013,09may2013
,Once Acre Fund,17,1,5,2013,09may2013
,Once Acre Fund,16,1,5,2013,10may2013
,Once Acre Fund,16,1,5,2013,10may2013
,Once Acre Fund,20,1,5,2013,10may2013
,Once Acre Fund,15,1,5,2013,10may2013
,Once Acre Fund,23,1,5,2013,10may2013
,Once Acre Fund,16,1,5,2013,10may2013
,Once Acre Fund,14,1,5,2013,10may2013
,Once Acre Fund,18,1,5,2013,10may2013
,Once Acre Fund,20,1,5,2013,10may2013
,Once Acre Fund,20,1,5,2013,10may2013
,Once Acre Fund,32,1,5,2013,10may2013
,Once Acre Fund,25,1,5,2013,10may2013
