id,t011_prgrm,pas_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,UJA,0,,,,,,,3,3,,,,1,9,2012,01-Sep-12
,UJA,0,,1,,,,,2,3,,,,1,8,2012,31-Aug-12
,UJA,0,,,,,1,,1,3,,,,1,5,2013,06may2013
,UJA,0,,,0,,0,,,,,,,1,5,2013,07may2013
,UJA,0,,1,,,,,1,2,,,,1,9,2012,03-Sep-12
,UJA,0,,1,,,,,2,3,,,,1,9,2012,04-Sep-12
,UJA,0,,,,,,,2,2,,,,1,8,2012,31-Aug-12
,UJA,0,,1,,,,,2,2,,,,1,9,2012,06-Sep-12
,UJA,0,,1,,,,,3,3,,,,1,9,2012,01-Sep-12
,UJA,0,,1,,,,,2,2,,,,1,1,2013,31-Jan-13
,UJA,0,,1,,,,,2,3,,,,1,10,2012,13oct2012
,UJA,0,,,,,,,2,2,,,,1,9,2012,01-Sep-12
,UJA,0,,1,,,,,3,3,,,,1,9,2012,04-Sep-12
,UJA,0,,1,,,,,3,3,,,,1,9,2012,10-Sep-12
,UJA,0,,1,,,,,3,3,,,,1,9,2012,04-Sep-12
,UJA,0,,,,,,,3,3,,,,1,8,2012,27-Aug-12
,UJA,0,,1,,,,,1,2,,,,1,8,2012,28-Aug-12
,UJA,0,,,,,,,3,3,,,,1,9,2012,03-Sep-12
,UJA,0,,1,,,,,2,3,,,,1,8,2012,28-Aug-12
,UJA,0,,1,,,,,3,3,,,,1,9,2012,10-Sep-12
,UJA,0,,,,,,,3,3,,,,1,9,2012,12-Sep-12
,UJA,0,,1,,,,,2,3,,,,1,8,2012,29-Aug-12
,UJA,0,,,,,,,2,3,9,,,1,8,2012,30-Aug-12
,UJA,1,,,,,1,,3,3,,,1,1,5,2013,27may2013
,UJA,0,,,,,,,3,3,,,,1,8,2012,31-Aug-12
,UJA,0,,,,,,,3,3,,,,1,9,2012,04-Sep-12
,UJA,1,,,,,1,,3,2,,,1,1,5,2013,21may2013
,UJA,0,,1,,,,,2,3,,,,1,9,2012,06-Sep-12
,UJA,0,,,1,1,0,,,,,,,1,5,2013,25may2013
,UJA,0,,,,,,,3,3,,,,1,8,2012,25-Aug-12
,UJA,0,,1,,,,,3,3,,,,1,9,2012,05-Sep-12
,UJA,0,,1,,,,,2,3,,,,1,9,2012,01-Sep-12
,UJA,0,,1,,,1,,1,3,,,,1,5,2013,21may2013
,UJA,0,,1,,,,,1,1,,,,1,10,2012,16oct2012
,UJA,0,,1,,,,,2,3,,,,1,9,2012,03-Sep-12
,UJA,0,,1,,,,,3,3,,,,1,9,2012,01-Sep-12
,UJA,0,,1,,,,,1,3,,,,1,8,2012,27-Aug-12
,UJA,0,,1,,,,,2,2,,,,1,9,2012,03-Sep-12
,UJA,0,,1,,,,,1,3,,,,1,9,2012,03-Sep-12
,UJA,0,,,,,0,,,,,,,1,8,2014,23-Aug-14
,UJA,1,,,0,,1,,2,3,,,1,1,5,2013,03may2013
,UJA,0,,,,,,,3,3,,,,1,9,2012,05-Sep-12
,UJA,1,,,1,1,1,,3,3,,,1,1,5,2013,09may2013
,UJA,0,,,1,1,1,,1,1,,,,1,5,2013,08may2013
,UJA,0,,-999,,,,,2,2,11,,,1,9,2012,04-Sep-12
,UJA,0,,1,,,,,2,3,12,,,1,2,2013,01-Feb-13
,UJA,1,,,0,,1,,1,3,,,1,1,5,2013,06may2013
,UJA,1,,1,,,1,,3,3,,,1,1,5,2013,24may2013
,UJA,0,,1,,,,,3,3,,,,1,8,2012,29-Aug-12
,UJA,0,,,,,,,3,3,,,,1,9,2012,03-Sep-12
,UJA,0,,1,,,,,2,3,,,,1,8,2012,27-Aug-12
