id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_wsb_talkedto,t302b_rep_wsb_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t009_country,month,year,t005_today
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,22-Nov-13
,ZMB1_2,1,,,,,,,,,,,,3,11,2013,22-Nov-13
,ZMB1_2,0,,,1,1,1,,3,3,,,,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,-999,1,,3,3,,,1,3,11,2013,22-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,22-Nov-13
,ZMB1_2,1,,,,,,,,,,,,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,23-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB1_2,1,,,1,1,1,,1,1,,,,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB1_2,1,,1,,,1,,1,1,,,,3,11,2013,22-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB1_2,1,,1,,,1,,1,3,,,,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,1,1,,2,3,,,1,3,11,2013,22-Nov-13
,ZMB1_2,,,,,,1,,3,3,,,1,3,11,2013,22-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,0,3,11,2013,22-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,0,3,11,2013,22-Nov-13
,ZMB1_2,1,,,1,1,1,,3,1,,,,3,11,2013,21-Nov-13
,ZMB1_2,1,,,,,,,,,,,,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,2,2014,01-Feb-14
,ZMB1_2,1,,,1,1,1,,1,1,,,,3,11,2013,22-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB1_2,0,,0,,,,,,,,,,3,11,2013,21-Nov-13
,ZMB1_2,0,,1,,,0,,,,,,,3,11,2013,21-Nov-13
,ZMB1_2,,,,0,,1,,3,3,,,1,3,11,2013,22-Nov-13
,ZMB3,,1,,1,1,1,,3,3,,163.3333,1,3,8,2014,07-Aug-14
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB1_2,1,,,,,,,,,,,,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,21-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,2,2014,01-Feb-14
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,22-Nov-13
,ZMB1_2,,,,0,,1,,3,3,,,1,3,1,2014,21-Jan-14
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,2,2014,01-Feb-14
,ZMB1_2,1,,,1,1,1,,3,3,,,,3,11,2013,22-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,22-Nov-13
,ZMB1_2,,,1,,,1,,3,3,,,1,3,11,2013,22-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,11,2013,22-Nov-13
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,2,2014,01-Feb-14
,ZMB1_2,,,,1,1,1,,3,3,,,1,3,2,2014,01-Feb-14
