id,country,ssm011_prgrm,year,month,ssm005_today
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,21-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Uasin Gishu,2015,4,19-Apr-15
,1,Uasin Gishu,2015,4,19-Apr-15
,1,Uasin Gishu,2015,4,19-Apr-15
,1,Uasin Gishu,2015,4,19-Apr-15
,1,Uasin Gishu,2015,4,22-Apr-15
,1,Uasin Gishu,2015,4,22-Apr-15
,1,Uasin Gishu,2015,4,22-Apr-15
,1,Uasin Gishu,2015,4,22-Apr-15
,1,Uasin Gishu,2015,4,19-Apr-15
,1,Uasin Gishu,2015,4,19-Apr-15
,1,Uasin Gishu,2015,4,19-Apr-15
,1,Uasin Gishu,2015,4,19-Apr-15
,1,Busia,2015,2,17-Feb-15
,1,Busia,2015,2,11-Feb-15
,1,Busia,2015,2,13-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Bungoma,2015,2,23-Feb-15
,1,Busia,2015,2,12-Feb-15
,1,Busia,2015,2,13-Feb-15
,1,Busia,2015,2,12-Feb-15
,1,Busia,2015,2,12-Feb-15
,1,Busia,2015,2,13-Feb-15
,1,Busia,2015,2,12-Feb-15
,1,Busia,2015,2,10-Feb-15
,1,Busia,2015,3,23mar2015
,1,Busia,2015,2,17-Feb-15
,1,Busia,2015,2,17-Feb-15
,1,Busia,2015,2,12-Feb-15
,1,Busia,2015,2,13-Feb-15
,1,Busia,2015,2,17-Feb-15
,1,Busia,2015,2,12-Feb-15
,1,Busia,2015,2,12-Feb-15
,1,Busia,2015,2,13-Feb-15
,1,Busia,2015,2,16-Feb-15
,1,Busia,2015,2,16-Feb-15
,1,Busia,2015,2,17-Feb-15
,1,Busia,2015,2,14-Feb-15
,1,Busia,2015,2,17-Feb-15
,1,Busia,2015,2,12-Feb-15
,1,Busia,2015,2,16-Feb-15
,1,Busia,2015,2,17-Feb-15
,1,Busia,2015,2,12-Feb-15
,1,Busia,2015,2,17-Feb-15
