id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Siaya,10216753,,,,,,1,4,2013/09/06,2013/09/06,9,2013,1
,Siaya,10220019,10,448,14.93333,0.6696429,3.348214,5,13,2013/09/06,2014/11/28,9,2013,1
,Siaya,10220023,18,581,19.36667,0.929432,4.64716,6,18,2013/09/06,2015/04/10,9,2013,1
,Siaya,10220027,10,544,18.13333,0.5514706,2.757353,5,13,2013/09/06,04/03/2015,9,2013,1
,Siaya,10220028,16,544,18.13333,0.8823529,4.411765,7,23,2013/09/06,04/03/2015,9,2013,1
,Siaya,10220029,13,370,12.33333,1.054054,5.27027,5,17,2013/09/06,2014/09/11,9,2013,1
,Siaya,10220030,16,455,15.16667,1.054945,5.274725,5,16,2013/09/06,05/12/2014,9,2013,1
,Siaya,10221184,9.5,448,14.93333,0.6361607,3.180804,5,13,2013/09/06,2014/11/28,9,2013,1
,Siaya,10220007,6,445,14.83333,0.4044944,2.022472,4,9,2013/09/07,2014/11/26,9,2013,1
,Siaya,10220010,12.5,437,14.56667,0.8581236,4.290618,7,16,2013/09/07,2015/02/28,9,2013,1
,Siaya,10220014,17.5,447,14.9,1.174497,5.872483,7,22,2013/09/07,01/12/2014,9,2013,1
,Siaya,10220015,4.5,286,9.533334,0.472028,2.36014,4,10,2013/09/07,2014/06/23,9,2013,1
,Siaya,10220020,6,212,7.066667,0.8490566,4.245283,3,10,2013/09/09,2014/04/09,9,2013,1
,Siaya,10220021,22.5,491,16.36667,1.374745,6.873727,8,27,2013/09/09,2015/01/13,9,2013,1
,Siaya,10220025,14,543,18.1,0.7734807,3.867403,8,18,2013/09/09,2015/04/17,9,2013,1
,Siaya,10220026,10,543,18.1,0.5524862,2.762431,6,14,2013/09/09,06/03/2015,9,2013,1
,Siaya,10220032,,,,,,1,4,2013/09/09,2013/09/09,9,2013,1
,Siaya,10220033,8.5,499,16.63333,0.511022,2.55511,4,12,2013/09/09,2015/01/21,9,2013,1
,Siaya,10220034,8.5,499,16.63333,0.511022,2.55511,4,12,2013/09/09,2015/01/21,9,2013,1
,Siaya,10220035,13.5,499,16.63333,0.8116233,4.058116,4,13,2013/09/09,2015/01/21,9,2013,1
,Siaya,10220036,12,499,16.63333,0.7214429,3.607214,5,12,2013/09/09,2015/01/21,9,2013,1
,Siaya,10220037,10,394,13.13333,0.7614213,3.807106,4,13,2013/09/09,08/10/2014,9,2013,1
,Siaya,10220038,6,394,13.13333,0.4568528,2.284264,3,9,2013/09/09,08/10/2014,9,2013,1
,Siaya,10220039,5,394,13.13333,0.3807107,1.903553,3,8,2013/09/09,08/10/2014,9,2013,1
,Siaya,10220042,12,539,17.96667,0.6679035,3.339517,5,12,2013/09/09,02/03/2015,9,2013,1
,Siaya,10220045,11,539,17.96667,0.6122449,3.061224,4,11,2013/09/09,02/03/2015,9,2013,1
,Siaya,10220046,10,505,16.83333,0.5940594,2.970297,4,13,2013/09/09,2015/01/27,9,2013,1
,Siaya,10220047,12,505,16.83333,0.7128713,3.564356,5,12,2013/09/09,2015/01/27,9,2013,1
,Siaya,10220052,12,393,13.1,0.9160305,4.580153,4,11,2013/09/09,07/10/2014,9,2013,1
,Siaya,10220053,5,410,13.66667,0.3658536,1.829268,3,8,2013/09/09,24/10/2014,9,2013,1
,Siaya,10220054,10.5,394,13.13333,0.7994924,3.997462,4,14,2013/09/09,08/10/2014,9,2013,1
,Siaya,10220055,5,410,13.66667,0.3658536,1.829268,3,8,2013/09/09,24/10/2014,9,2013,1
,Siaya,10220056,2.5,410,13.66667,0.1829268,0.9146341,2,6,2013/09/09,24/10/2014,9,2013,1
,Siaya,10220074,10,592,19.73333,0.5067567,2.533784,5,13,2013/09/09,2015/04/24,9,2013,1
,Siaya,10220075,9,554,18.46667,0.4873646,2.436823,5,12,2013/09/09,2015/04/24,9,2013,1
,Siaya,10220076,11,592,19.73333,0.5574324,2.787162,5,14,2013/09/09,2015/04/24,9,2013,1
,Siaya,10220079,15,603,20.1,0.7462686,3.731343,6,18,2013/09/09,05/05/2015,9,2013,1
,Siaya,10220080,12,603,20.1,0.5970149,2.985075,5,16,2013/09/09,05/05/2015,9,2013,1
,Siaya,10220084,13,592,19.73333,0.6587838,3.293919,6,16,2013/09/09,2015/04/24,9,2013,1
,Siaya,10220085,14,592,19.73333,0.7094594,3.547297,6,17,2013/09/09,2015/04/24,9,2013,1
,Siaya,10220086,12.5,603,20.1,0.6218905,3.109453,5,16,2013/09/09,05/05/2015,9,2013,1
,Siaya,10220087,15,592,19.73333,0.7601351,3.800676,6,18,2013/09/09,2015/04/24,9,2013,1
,Siaya,10220001,10,540,18,0.5555556,2.777778,6,13,2013/09/10,04/03/2015,9,2013,1
,Siaya,10220002,8,540,18,0.4444444,2.222222,5,13,2013/09/10,04/03/2015,9,2013,1
,Siaya,10220003,9,540,18,0.5,2.5,6,16,2013/09/10,04/03/2015,9,2013,1
,Siaya,10220004,8,447,14.9,0.5369127,2.684564,4,12,2013/09/10,01/12/2014,9,2013,1
,Siaya,10220005,9,542,18.06667,0.498155,2.490775,5,16,2013/09/10,06/03/2015,9,2013,1
,Siaya,10220006,6,542,18.06667,0.3321033,1.660517,4,12,2013/09/10,06/03/2015,9,2013,1
,Siaya,10220008,9,451,15.03333,0.5986696,2.993348,5,12,2013/09/10,05/12/2014,9,2013,1
,Siaya,10220009,7,542,18.06667,0.3874539,1.937269,4,13,2013/09/10,06/03/2015,9,2013,1
,Siaya,10220011,10.5,542,18.06667,0.5811808,2.905904,6,14,2013/09/10,06/03/2015,9,2013,1
,Siaya,10220040,4,211,7.033333,0.5687204,2.843602,2,7,2013/09/10,2014/04/09,9,2013,1
,Siaya,10220049,,,,,,1,4,2013/09/10,2013/09/10,9,2013,1
,Siaya,10220050,5,538,17.93333,0.2788104,1.394052,3,8,2013/09/10,02/03/2015,9,2013,1
,Siaya,10220051,12.5,538,17.93333,0.6970261,3.48513,6,16,2013/09/10,02/03/2015,9,2013,1
,Siaya,10220081,17.5,602,20.06667,0.872093,4.360465,6,21,2013/09/10,05/05/2015,9,2013,1
,Siaya,10220083,16.5,539,17.96667,0.9183673,4.591836,7,19,2013/09/10,2015/04/24,9,2013,1
,Ugunja,10210643,10,523,17.43333,0.5736138,2.868069,6,15,2013/09/11,2015/02/18,9,2013,1
,Siaya,10220031,4,545,18.16667,0.2201835,1.100917,5,10,2013/09/11,2015/04/17,9,2013,1
,Siaya,10220041,15.5,537,17.9,0.8659218,4.329609,6,19,2013/09/11,02/03/2015,9,2013,1
,Siaya,10220091,20,395,13.16667,1.518987,7.594936,9,28,2013/09/11,2015/02/09,9,2013,1
,Siaya,10220094,19,516,17.2,1.104651,5.523255,7,23,2013/09/11,2015/02/09,9,2013,1
,Siaya,10220095,7,516,17.2,0.4069767,2.034884,4,10,2013/09/11,2015/02/09,9,2013,1
,Siaya,10220105,3,516,17.2,0.1744186,0.872093,2,6,2013/09/11,2015/02/09,9,2013,1
,Siaya,10220303,16.5,546,18.2,0.9065934,4.532967,6,16,2013/09/11,11/03/2015,9,2013,1
,Siaya,10220304,17,546,18.2,0.9340659,4.67033,6,16,2013/09/11,11/03/2015,9,2013,1
,Siaya,10220305,7,546,18.2,0.3846154,1.923077,6,9,2013/09/11,11/03/2015,9,2013,1
,Siaya,10220337,11.5,427,14.23333,0.8079625,4.039813,5,12,2013/09/11,2014/11/12,9,2013,1
,Siaya,10220338,12.5,427,14.23333,0.8782201,4.391101,6,16,2013/09/11,2014/11/12,9,2013,1
,Siaya,10220340,8,440,14.66667,0.5454546,2.727273,5,11,2013/09/11,2014/11/25,9,2013,1
,Siaya,10220347,38,488,16.26667,2.336066,11.68033,17,51,2013/09/11,2015/01/22,9,2013,1
,Siaya,10220380,26,525,17.5,1.485714,7.428572,16,46,2013/09/11,02/03/2015,9,2013,1
,Siaya,10220409,7,281,9.366667,0.747331,3.736655,3,10,2013/09/11,2014/06/19,9,2013,1
,Siaya,10220410,1,281,9.366667,0.1067616,0.5338078,2,5,2013/09/11,2014/06/19,9,2013,1
,Siaya,10220411,11,553,18.43333,0.5967451,2.983725,8,18,2013/09/11,2015/04/14,9,2013,1
,Siaya,10220412,4,216,7.2,0.5555556,2.777778,2,7,2013/09/11,2014/04/15,9,2013,1
,Siaya,10220414,4,211,7.033333,0.5687204,2.843602,2,7,2013/09/11,2014/04/10,9,2013,1
,Siaya,10220418,10,503,16.76667,0.5964215,2.982107,4,13,2013/09/11,2015/01/27,9,2013,1
,Siaya,10220421,6,280,9.333333,0.6428572,3.214286,4,13,2013/09/11,2014/06/19,9,2013,1
,Siaya,10221089,13.5,544,18.13333,0.7444853,3.722427,7,17,2013/09/11,09/03/2015,9,2013,1
,Siaya,10221090,,,,,,1,4,2013/09/11,2013/09/11,9,2013,1
,Siaya,10221091,,,,,,1,4,2013/09/11,2013/09/11,9,2013,1
,Siaya,10221098,12,519,17.3,0.6936417,3.468208,5,15,2013/09/11,2015/02/12,9,2013,1
,Siaya,10221103,8,525,17.5,0.4571429,2.285714,5,15,2013/09/11,2015/02/19,9,2013,1
,Siaya,10221104,11,525,17.5,0.6285715,3.142857,7,18,2013/09/11,2015/02/19,9,2013,1
,Siaya,10221108,15.5,446,14.86667,1.042601,5.213004,7,20,2013/09/11,2015/02/12,9,2013,1
,Siaya,10221109,9,525,17.5,0.5142857,2.571429,5,16,2013/09/11,2015/02/19,9,2013,1
,Siaya,10221113,12,446,14.86667,0.8071749,4.035874,8,21,2013/09/11,2015/02/12,9,2013,1
,Siaya,10221133,5,223,7.433333,0.6726457,3.363229,2,6,2013/09/11,2014/04/22,9,2013,1
,Siaya,10221135,8,525,17.5,0.4571429,2.285714,5,11,2013/09/11,2015/02/18,9,2013,1
,Siaya,10221139,13,522,17.4,0.7471265,3.735632,9,20,2013/09/11,2015/02/18,9,2013,1
,Siaya,10221140,14,523,17.43333,0.8030593,4.015297,6,18,2013/09/11,2015/02/18,9,2013,1
,Siaya,10221141,10.5,547,18.23333,0.5758684,2.879342,4,11,2013/09/11,12/03/2015,9,2013,1
,Siaya,10221142,20,537,17.9,1.117319,5.586593,9,23,2013/09/11,02/03/2015,9,2013,1
,Siaya,10221146,16,535,17.83333,0.8971962,4.485981,8,23,2013/09/11,02/03/2015,9,2013,1
,Siaya,10221148,17,542,18.06667,0.9409593,4.704797,9,22,2013/09/11,12/03/2015,9,2013,1
,Siaya,10221149,10,391,13.03333,0.7672634,3.836317,6,13,2013/09/11,12/03/2015,9,2013,1
,Siaya,10221159,17,504,16.8,1.011905,5.059524,6,21,2013/09/11,2015/01/28,9,2013,1
,Siaya,10221163,19,601,20.03333,0.9484193,4.742097,8,22,2013/09/11,05/05/2015,9,2013,1
,Siaya,10221166,17,504,16.8,1.011905,5.059524,7,21,2013/09/11,2015/01/28,9,2013,1
,Siaya,10203236,,,,,,1,4,2013/09/12,2013/09/12,9,2013,1
,Siaya,10220096,11,515,17.16667,0.6407767,3.203883,5,14,2013/09/12,2015/02/09,9,2013,1
,Siaya,10220098,2,449,14.96667,0.1336303,0.6681514,3,5,2013/09/12,2015/02/16,9,2013,1
,Siaya,10220099,3,230,7.666667,0.3913043,1.956522,3,7,2013/09/12,2015/02/16,9,2013,1
,Siaya,10220100,9.5,522,17.4,0.545977,2.729885,4,13,2013/09/12,2015/02/16,9,2013,1
,Siaya,10220102,7,515,17.16667,0.407767,2.038835,4,10,2013/09/12,2015/02/09,9,2013,1
,Siaya,10220263,26,541,18.03333,1.441774,7.208872,11,31,2013/09/12,11/03/2015,9,2013,1
,Siaya,10220306,16,545,18.16667,0.880734,4.40367,6,15,2013/09/12,11/03/2015,9,2013,1
,Siaya,10220307,18,545,18.16667,0.9908257,4.954129,6,17,2013/09/12,11/03/2015,9,2013,1
,Siaya,10220309,3,344,11.46667,0.2616279,1.30814,3,6,2013/09/12,2014/08/22,9,2013,1
,Siaya,10220325,9,344,11.46667,0.7848837,3.924419,3,9,2013/09/12,2014/08/22,9,2013,1
,Siaya,10220326,10.5,344,11.46667,0.9156977,4.578488,4,11,2013/09/12,2014/08/22,9,2013,1
