ID,vcs201_attendees_total,vcs011_prgrm,month,year,country
,32,Ntungamo,12,2014,2
,37,Ntungamo,12,2014,2
,47,Ntungamo,12,2014,2
,32,Ntungamo,12,2014,2
,29,Ntungamo,12,2014,2
,27,Ntungamo,12,2014,2
,33,Ntungamo,12,2014,2
,37,Ntungamo,12,2014,2
,31,Ntungamo,12,2014,2
,18,Ntungamo,12,2014,2
,19,Ntungamo,12,2014,2
,27,Ntungamo,12,2014,2
,30,Ntungamo,12,2014,2
,26,Ntungamo,12,2014,2
,17,Ntungamo,12,2014,2
,49,Ntungamo,12,2014,2
,31,Ntungamo,12,2014,2
,31,Ntungamo,12,2014,2
,57,Ntungamo,12,2014,2
,48,Ntungamo,12,2014,2
,25,Ntungamo,12,2014,2
,44,Ntungamo,12,2014,2
,33,Ntungamo,12,2014,2
,45,Ntungamo,12,2014,2
,31,Ntungamo,12,2014,2
,29,Ntungamo,12,2014,2
,32,Ntungamo,12,2014,2
,31,Ntungamo,12,2014,2
,35,Ntungamo,12,2014,2
,28,Ntungamo,12,2014,2
,24,Ntungamo,12,2014,2
,23,Ntungamo,12,2014,2
,16,Ntungamo,12,2014,2
,32,Ntungamo,12,2014,2
