id,s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,10010001,1,0,,,,,6,2015,1,BSA
,10010001,1,0,,,,,12,2014,1,BSA
,10010001,1,0,,,,,8,2015,1,BSA
,10010002,,0,,,,,8,2015,1,BSA
,10010002,1,0,,,,,6,2015,1,BSA
,10010002,0,0,,,,,2,2015,1,BSA
,10010002,1,0,,,,,12,2014,1,BSA
,10010002,1,0,,,,,4,2014,1,BSA
,10010003,1,0,,,,,6,2015,1,BSA
,10010003,,1,0,1,1,0,12,2014,1,BSA
,10010003,1,0,,,,,4,2014,1,BSA
,10010003,1,0,,,,,8,2015,1,BSA
,10010004,1,0,,,,,10,2015,1,BSA
,10010004,1,0,,,,,2,2016,1,BSA
,10010004,1,0,,,,,8,2015,1,BSA
,10010004,1,0,,,,,11,2013,1,BSA
,10010004,1,0,,,,,10,2015,1,BSA
,10010004,1,0,,,,,1,2015,1,BSA
,10010004,1,0,,,,,3,2015,1,BSA
,10010005,1,0,,,,,3,2015,1,BSA
,10010005,1,0,,,,,6,2015,1,BSA
,10010005,1,0,,,,,11,2015,1,BSA
,10010005,1,0,,,,,8,2015,1,BSA
,10010005,1,0,,,,,5,2015,1,BSA
,10010006,1,0,,,,,6,2015,1,BSA
,10010006,1,0,,,,,1,2015,1,BSA
,10010006,1,0,,,,,9,2015,1,BSA
,10010006,1,1,0,1,0,0,7,2015,1,BSA
,10010006,1,0,,,,,2,2014,1,BSA
,10010007,1,0,,,,,2,2016,1,BSA
,10010007,1,1,0,0,0,0,2,2015,1,BSA
,10010007,1,0,,,,,6,2015,1,BSA
,10010008,1,0,,,,,7,2015,1,BSA
,10010008,0,0,,,,,2,2015,1,BSA
,10010008,1,0,,,,,3,2016,1,BSA
,10010008,1,1,1,0,0,0,6,2015,1,BSA
,10010009,1,0,,,,,3,2015,1,BSA
,10010009,1,0,,,,,7,2015,1,BSA
,10010009,1,0,,,,,11,2013,1,BSA
,10010009,1,0,,,,,2,2016,1,BSA
,10010010,1,0,,,,,1,2015,1,BSA
,10010010,1,0,,,,,10,2015,1,BSA
,10010011,1,0,,,,,2,2015,1,BSA
,10010011,1,0,,,,,7,2015,1,BSA
,10010011,1,0,,,,,10,2015,1,BSA
,10010011,1,0,,,,,10,2015,1,BSA
,10010012,1,0,,,,,6,2015,1,BSA
,10010012,1,0,,,,,3,2015,1,BSA
,10010012,1,0,,,,,3,2016,1,BSA
,10010012,1,1,0,1,1,0,2,2015,1,BSA
,10010013,1,0,,,,,8,2015,1,BSA
,10010013,1,0,,,,,6,2015,1,BSA
,10010013,1,0,,,,,9,2015,1,BSA
,10010013,1,0,,,,,3,2016,1,BSA
,10010014,1,0,,,,,8,2015,1,BSA
