id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
"","Yes","No",,.s,.s,.s,2,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,,,,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB4"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB3"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB1"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB1"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB2"
"","Yes","Yes","Yes",.s,.s,.s,1,2015,"Malawi","ZMB2"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB1"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB1"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB2"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB1"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB1"
"","Yes","Yes","No","Yes",.s,.s,1,2015,"Malawi","ZMB2"
"","No","No",,.s,.s,.s,1,2015,"Malawi","ZMB1"
"","Yes","No",,.s,.s,.s,1,2015,"Malawi","ZMB2"
