id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,17,Busia-KE,6,2010,1,30oct2014
,18,Busia-KE,6,2010,1,18-Jun-14
,25,Busia-KE,3,2011,1,20-Jan-15
,16,Busia-KE,3,2011,1,17-Jun-14
,19,Busia-KE,3,2011,1,19-Jun-14
,15,Busia-KE,3,2011,1,10dec2014
,51,Busia-KE,3,2011,1,11dec2014
,18,Busia-KE,3,2011,1,18-Jun-14
,14,Busia-KE,3,2011,1,19-Jun-14
,12,Busia-KE,3,2011,1,25-Jun-14
,16,Busia-KE,3,2011,1,26-Jun-14
,19,Busia-KE,3,2011,1,27-Jun-14
,12,Busia-KE,3,2011,1,12-Jun-14
,20,Busia-KE,3,2011,1,12-Jun-14
,15,Busia-KE,3,2011,1,13-Jun-14
,19,Busia-KE,3,2011,1,02-Jul-14
,16,Busia-KE,3,2011,1,12-Jun-14
,25,Busia-KE,3,2011,1,20-Jun-14
,10,Busia-KE,3,2011,1,27-Jun-14
,22,Busia-KE,3,2011,1,25-Jun-14
,16,Busia-KE,3,2011,1,23-Jun-14
,24,Busia-KE,3,2011,1,23-Jun-14
,12,Busia-KE,3,2011,1,24-Jun-14
,30,Busia-KE,3,2011,1,21-Jan-15
,15,Busia-KE,3,2011,1,21-Jan-15
,31,Busia-KE,3,2011,1,11dec2014
,17,Busia-KE,3,2011,1,27-Jun-14
,19,Busia-KE,3,2011,1,30-Jun-14
,18,Busia-KE,3,2011,1,30-Jun-14
,16,Busia-KE,8,2010,1,10dec2014
,16,Busia-KE,8,2010,1,27-Jun-14
,22,Busia-KE,11,2010,1,27-Jan-15
,33,Busia-KE,11,2010,1,27-Feb-15
,13,Kakamega,6,2011,1,05may2014
,14,Kakamega,6,2011,1,05-Jun-14
,17,Kakamega,6,2011,1,12-Jan-15
,19,Kakamega,6,2011,1,04-Jun-14
,25,Vihiga,7,2011,1,20-Aug-15
,25,Kakamega,6,2011,1,27may2014
,16,Kakamega,4,2011,1,20may2014
,15,Kakamega,6,2011,1,06may2014
,6,Kakamega,6,2011,1,05may2014
,19,Vihiga,7,2011,1,19-Aug-15
,18,Kakamega,6,2011,1,06-Jun-14
,14,Kakamega,6,2011,1,13may2014
,16,Vihiga,7,2011,1,19-Aug-15
,7,Kakamega,6,2011,1,29may2014
,18,Vihiga,7,2011,1,19-Aug-15
,18,Vihiga,7,2011,1,19-Aug-15
,22,Kakamega,6,2011,1,26may2014
,10,Kakamega,6,2011,1,29may2014
,20,Kakamega,6,2011,1,30may2014
,12,Kakamega,6,2011,1,22may2014
,19,Kakamega,6,2011,1,16may2014
,22,Kakamega,6,2011,1,20may2014
,19,Kakamega,6,2011,1,27may2014
,28,Vihiga,7,2011,1,19-Aug-15
,16,Kakamega,6,2011,1,19may2014
,15,Kakamega,6,2011,1,14may2014
,15,Kakamega,6,2011,1,13may2014
,23,Kakamega,6,2011,1,04-Jun-14
,10,Kakamega,6,2011,1,23may2014
,16,Kakamega,6,2011,1,06may2014
,21,Kakamega,6,2011,1,03-Jun-14
,16,Kakamega,6,2011,1,22may2014
,19,Kakamega,6,2011,1,19may2014
,16,Kakamega,6,2011,1,07may2014
,19,Kakamega,6,2011,1,05-Jun-14
,12,Kakamega,6,2011,1,16dec2014
,16,Kakamega,6,2011,1,21may2014
,16,Kakamega,6,2011,1,15may2014
,15,Kakamega,6,2011,1,15may2014
,15,Kakamega,6,2011,1,22may2014
,14,Kakamega,6,2011,1,26may2014
,15,Kakamega,6,2011,1,28may2014
,13,Kakamega,6,2011,1,09-Jun-14
,15,Kakamega,6,2011,1,09may2014
,18,Kakamega,6,2011,1,08may2014
,24,Vihiga,7,2011,1,19-Aug-15
,16,Kakamega,6,2011,1,05may2014
,15,Kakamega,6,2011,1,07may2014
,18,Kakamega,6,2011,1,12may2014
,18,One Acre Fund,11,2011,1,14may2013
,21,One Acre Fund,12,2011,1,11-Jul-13
,23,One Acre Fund,12,2011,1,11-Jul-13
,26,One Acre Fund,12,2011,1,16-Jul-13
,36,One Acre Fund,11,2011,1,11-Jul-13
,26,One Acre Fund,11,2011,1,13-Jul-13
,16,One Acre Fund,11,2011,1,10-Jul-13
,25,One Acre Fund,11,2011,1,10-Jul-13
,19,One Acre Fund,12,2011,1,16-Jul-13
,34,One Acre Fund,12,2011,1,16-Jul-13
,49,One Acre Fund,12,2011,1,16-Jul-13
,31,One Acre Fund,11,2011,1,16-Jul-13
,28,One Acre Fund,11,2011,1,10-Jul-13
,24,One Acre Fund,11,2011,1,10-Jul-13
,21,One Acre Fund,11,2011,1,14may2013
,41,One Acre Fund,12,2011,1,10-Jul-13
,26,One Acre Fund,11,2011,1,17-Jul-13
,44,One Acre Fund,11,2011,1,16-Jul-13
,23,One Acre Fund,11,2011,1,16-Jul-13
,37,One Acre Fund,11,2011,1,16-Jul-13
,23,One Acre Fund,11,2011,1,10-Jul-13
,37,One Acre Fund,11,2011,1,17-Jul-13
,16,One Acre Fund,11,2011,1,11-Jul-13
,18,One Acre Fund,12,2011,1,12-Jul-13
,17,One Acre Fund,11,2011,1,11-Jul-13
,40,One Acre Fund,11,2011,1,11-Jul-13
,34,One Acre Fund,11,2011,1,11-Jul-13
,18,One Acre Fund,12,2011,1,12-Jul-13
,31,One Acre Fund,12,2011,1,11-Jul-13
,31,One Acre Fund,11,2011,1,12-Jul-13
,24,One Acre Fund,11,2011,1,11-Jul-13
,19,One Acre Fund,11,2011,1,11-Jul-13
,23,One Acre Fund,11,2011,1,11-Jul-13
,17,One Acre Fund,11,2011,1,17-Jul-13
,18,One Acre Fund,11,2011,1,12-Jul-13
,24,One Acre Fund,11,2011,1,12-Jul-13
,20,One Acre Fund,11,2011,1,17-Jun-13
,22,One Acre Fund,11,2011,1,15-Jun-13
,23,One Acre Fund,11,2011,1,17-Jun-13
,23,One Acre Fund,11,2011,1,17-Jun-13
,16,One Acre Fund,12,2011,1,17-Jun-13
,26,One Acre Fund,11,2011,1,15-Jun-13
,20,One Acre Fund,11,2011,1,17-Jun-13
,32,One Acre Fund,11,2011,1,17-Jun-13
,20,One Acre Fund,11,2011,1,17-Jun-13
,20,One Acre Fund,11,2011,1,17-Jun-13
,24,One Acre Fund,11,2011,1,17-Jun-13
,16,One Acre Fund,11,2011,1,17-Jun-13
,18,One Acre Fund,11,2011,1,17-Jun-13
,29,One Acre Fund,11,2011,1,17-Jun-13
,41,One Acre Fund,11,2011,1,17-Jun-13
,23,One Acre Fund,11,2011,1,21-Jun-13
,29,One Acre Fund,11,2011,1,17-Jun-13
,29,One Acre Fund,11,2011,1,17-Jun-13
,16,One Acre Fund,11,2011,1,17-Jun-13
,25,One Acre Fund,12,2011,1,31-Jul-13
,28,One Acre Fund,11,2011,1,10-Jul-13
,23,One Acre Fund,11,2011,1,10-Jul-13
,20,One Acre Fund,11,2011,1,16-Jul-13
,32,One Acre Fund,11,2011,1,17-Jul-13
,21,One Acre Fund,11,2011,1,11-Jul-13
,23,One Acre Fund,10,2011,1,06-Jul-13
,26,One Acre Fund,11,2011,1,07-Jul-13
,16,One Acre Fund,12,2011,1,08-Jul-13
,18,One Acre Fund,11,2011,1,06-Jul-13
,17,One Acre Fund,12,2011,1,06-Jul-13
,23,One Acre Fund,11,2011,1,08-Jul-13
,18,One Acre Fund,11,2011,1,13-Jul-13
,30,One Acre Fund,10,2011,1,13-Jul-13
,21,One Acre Fund,11,2011,1,08-Jul-13
,21,One Acre Fund,12,2011,1,06-Jul-13
,26,One Acre Fund,11,2011,1,06-Jul-13
,22,One Acre Fund,11,2011,1,08-Jul-13
,19,One Acre Fund,12,2011,1,08-Jul-13
,18,One Acre Fund,12,2011,1,06-Jul-13
,19,One Acre Fund,11,2011,1,06-Jul-13
,30,One Acre Fund,11,2011,1,06-Jul-13
,16,One Acre Fund,11,2011,1,06-Jul-13
,26,One Acre Fund,2,2012,1,08-Jul-13
,26,One Acre Fund,11,2011,1,08-Jul-13
,27,One Acre Fund,11,2011,1,06-Jul-13
,22,One Acre Fund,11,2011,1,06-Jul-13
,26,One Acre Fund,11,2011,1,06-Jul-13
,16,One Acre Fund,11,2011,1,06-Jul-13
,22,One Acre Fund,11,2011,1,06-Jul-13
,25,One Acre Fund,10,2011,1,13-Jul-13
,26,One Acre Fund,10,2011,1,03-Jun-13
,16,One Acre Fund,10,2011,1,03-Jun-13
,16,One Acre Fund,10,2011,1,03-Jun-13
,18,One Acre Fund,11,2011,1,03-Jun-13
,22,One Acre Fund,11,2011,1,03-Jun-13
,20,One Acre Fund,10,2011,1,06-Jun-13
,16,One Acre Fund,10,2011,1,27may2013
,27,One Acre Fund,12,2011,1,27may2013
,35,One Acre Fund,11,2011,1,06-Jun-13
,25,One Acre Fund,11,2011,1,21-Jun-13
,22,One Acre Fund,11,2011,1,24-Jun-13
,27,One Acre Fund,11,2011,1,21-Jun-13
,15,One Acre Fund,11,2011,1,06-Jul-13
,26,One Acre Fund,11,2011,1,21-Jun-13
,23,One Acre Fund,12,2011,1,12-Jul-13
,16,One Acre Fund,11,2011,1,12-Jul-13
,18,One Acre Fund,12,2011,1,12-Jul-13
,21,One Acre Fund,11,2011,1,12-Jul-13
,21,One Acre Fund,11,2011,1,31-Jul-13
,38,One Acre Fund,11,2011,1,16-Jul-13
,24,One Acre Fund,12,2011,1,13-Jul-13
,33,One Acre Fund,11,2011,1,12-Jul-13
,38,One Acre Fund,11,2011,1,13-Jul-13
,26,One Acre Fund,11,2011,1,12-Jul-13
,37,One Acre Fund,12,2011,1,16-Jul-13
,24,One Acre Fund,12,2011,1,12-Jul-13
,27,One Acre Fund,11,2011,1,16-Jul-13
,22,One Acre Fund,12,2011,1,12-Jul-13
,15,One Acre Fund,12,2011,1,12-Jul-13
,26,One Acre Fund,12,2011,1,16-Jul-13
,29,One Acre Fund,11,2011,1,12-Jul-13
,25,One Acre Fund,11,2011,1,11-Jul-13
,20,One Acre Fund,12,2011,1,12-Jul-13
,20,One Acre Fund,12,2011,1,31-Jul-13
,39,One Acre Fund,12,2011,1,12-Jul-13
,24,One Acre Fund,11,2011,1,12-Jul-13
,20,One Acre Fund,11,2011,1,08-Jul-13
,14,One Acre Fund,11,2011,1,06-Aug-13
,23,One Acre Fund,11,2011,1,21-Sep-13
,23,One Acre Fund,11,2011,1,13-Jul-13
,20,One Acre Fund,11,2011,1,08-Jul-13
,20,One Acre Fund,11,2011,1,08-Jul-13
,19,One Acre Fund,11,2011,1,09-Jul-13
,24,One Acre Fund,11,2011,1,09-Jul-13
,20,One Acre Fund,11,2011,1,09-Jul-13
,24,One Acre Fund,11,2011,1,09-Jul-13
,23,One Acre Fund,11,2011,1,08-Jul-13
,26,One Acre Fund,11,2011,1,08-Jul-13
,22,One Acre Fund,11,2011,1,09-Jul-13
,16,One Acre Fund,11,2011,1,15-Jul-13
,26,One Acre Fund,11,2011,1,15-Jul-13
,23,One Acre Fund,11,2011,1,25-Jun-13
,18,One Acre Fund,11,2011,1,24-Jun-13
,21,One Acre Fund,11,2011,1,25-Jun-13
,30,One Acre Fund,11,2011,1,25-Jun-13
,22,One Acre Fund,11,2011,1,24-Jun-13
,27,One Acre Fund,11,2011,1,25-Jun-13
,19,One Acre Fund,11,2011,1,24-Jun-13
,27,One Acre Fund,11,2011,1,16may2013
,14,One Acre Fund,11,2011,1,08may2013
,19,One Acre Fund,11,2011,1,11may2013
,16,One Acre Fund,10,2011,1,10may2013
,20,One Acre Fund,10,2011,1,07may2013
,38,One Acre Fund,11,2011,1,11may2013
,31,One Acre Fund,11,2011,1,11may2013
,19,One Acre Fund,11,2011,1,15may2013
,18,One Acre Fund,10,2011,1,06may2013
,25,One Acre Fund,11,2011,1,15may2013
,24,One Acre Fund,10,2011,1,15may2013
,20,One Acre Fund,11,2011,1,15may2013
,20,One Acre Fund,11,2011,1,16may2013
,31,One Acre Fund,11,2011,1,29may2013
,26,One Acre Fund,11,2011,1,31may2013
,17,One Acre Fund,11,2011,1,31may2013
,17,One Acre Fund,10,2011,1,30may2013
,24,One Acre Fund,11,2011,1,31may2013
,20,One Acre Fund,11,2011,1,31may2013
,20,One Acre Fund,11,2011,1,29may2013
,20,One Acre Fund,11,2011,1,31may2013
,37,One Acre Fund,11,2011,1,29may2013
,18,One Acre Fund,12,2011,1,31may2013
,17,One Acre Fund,11,2011,1,31may2013
,20,One Acre Fund,11,2011,1,06-Jun-13
,19,One Acre Fund,11,2011,1,31may2013
,62,One Acre Fund,11,2011,1,04-Jul-13
,25,One Acre Fund,11,2011,1,06-Jul-13
,31,One Acre Fund,11,2011,1,06-Jul-13
,32,One Acre Fund,11,2011,1,04-Jul-13
