id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
1,BSA,10010004,2.5,65,2.166667,1.153846,5.769231,2,5,2015/08/20,2015/10/24,10,2015,1
2,BSA,10010008,3,22,0.7333333,4.090909,20.45454,2,6,2015/06/15,2015/07/07,7,2015,1
3,BSA,10020008,6,125,4.166667,1.44,7.2,3,9,2015/06/20,2015/10/23,10,2015,1
4,BSA,10020016,6,156,5.2,1.153846,5.769231,3,9,2015/05/12,2015/10/15,10,2015,1
5,BSA,10020017,1,109,3.633333,0.2752293,1.376147,2,5,2015/06/27,2015/10/14,10,2015,1
6,BSA,10020026,4.5,127,4.233333,1.062992,5.314961,3,7,2015/06/19,2015/10/24,10,2015,1
7,BSA,10020027,3.5,127,4.233333,0.8267717,4.133858,3,6,2015/06/19,2015/10/24,10,2015,1
8,BSA,10020028,5.5,127,4.233333,1.299213,6.496063,3,8,2015/06/19,2015/10/24,10,2015,1
9,BSA,10050023,3,231,7.7,0.3896104,1.948052,2,4,2015/02/18,2015/10/07,10,2015,1
10,BSA,10050025,3,244,8.133333,0.3688525,1.844262,2,6,2014/06/19,2015/02/18,2,2015,1
11,BSA,10050026,3,236,7.866667,0.3813559,1.90678,2,4,2015/02/13,2015/10/07,10,2015,1
12,BSA,10050027,3,225,7.5,0.4,2,2,5,2015/02/18,2015/10/01,10,2015,1
13,BSA,10050028,3,225,7.5,0.4,2,2,5,2015/02/18,2015/10/01,10,2015,1
14,BSA,10050055,3,240,8,0.375,1.875,2,6,2014/06/18,2015/02/13,2,2015,1
15,BSA,10050056,2,240,8,0.25,1.25,2,4,2014/06/18,2015/02/13,2,2015,1
16,BSA,10050058,3,238,7.933333,0.3781513,1.890756,2,5,2014/06/19,2015/02/12,2,2015,1
17,BSA,10050063,3,254,8.466666,0.3543307,1.771654,2,5,2014/06/25,2015/03/06,3,2015,1
18,KKM,10050065,3,55,1.833333,1.636364,8.181818,2,6,2015/05/28,2015/07/22,7,2015,1
19,BSA,10050066,5,139,4.633333,1.079137,5.395684,3,8,2015/05/28,2015/10/14,10,2015,1
20,BSA,10050067,5,139,4.633333,1.079137,5.395684,3,9,2015/05/28,2015/10/14,10,2015,1
21,BSA,10050071,5,473,15.76667,0.3171248,1.585624,5,9,2014/06/11,2015/10/01,10,2015,1
22,BSA,10050072,5,476,15.86667,0.3151261,1.57563,3,7,2014/06/12,2015/10/01,10,2015,1
23,BSA,10050073,2,251,8.366667,0.2390438,1.195219,2,5,2014/06/13,2015/02/19,2,2015,1
24,BSA,10050074,3,224,7.466667,0.4017857,2.008929,2,5,2015/02/19,2015/10/01,10,2015,1
25,BSA,10050075,3,224,7.466667,0.4017857,2.008929,2,4,2015/02/19,2015/10/01,10,2015,1
26,BSA,10050076,4,476,15.86667,0.2521008,1.260504,3,6,2014/06/12,2015/10/01,10,2015,1
27,BSA,10050084,3,61,2.033333,1.47541,7.377049,2,6,2015/07/29,2015/09/28,9,2015,1
28,BSA,10050086,3,106,3.533333,0.8490566,4.245283,3,7,2015/07/11,2015/10/29,10,2015,1
29,KKM,10050088,2,237,7.9,0.2531646,1.265823,2,4,2014/06/20,2015/02/12,2,2015,1
30,KKM,10050089,3,237,7.9,0.3797468,1.898734,2,5,2015/02/12,2015/10/07,10,2015,1
31,BSA,10050091,8,470,15.66667,0.5106383,2.553191,4,10,2014/06/24,2015/10/07,10,2015,1
32,BSA,10050092,3,237,7.9,0.3797468,1.898734,2,5,2015/02/12,2015/10/07,10,2015,1
33,BSA,10050093,4,471,15.7,0.2547771,1.273885,3,6,2014/06/23,2015/10/07,10,2015,1
34,BSA,10050094,6,471,15.7,0.3821656,1.910828,3,8,2014/06/23,2015/10/07,10,2015,1
35,BSA,10050095,6,470,15.66667,0.3829787,1.914894,3,8,2014/06/24,2015/10/07,10,2015,1
36,BSA,10050111,3,173,5.766667,0.5202312,2.601156,3,7,2015/04/24,2015/10/14,10,2015,1
37,BSA,10050156,3,111,3.7,0.8108108,4.054054,2,6,2015/06/10,2015/09/29,9,2015,1
38,BSA,10050158,1,71,2.366667,0.4225352,2.112676,2,2,2015/06/17,2015/08/27,8,2015,1
39,BSA,10050160,1,43,1.433333,0.6976745,3.488372,2,3,2015/06/17,2015/07/30,7,2015,1
40,BSA,10050161,3,71,2.366667,1.267606,6.338028,2,6,2015/06/17,2015/08/27,8,2015,1
41,BSA,10050163,3,41,1.366667,2.195122,10.97561,2,7,2015/06/05,2015/07/16,7,2015,1
42,KKM,10050168,2.5,35,1.166667,2.142857,10.71429,2,5,2015/06/17,2015/07/22,7,2015,1
43,KKM,10050184,3.5,111,3.7,0.9459459,4.72973,2,6,2015/06/17,2015/10/06,10,2015,1
44,BSA,10050191,3,253,8.433333,0.3557312,1.778656,2,6,2014/06/26,2015/03/06,3,2015,1
45,BSA,10050194,3,253,8.433333,0.3557312,1.778656,2,6,2014/06/26,2015/03/06,3,2015,1
46,BSA,10060020,11,217,7.233333,1.520737,7.603687,7,21,2015/04/01,2015/11/12,11,2015,1
47,KKM,10060025,6,471,15.7,0.3821656,1.910828,3,8,2014/06/23,2015/10/07,10,2015,1
48,BSA,10060028,2,113,3.766667,0.5309734,2.654867,2,6,2015/07/22,2015/11/12,11,2015,1
49,BSA,10070002,3.5,57,1.9,1.842105,9.210526,2,6,2015/06/22,2015/08/18,8,2015,1
50,BSA,10070005,6.5,125,4.166667,1.56,7.8,3,9,2015/06/14,2015/10/17,10,2015,1
51,BSA,10070006,3.3,14,0.4666667,7.071428,35.35714,2,6,2015/06/22,2015/07/06,7,2015,1
52,BSA,10070008,3,56,1.866667,1.607143,8.035714,2,7,2015/06/04,2015/07/30,7,2015,1
53,BSA,10070034,4,60,2,2,10,2,7,2015/08/15,2015/10/14,10,2015,1
54,BSA,10070036,2,60,2,1,5,2,6,2015/08/15,2015/10/14,10,2015,1
55,BSA,10070039,2,100,3.333333,0.6,3,2,6,2015/08/04,2015/11/12,11,2015,1
56,BSA,10070040,2,100,3.333333,0.6,3,2,6,2015/08/04,2015/11/12,11,2015,1
57,BSA,10070042,11,135,4.5,2.444444,12.22222,5,14,2015/06/14,2015/10/27,10,2015,1
