ID,cem301_attendees_total,cem011_prgrm,month,year
,32,SRK,1,2012
,37,KBK2,1,2012
,53,MBL1,1,2012
,55,KBK2,1,2012
,38,MBL1,1,2012
,45,MBL1,1,2012
,64,PLS,1,2012
,56,SRK,9,2012
,33,KBK4,1,2013
,22,KBK4,1,2013
,52,KBK3,4,2013
,25,KBK3,4,2013
,38,KBK3,4,2013
,68,KBK3,4,2013
,35,KBK3,4,2013
,30,KBK3,4,2013
,19,KBK3,4,2013
,44,KBK3,4,2013
,32,KBK3,4,2013
,32,KBK3,4,2013
,48,KBK3,4,2013
,30,KBK3,4,2013
,42,KBK3,4,2013
,23,KBK1,4,2013
,32,KBK3,4,2013
,30,KBK3,4,2013
,52,KBK3,4,2013
,25,KBK3,4,2013
,21,KBK3,4,2013
,22,KBK3,4,2013
,20,KBK1,4,2013
,49,KBK3,4,2013
,37,KBK3,4,2013
,32,KBK3,4,2013
,32,KBK3,4,2013
,48,KBK3,4,2013
,17,KBK3,4,2013
,22,KBK3,4,2013
,30,KBK3,4,2013
,19,KBK3,4,2013
,38,KBK3,4,2013
,46,KBK3,4,2013
,44,KBK3,4,2013
,29,KBK3,4,2013
,37,KBK3,4,2013
,23,KBK3,4,2013
,26,KBK3,4,2013
,26,KBK3,4,2013
,21,KBK3,4,2013
,35,KBK3,4,2013
,33,KBK3,4,2013
,28,KBK3,4,2013
,,KBK4,4,2013
,39,KBK3,4,2013
,21,KBK3,4,2013
,54,KBK3,4,2013
,20,KBK3,4,2013
,19,KBK3,4,2013
,39,KBK3,4,2013
,29,KBK3,4,2013
,,KBK4,4,2013
,29,KBK3,4,2013
,22,KBK3,4,2013
,44,KBK3,4,2013
,21,KBK3,4,2013
,32,KBK3,4,2013
,19,KBK3,4,2013
,21,KBK3,4,2013
,19,KBK3,4,2013
,41,KBK3,4,2013
,26,KBK3,4,2013
,59,KBK3,4,2013
,31,KBK3,4,2013
,61,KBK3,4,2013
,24,KBK3,4,2013
,155,KBK3,4,2013
,37,KBK3,4,2013
,28,KBK3,4,2013
,28,KBK3,4,2013
,31,KBK3,4,2013
,19,KBK3,4,2013
,45,KBK3,4,2013
,30,KBK3,4,2013
,30,KBK3,4,2013
,31,KBK3,4,2013
,34,KBK3,4,2013
,22,KBK3,4,2013
,38,KBK3,4,2013
,29,KBK3,4,2013
,75,KBK3,4,2013
,21,KBK3,4,2013
,37,BTJ,1,2015
,36,KBK3,4,2013
,33,KBK3,4,2013
,31,KBK3,4,2013
,23,KBK3,4,2013
,22,KBK3,4,2013
,22,KBK3,4,2013
,40,KBK2,4,2013
,24,KBK3,4,2013
,35,KBK3,4,2013
,10,KBK3,4,2013
,20,KBK3,4,2013
,31,KBK3,4,2013
,24,KBK3,4,2013
,43,KBK3,4,2013
,30,KBK3,4,2013
,36,KBK2,4,2013
,28,KBK3,4,2013
,31,KBK3,4,2013
,33,KBK3,4,2013
,42,KBK3,4,2013
,32,KBK3,4,2013
,28,KBK3,4,2013
,32,KBK3,4,2013
,37,KBK3,4,2013
,32,KBK3,4,2013
,16,KBK3,4,2013
,68,KBK3,4,2013
,33,KBK3,4,2013
,28,KBK1,4,2013
,38,KBK3,4,2013
,48,KBK3,4,2013
,41,KBK3,4,2013
,43,KBK3,4,2013
,44,KBK3,4,2013
,40,KBK3,4,2013
,59,KBK3,4,2013
,38,KBK3,4,2013
,36,KBK4,4,2013
,21,KBK1,4,2013
,32,KBK3,4,2013
,37,KBK3,4,2013
,35,KBK3,4,2013
,27,KBK3,4,2013
,40,KBK3,4,2013
,37,KBK3,4,2013
,54,KBK3,4,2013
,41,KBK3,4,2013
,28,KBK3,4,2013
,55,KBK3,4,2013
,58,KBK3,4,2013
,35,KBK3,4,2013
,46,KBK3,4,2013
,35,KBK3,4,2013
,66,KBK3,4,2013
,54,KBK3,4,2013
,30,KBK3,4,2013
,32,KBK3,4,2013
,29,KBK3,4,2013
,71,KBK3,4,2013
,35,KBK3,4,2013
,40,KBK3,4,2013
,55,KBK3,4,2013
,22,KBK3,4,2013
,34,KBK3,4,2013
,32,KBK3,4,2013
,36,KBK1,4,2013
,44,KBK3,4,2013
,42,KBK3,4,2013
,39,KBK3,4,2013
,31,KBK3,4,2013
,22,KBK3,4,2013
,41,KBK3,4,2013
,44,KBK3,4,2013
,40,KBK3,4,2013
,22,KBK3,4,2013
,25,KBK3,4,2013
,39,KBK3,4,2013
,59,KBK3,4,2013
,102,KBK3,4,2013
,86,KBK3,4,2013
,39,KBK2,4,2013
,48,KBK3,4,2013
,33,KBK3,4,2013
,32,KBK3,4,2013
,33,KBK3,4,2013
,56,KBK3,4,2013
,37,KBK3,4,2013
,61,KBK3,4,2013
,38,KBK3,5,2013
,49,KBK3,5,2013
,39,KBK3,5,2013
,35,KBK3,5,2013
,58,KBK3,5,2013
,27,KBK3,5,2013
,56,KBK3,5,2013
,25,KBK1,5,2013
,41,KBK3,5,2013
,40,KBK3,5,2013
,35,KBK3,5,2013
,61,KBK3,5,2013
,40,KBK1,5,2013
,40,KBK3,5,2013
,43,KBK3,5,2013
,45,KBK2,5,2013
,14,KBK3,5,2013
,49,KBK3,5,2013
,67,KBK3,5,2013
,43,KBK3,5,2013
,36,KBK2,5,2013
,60,KBK3,5,2013
,41,KBK3,5,2013
,52,KBK1,5,2013
,30,KBK3,5,2013
,12,KBK3,5,2013
,48,KBK3,5,2013
,39,KBK3,5,2013
,50,KBK3,5,2013
,47,KBK3,5,2013
,52,KBK3,5,2013
,46,KBK3,5,2013
,42,KBK3,5,2013
,31,KBK3,5,2013
,62,KBK3,5,2013
,28,KBK3,5,2013
,47,KBK3,5,2013
,96,KBK3,5,2013
,28,KBK4,5,2013
,60,KBK3,5,2013
,28,KBK3,5,2013
,47,KBK3,5,2013
,,KBK3,5,2013
,51,KBK3,5,2013
,15,KBK3,5,2013
,31,KBK3,5,2013
,28,KBK4,5,2013
,43,KBK3,5,2013
,38,KBK4,5,2013
,27,KBK3,5,2013
,30,KBK3,5,2013
,35,KBK4,5,2013
,41,KBK3,5,2013
,55,KBK3,5,2013
,60,KBK3,5,2013
,45,KBK3,5,2013
,40,KBK3,5,2013
,38,KBK3,5,2013
,23,KBK3,5,2013
,35,KBK3,5,2013
,72,KBK3,5,2013
,41,KBK3,5,2013
,40,KBK3,5,2013
,60,KBK3,5,2013
,43,KBK3,5,2013
,78,KBK3,5,2013
,63,KBK3,5,2013
,78,KBK3,5,2013
,51,KBK3,5,2013
,36,KBK3,5,2013
,38,KBK3,5,2013
,57,KBK3,5,2013
,36,KBK3,5,2013
,79,KBK3,5,2013
,22,KBK3,5,2013
,34,KBK3,5,2013
,30,KBK3,5,2013
,34,KBK3,5,2013
,70,KBK3,5,2013
,89,KBK3,5,2013
,32,KBK3,5,2013
,52,KBK3,5,2013
,89,KBK3,5,2013
,26,KBK3,5,2013
,41,KBK3,5,2013
,40,KBK3,5,2013
,25,KBK3,5,2013
