id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,s009_country,s011_prgrm
,1,0,,,,,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 7
,1,0,,,,,12,2017,3,Zomba 1
,1,0,,,,,12,2017,3,Zomba 2
,0,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 3
,1,0,,,,,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 4
,1,1,0,0,1,0,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 4
,1,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,0,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,0,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,0,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 5
,1,0,,,,,12,2017,3,Zomba 6
,1,0,,,,,12,2017,3,Zomba 6
,1,0,,,,,12,2017,3,Zomba 6
,1,0,,,,,12,2017,3,Zomba 6
,1,0,,,,,12,2017,3,Zomba 6
,1,0,,,,,12,2017,3,Zomba 6
,1,0,,,,,12,2017,3,Zomba 6
,1,0,,,,,12,2017,3,Zomba 6
,1,0,,,,,12,2017,3,Zomba 6
,1,0,,,,,12,2017,3,Zomba 7
,1,0,,,,,12,2017,3,Zomba 7
,1,0,,,,,12,2017,3,Zomba 7
,1,0,,,,,12,2017,3,Zomba 7
,1,0,,,,,12,2017,3,Zomba 7
,0,0,,,,,12,2017,3,Zomba 7
,1,0,,,,,12,2017,3,Zomba 7
,1,0,,,,,12,2017,3,Zomba 7
,1,0,,,,,12,2017,3,Zomba 8
,,,,,,,12,2017,3,Zomba 8
,1,0,,,,,12,2017,3,Zomba 8
,1,0,,,,,12,2017,3,Zomba 8
,,,,,,,12,2017,3,Zomba 8
