t101a_wpt_verifn_id,t011_program,t313_wpt_fail,t301b_wpt_flow_rate_slow,t302_landowner_personality,t302a_rep_WSB_talkedto,t302b_rep_WSB_accepted_disp,t310_wpt_drinking_water,t303b_turbitube_100ntu,t303_turbidity_wet,t304_turbidity_dry,t305b_flow_how_many_months,avg_users,t311_wpt_pass,t008_country,month,year,t005_today
"10101001","ZMB1",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",11,2013,22nov2013
"10102001","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",11,2013,22nov2013
"101022008","ZMB1","No",.s,.s,,,"Yes",.s,"Clear","Clear",.s,,.s,"Malawi",11,2013,21nov2013
"10103001","ZMB1",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",11,2013,22nov2013
"10103016","ZMB2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",11,2013,21nov2013
"10104001","ZMB1_2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",11,2013,22nov2013
"10104001","ZMB1_2","Yes",,.s,,,,.s,.s,.s,.s,,,"Malawi",11,2013,21nov2013
"10104002","ZMB1_2",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",11,2013,23nov2013
"10108001","ZMB1",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",11,2013,21nov2013
"10108002","ZMB1_2","Yes",.s,.s,,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",11,2013,21nov2013
"10109001","ZMB1",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",11,2013,21nov2013
"10109002","ZMB1_2","Yes",.s,"Yes",,,"Yes",.s,"Tea With Milk","Tea With Milk",.s,,,"Malawi",11,2013,22nov2013
"10110001","ZMB1",,.s,.s,,,"Yes",.s,"Clear","Clear",.s,,"Yes","Malawi",11,2013,21nov2013
