ID,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,50,Namutumba,11,2014,2
,48,Manafwa,10,2014,2
,22,Sironko,10,2014,2
,82,Manafwa,10,2014,2
,73,Manafwa,10,2014,2
,27,Manafwa,10,2014,2
,53,Manafwa,10,2014,2
,36,Manafwa,10,2014,2
,52,Manafwa,10,2014,2
,46,Manafwa,10,2014,2
,77,Manafwa,10,2014,2
,56,Manafwa,10,2014,2
,30,Manafwa,10,2014,2
,30,Manafwa,10,2014,2
,39,Manafwa,10,2014,2
,86,Manafwa,10,2014,2
,36,Manafwa,10,2014,2
,38,Manafwa,10,2014,2
,43,Manafwa,10,2014,2
,59,Manafwa,10,2014,2
,47,Manafwa,10,2014,2
,74,Manafwa,10,2014,2
,53,Manafwa,10,2014,2
,34,Manafwa,10,2014,2
,44,Manafwa,10,2014,2
,35,Manafwa,10,2014,2
,38,Manafwa,10,2014,2
,37,Manafwa,10,2014,2
,70,Manafwa,10,2014,2
,43,Manafwa,10,2014,2
,70,Manafwa,10,2014,2
,37,Manafwa,10,2014,2
,66,Manafwa,10,2014,2
,57,Manafwa,10,2014,2
,34,Manafwa,10,2014,2
,32,Manafwa,10,2014,2
,43,Manafwa,10,2014,2
,49,Manafwa,10,2014,2
,43,Manafwa,10,2014,2
,48,Manafwa,10,2014,2
,57,Manafwa,10,2014,2
,45,Manafwa,10,2014,2
,27,Manafwa,10,2014,2
,41,Manafwa,10,2014,2
,45,Manafwa,10,2014,2
,49,Manafwa,10,2014,2
,50,Manafwa,10,2014,2
,29,Manafwa,10,2014,2
,43,Manafwa,10,2014,2
,65,Manafwa,10,2014,2
,37,Sironko,10,2014,2
,21,Manafwa,10,2014,2
,39,Manafwa,10,2014,2
,69,Manafwa,10,2014,2
,54,Manafwa,10,2014,2
,26,Manafwa,10,2014,2
,50,Sironko,10,2014,2
,49,Sironko,10,2014,2
,66,Sironko,10,2014,2
,26,Sironko,10,2014,2
,62,Sironko,10,2014,2
,30,Sironko,10,2014,2
,34,Manafwa,10,2014,2
,119,Manafwa,10,2014,2
,63,Sironko,10,2014,2
,35,Manafwa,10,2014,2
,42,Manafwa,10,2014,2
,66,Manafwa,10,2014,2
,35,Manafwa,10,2014,2
,52,Manafwa,10,2014,2
,98,Manafwa,10,2014,2
,98,Manafwa,10,2014,2
,39,Manafwa,10,2014,2
,40,Manafwa,10,2014,2
,41,Manafwa,10,2014,2
,31,Manafwa,10,2014,2
,38,Manafwa,10,2014,2
,79,Manafwa,10,2014,2
,48,Manafwa,10,2014,2
,61,Manafwa,10,2014,2
,26,Manafwa,10,2014,2
,32,Manafwa,10,2014,2
,66,Manafwa,10,2014,2
,49,Manafwa,10,2014,2
,39,Manafwa,10,2014,2
,44,Manafwa,10,2014,2
,80,Manafwa,10,2014,2
,34,Manafwa,10,2014,2
,35,Manafwa,10,2014,2
,45,Manafwa,10,2014,2
,31,Manafwa,10,2014,2
,33,Manafwa,10,2014,2
,40,Manafwa,10,2014,2
,41,Manafwa,10,2014,2
,40,Manafwa,10,2014,2
,39,Manafwa,10,2014,2
,75,Manafwa,10,2014,2
,72,Manafwa,10,2014,2
,60,Manafwa,10,2014,2
,41,Manafwa,10,2014,2
,140,Manafwa,10,2014,2
,74,Manafwa,10,2014,2
,41,Manafwa,10,2014,2
,43,Manafwa,10,2014,2
,29,Manafwa,10,2014,2
,51,Manafwa,10,2014,2
,32,Manafwa,10,2014,2
,33,Manafwa,10,2014,2
,47,Manafwa,10,2014,2
,99,Manafwa,10,2014,2
,43,Manafwa,10,2014,2
,40,Manafwa,10,2014,2
,26,Manafwa,10,2014,2
,59,Manafwa,10,2014,2
,80,Manafwa,10,2014,2
,40,Manafwa,10,2014,2
,41,Manafwa,10,2014,2
,26,Manafwa,10,2014,2
,41,Manafwa,10,2014,2
,39,Manafwa,10,2014,2
,40,Manafwa,10,2014,2
,48,Manafwa,10,2014,2
,59,Manafwa,10,2014,2
,49,Manafwa,10,2014,2
,44,Manafwa,10,2014,2
,42,Manafwa,10,2014,2
,59,Manafwa,10,2014,2
,42,Manafwa,10,2014,2
,44,Manafwa,10,2014,2
,38,Manafwa,10,2014,2
,41,Manafwa,10,2014,2
,37,Manafwa,10,2014,2
,25,Manafwa,10,2014,2
,46,Manafwa,10,2014,2
,40,Manafwa,10,2014,2
,24,Manafwa,10,2014,2
,30,Manafwa,10,2014,2
,26,Manafwa,10,2014,2
,27,Manafwa,10,2014,2
,38,Manafwa,10,2014,2
