id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,56,ZMB2,2,2014,3
,58,ZMB2,2,2014,3
,47,ZMB2,2,2014,3
,51,ZMB2,2,2014,3
,66,ZMB2,2,2014,3
,100,ZMB2,3,2014,3
,72,ZMB2,1,2013,3
,125,ZMB2,2,2014,3
,70,ZMB2,2,2014,3
,211,ZMB2,2,2014,3
,55,ZMB2,2,2014,3
,56,ZMB2,2,2014,3
,59,ZMB2,2,2014,3
,36,ZMB2,2,2014,3
,54,ZMB2,2,2014,3
,23,ZMB2,2,2014,3
,70,ZMB2,2,2014,3
,65,ZMB2,2,2014,3
,55,ZMB2,2,2014,3
,50,ZMB2,2,2014,3
,68,ZMB2,2,2014,3
,54,ZMB2,2,2014,3
,290,ZMB2,2,2014,3
,128,ZMB2,1,2013,3
,15,ZMB2,2,2014,3
,63,ZMB2,2,2014,3
,32,ZMB2,2,2014,3
,57,ZMB2,2,2014,3
,47,ZMB2,2,2014,3
,51,ZMB2,2,2014,3
,54,ZMB2,2,2014,3
,73,ZMB2,2,2014,3
,43,ZMB2,2,2014,3
,16,ZMB9,6,2016,3
,100,ZMB9,6,2016,3
,7,ZMB9,6,2016,3
,20,ZMB9,6,2016,3
,30,ZMB9,6,2016,3
,10,ZMB9,6,2016,3
,51,ZMB9,6,2016,3
,20,ZMB9,6,2016,3
,10,ZMB9,6,2016,3
,29,ZMB9,6,2016,3
,52,ZMB9,6,2016,3
,208,ZMB9,6,2016,3
,25,ZMB9,6,2016,3
,32,ZMB9,6,2016,3
,84,ZMB9,6,2016,3
,43,ZMB9,6,2016,3
,35,ZMB9,6,2016,3
,38,ZMB9,6,2016,3
,138,ZMB9,6,2016,3
,35,ZMB9,6,2016,3
,61,ZMB9,6,2016,3
,35,ZMB9,6,2016,3
,27,ZMB9,6,2016,3
,22,ZMB9,6,2016,3
,31,ZMB9,6,2016,3
,39,ZMB9,6,2016,3
,42,ZMB9,6,2016,3
,58,ZMB9,6,2016,3
,51,ZMB9,6,2016,3
,19,ZMB9,6,2016,3
,50,ZMB9,6,2016,3
,390,ZMB9,6,2016,3
