id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,country,program
,1,0,,,,,6,2015,3,Zomba 3
,1,0,,.s,.s,.s,6,2015,3,Zomba 4
,1,0,,,,,6,2015,3,Zomba 3
,1,0,,.s,.s,.s,6,2015,3,Zomba 4
,1,0,,.s,.s,.s,6,2015,3,Zomba 4
,1,0,,,,,6,2015,3,Zomba 3
,1,0,,,,,6,2015,3,Zomba 3
,1,0,,.s,.s,.s,6,2015,3,Zomba 4
,1,0,,.s,.s,.s,6,2015,3,Zomba 4
,1,0,,,,,6,2015,3,Zomba 3
,1,0,,.s,.s,.s,6,2015,3,Zomba 4
,1,1,0,1,0,0,6,2015,3,Zomba 4
,1,0,,,,,6,2015,3,Zomba 3
,1,0,,.s,.s,.s,6,2015,3,Zomba 4
,1,0,,,,,6,2015,3,Zomba 3
,1,0,,,,,6,2015,3,Zomba 3
,1,0,,.s,.s,.s,6,2015,3,Zomba 4
,1,0,,,,,5,2015,3,Zomba 4
,1,0,,,,,5,2015,3,Zomba 3
,1,0,,.s,.s,.s,5,2015,3,Zomba 4
,1,0,,,,,5,2015,3,Zomba 3
,1,0,,,,,5,2015,3,Zomba 4
,1,0,,,,,5,2015,3,Zomba 4
,1,0,,,,,5,2015,3,Zomba 3
,1,0,,,,,5,2015,3,Zomba 3
,1,0,,.s,.s,.s,5,2015,3,Zomba 4
,1,0,,,,,5,2015,3,Zomba 4
,1,0,,,,,5,2015,3,Zomba 3
,1,0,,,,,5,2015,3,Zomba 3
,1,0,,.s,.s,.s,5,2015,3,Zomba 4
,1,0,,,,,5,2015,3,Zomba 3
,1,0,,,,,5,2015,3,Zomba 4
,1,0,,.s,.s,.s,5,2015,3,Zomba 4
,1,0,,,,,5,2015,3,Zomba 3
,1,0,,.s,.s,.s,4,2015,3,Zomba 4
,1,0,,,,,4,2015,3,Zomba 3
,1,0,,,,,4,2015,3,Zomba 3
,1,0,,,,,4,2015,3,Zomba 3
,1,0,,,,,4,2015,3,Zomba 3
,1,0,,,,,4,2015,3,Zomba 3
,1,0,,,,,4,2015,3,Zomba 3
,1,0,,,,,4,2015,3,Zomba 3
,1,0,,,,,4,2015,3,Zomba 3
,1,0,,.s,.s,.s,3,2015,3,Zomba 1
,1,1,1,.s,.s,.s,3,2015,3,Zomba 1
,1,0,,.s,.s,.s,3,2015,3,Zomba 3
