id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,BSA,10010004,2.5,65,2.166667,1.153846,5.769231,5,5,06-Mar-15,16-Mei-16,5,2016,1
,BSA,10010008,5.5,280,9.333333,0.5892857,2.946429,4,9,04-Feb-15,21-Mar-16,3,2016,1
,BSA,10010009,3,203,6.766667,0.4433497,2.216749,3,7,10-Mar-15,10-Feb-16,2,2016,1
,BSA,10020008,6,125,4.166667,1.44,7.2,5,9,22-Jan-15,13-Mei-16,5,2016,1
,BSA,10020016,7.5,197,6.566667,1.142132,5.71066,6,11,22-Jan-15,13-Mei-16,5,2016,1
,BSA,10020017,1,109,3.633333,0.2752293,1.376147,3,5,28-Jan-15,14-Okt-15,10,2015,1
,BSA,10020026,4.5,127,4.233333,1.062992,5.314961,6,7,10-Feb-15,16-Mei-16,5,2016,1
,BSA,10020027,3.5,127,4.233333,0.8267717,4.133858,6,6,10-Feb-15,16-Mei-16,5,2016,1
,BSA,10020028,5.5,127,4.233333,1.299213,6.496063,6,8,10-Feb-15,16-Mei-16,5,2016,1
,KKM2,10050023,3,231,7.7,0.3896104,1.948052,2,4,18-Feb-15,07-Okt-15,10,2015,1
,KKM2,10050025,3,244,8.133333,0.3688525,1.844262,2,6,19-Jun-14,18-Feb-15,2,2015,1
,KKM2,10050026,3,236,7.866667,0.3813559,1.90678,2,4,13-Feb-15,07-Okt-15,10,2015,1
,KKM2,10050027,3,225,7.5,0.4,2,2,5,18-Feb-15,01-Okt-15,10,2015,1
,KKM2,10050028,3,225,7.5,0.4,2,2,5,18-Feb-15,01-Okt-15,10,2015,1
,BSA,10050055,3,240,8,0.375,1.875,2,6,18-Jun-14,13-Feb-15,2,2015,1
,KKM2,10050056,5,566,18.86667,0.2650177,1.325088,3,6,18-Jun-14,05-Jan-16,1,2016,1
,KKM2,10050058,3,238,7.933333,0.3781513,1.890756,2,5,19-Jun-14,12-Feb-15,2,2015,1
,KKM2,10050063,3,254,8.466666,0.3543307,1.771654,4,8,25-Jun-14,19-Apr-16,4,2016,1
,KKM,10050065,12,354,11.8,1.016949,5.084746,6,15,02-Mar-15,16-Mei-16,5,2016,1
,BSA,10050066,11,354,11.8,0.9322034,4.661017,6,14,02-Mar-15,16-Mei-16,5,2016,1
