ID,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,0,1,0,1,0,0,1,2012,2,Kibuku 3
,1,1,1,0,0,0,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,1,0,1,0,0,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,1,0,1,0,0,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,1,0,1,0,0,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,1,0,0,0,0,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,1,1,0,0,0,1,2012,2,Kibuku 3
,1,1,1,0,0,0,1,2012,2,Kibuku 3
,1,1,0,0,0,0,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,0,,.s,.s,.s,1,2012,2,Kibuku 3
,1,1,0,0,1,0,1,2012,2,Kibuku 3
