id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country,cem005_today
,20,Zomba 4,3,2015,3,05mar2015
,18,Zomba 6,6,2015,3,11-Jun-15
,75,Zomba 4,3,2015,3,21mar2015
,10,Zomba 6,6,2015,3,14-Jun-15
,250,Zomba 4,12,2014,3,16dec2014
,30,Zomba 5,6,2015,3,04-Jun-15
,36,Zomba 5,6,2015,3,02-Jun-15
,20,Zomba 4,3,2015,3,25mar2015
,41,Zomba 4,3,2015,3,20mar2015
,20,Zomba 6,6,2015,3,01-Jun-15
,40,Zomba 5,5,2015,3,28may2015
,27,Zomba 4,4,2015,3,15-Apr-15
,37,Zomba 5,5,2015,3,27may2015
,35,Zomba 2,4,2014,3,04-Apr-14
,25,Zomba 4,12,2014,3,20dec2014
,28,Zomba 3,12,2014,3,03dec2014
,55,Zomba 3,11,2014,3,25-Nov-14
,96,Zomba 4,3,2015,3,27mar2015
,22,Zomba 6,6,2015,3,02-Jun-15
,73,Zomba 1,4,2014,3,08-Apr-14
,30,Zomba 5,5,2015,3,27may2015
,31,Zomba 3,11,2014,3,29-Nov-14
,20,Zomba 5,6,2015,3,02-Jun-15
,51,Zomba 3,11,2014,3,20-Nov-14
,17,Zomba 4,3,2015,3,09mar2015
,65,Zomba 3,12,2014,3,18dec2014
,19,Zomba 6,6,2015,3,25-Jun-15
,48,Zomba 6,6,2015,3,11-Jun-15
,90,Zomba 4,5,2015,3,12may2015
,50,Zomba 5,5,2015,3,20may2015
,40,Zomba 5,6,2015,3,01-Jun-15
,40,Zomba 5,5,2015,3,27may2015
,20,Zomba 6,6,2015,3,20-Jun-15
,41,Zomba 6,6,2015,3,11-Jun-15
,20,Zomba 4,3,2015,3,26mar2015
,24,Zomba 4,12,2014,3,17dec2014
,40,Zomba 5,5,2015,3,28may2015
,20,Zomba 4,3,2015,3,12mar2015
,20,Zomba 6,6,2015,3,15-Jun-15
,51,Zomba 5,5,2015,3,31may2015
,25,Zomba 1,12,2013,3,19dec2013
,50,Zomba 5,6,2015,3,02-Jun-15
,12,Zomba 6,6,2015,3,29-Jun-15
,70,Zomba 6,6,2015,3,12-Jun-15
,19,Zomba 4,3,2015,3,24mar2015
,31,Zomba 4,3,2015,3,18mar2015
,27,Zomba 1,12,2013,3,19dec2013
,32,Zomba 4,3,2015,3,25mar2015
,15,Zomba 6,6,2015,3,24-Jun-15
,35,Zomba 6,6,2015,3,16-Jun-15
,19,Zomba 4,3,2015,3,25mar2015
,70,Zomba 4,3,2015,3,05mar2015
,30,Zomba 5,5,2015,3,31may2015
,136,Zomba 3,11,2014,3,26-Nov-14
,65,Zomba 4,3,2015,3,17mar2015
,28,Zomba 4,3,2015,3,25mar2015
,31,Zomba 3,12,2014,3,19dec2014
,21,Zomba 6,6,2015,3,15-Jun-15
,20,Zomba 6,6,2015,3,09-Jun-15
