id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,country
,Busia-KE,10010001,,,,,,2,0,2015/05/14,2015/08/26,1
,Busia-KE,10010002,,,,,,2,0,2015/02/16,2015/06/10,1
,Busia-KE,10010003,,,,,,2,0,2015/04/24,2015/08/26,1
,Busia-KE,10010004,,,,,,2,3,2015/03/06,2015/08/20,1
,Busia-KE,10010005,,,,,,3,0,2015/03/09,2015/08/28,1
,Busia-KE,10010006,,,,,,4,0,2015/01/29,2015/09/25,1
,Busia-KE,10010007,,,,,,2,0,2015/02/04,2015/06/02,1
,Busia-KE,10010008,3,22,0.7333333,4.090909,20.45454,3,6,2015/02/04,2015/07/07,1
,Busia-KE,10010009,,,,,,2,3,2015/03/10,2015/07/22,1
,Busia-KE,10010010,,,,,,1,0,2015/01/22,2015/01/22,1
,Busia-KE,10010011,,,,,,2,0,2015/02/23,2015/07/11,1
,Busia-KE,10010012,,,,,,2,0,2015/02/04,2015/06/02,1
,Busia-KE,10010013,,,,,,2,0,2015/08/26,2015/09/25,1
,Busia-KE,10010014,,,,,,3,0,2015/03/07,2015/08/20,1
,Busia-KE,10010015,,,,,,2,0,2015/06/11,2015/08/25,1
,Busia-KE,10020001,,,,,,1,0,2015/02/10,2015/02/10,1
,Busia-KE,10020002,,,,,,1,0,2015/03/06,2015/03/06,1
,Busia-KE,10020003,,,,,,1,0,2015/02/02,2015/02/02,1
,Busia-KE,10020004,,,,,,1,0,2015/01/28,2015/01/28,1
,Busia-KE,10020005,,,,,,2,3,2015/02/02,2015/06/23,1
,Busia-KE,10020006,,,,,,1,0,2015/01/28,2015/01/28,1
,Busia-KE,10020007,,,,,,1,0,2015/02/02,2015/02/02,1
,Busia-KE,10020008,3,60,2,1.5,7.5,3,6,2015/01/22,2015/08/19,1
,Busia-KE,10020009,,,,,,1,0,2015/02/02,2015/02/02,1
,Busia-KE,10020010,,,,,,2,3,2015/03/06,2015/05/25,1
,Busia-KE,10020011,,,,,,2,3,2015/01/28,2015/05/12,1
,Busia-KE,10020012,,,,,,1,0,2015/02/02,2015/02/02,1
,Busia-KE,10020013,,,,,,1,0,2015/02/02,2015/02/02,1
,Busia-KE,10020015,,,,,,1,0,2015/03/06,2015/03/06,1
,Busia-KE,10020016,3,99,3.3,0.9090909,4.545455,3,6,2015/01/22,2015/08/19,1
,Busia-KE,10020017,,,,,,2,3,2015/01/28,2015/06/27,1
,Busia-KE,10020019,,,,,,1,0,2015/02/02,2015/02/02,1
,Busia-KE,10020020,,,,,,2,2,2015/01/28,2015/06/20,1
,Busia-KE,10020021,,,,,,2,4,2015/03/06,2015/04/14,1
,Busia-KE,10020022,,,,,,2,2,2015/02/10,2015/07/29,1
,Busia-KE,10020023,,,,,,1,0,2015/02/10,2015/02/10,1
,Busia-KE,10020024,,,,,,2,0,2015/02/02,2015/03/31,1
,Busia-KE,10020025,,,,,,1,0,2015/02/10,2015/02/10,1
,Busia-KE,10020026,2.5,66,2.2,1.136364,5.681818,3,5,2015/02/10,2015/08/24,1
,Busia-KE,10020027,1.5,66,2.2,0.6818182,3.409091,3,4,2015/02/10,2015/08/24,1
,Busia-KE,10020028,3,66,2.2,1.363636,6.818182,3,6,2015/02/10,2015/08/24,1
,Busia-KE,10030001,,,,,,3,0,2015/02/06,2015/05/29,1
,Busia-KE,10030002,,,,,,4,0,2015/02/06,2015/09/24,1
,Busia-KE,10030004,,,,,,4,0,2015/04/14,2015/08/18,1
,Busia-KE,10030005,,,,,,4,4,2015/02/18,2015/07/16,1
,Busia-KE,10030006,,,,,,3,0,2015/02/06,2015/07/14,1
,Busia-KE,10030007,,,,,,1,0,2015/01/29,2015/01/29,1
,Busia-KE,10030008,,,,,,3,0,2015/02/06,2015/07/14,1
,Busia-KE,10030009,,,,,,2,3,2015/02/06,2015/05/12,1
,Busia-KE,10030010,,,,,,4,0,2015/02/16,2015/09/24,1
,Busia-KE,10030011,,,,,,4,0,2015/02/06,2015/09/25,1
