s102_wpt_id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
"10210355","","0","","","","",1,2013,"1","UJA"
"10210062","","0","","","","",1,2013,"1","UJA"
"10210339","","0","","","","",1,2013,"1","UJA"
"10210338","","0","","","","",1,2013,"1","UJA"
"10211208","","0","","","","",1,2013,"1","UJA"
"10210325","","0","","","","",1,2013,"1","UJA"
"10210349","","0","","","","",1,2013,"1","UJA"
"10210839","","0","","","","",1,2013,"1","UJA"
"10210535","","0","","","","",1,2013,"1","UJA"
"10210527","","0","","","","",1,2013,"1","UJA"
"10210331","","0","","","","",1,2013,"1","UJA"
"10210286","","0","","","","",1,2013,"1","UJA"
"10210290","","0","","","","",1,2013,"1","UJA"
"10210412","","1","","","11","",1,2013,"1","UJA"
"10210410","","0","","","","",1,2013,"1","UJA"
"10210394","","1","","","11","",1,2013,"1","UJA"
"10210451","","1","","","-996","",2,2013,"1","UJA"
"10210641","","0","","","","",2,2013,"1","UJA"
"10210643","","1","","","11","",2,2013,"1","UJA"
"10210638","","1","","","11 12","",2,2013,"1","UJA"
"10210640","","0","","","","",2,2013,"1","UJA"
"10210750","","0","","","","",2,2013,"1","UJA"
"10210462","","0","","","","",2,2013,"1","UJA"
"10210465","","0","","","","",2,2013,"1","UJA"
"10210749","","0","","","","",2,2013,"1","UJA"
"10210460","","0","","","","",2,2013,"1","UJA"
"10210450","","1","","","11","",2,2013,"1","UJA"
"10210743","","1","","","11","",2,2013,"1","UJA"
"10210639","","1","","","5 11","",2,2013,"1","UJA"
"10210746","","0","","","","",2,2013,"1","UJA"
"10210461","","0","","","","",2,2013,"1","UJA"
"10210633","","0","","","","",2,2013,"1","UJA"
"10210646","","0","","","","",2,2013,"1","UJA"
"10210747","","0","","","","",2,2013,"1","UJA"
"10210463","","0","","","","",2,2013,"1","UJA"
"10210645","","0","","","","",2,2013,"1","UJA"
"10210739","","0","","","","",2,2013,"1","UJA"
"10210448","","0","","","","",2,2013,"1","UJA"
"10210452","","0","","","","",2,2013,"1","UJA"
"10210755","","1","","","11","",2,2013,"1","UJA"
"10210748","","0","","","","",2,2013,"1","UJA"
"10210449","","0","","","","",2,2013,"1","UJA"
"10210644","","1","","","11","",2,2013,"1","UJA"
"10210752","","0","","","","",2,2013,"1","UJA"
"10210741","","0","","","","",2,2013,"1","UJA"
"10210631","","1","","","5 9 11","",2,2013,"1","UJA"
"10210742","","0","","","","",2,2013,"1","UJA"
"10210751","","1","","","11","",2,2013,"1","UJA"
"10210637","","1","","","11","",2,2013,"1","UJA"
"10210740","","1","","","11","",2,2013,"1","UJA"
"10210636","","0","","","","",2,2013,"1","UJA"
"10210104","","0","","","","",2,2013,"1","UJA"
"10210012","","0","","","","",2,2013,"1","UJA"
"10210101","","0","","","","",2,2013,"1","UJA"
"10211453","","0","","","","",2,2013,"1","UJA"
"10210458","","0","","","","",2,2013,"1","UJA"
"10210453","","1","","","11","",2,2013,"1","UJA"
"10211571","","0","","","","",2,2013,"1","UJA"
"10210119","","0","","","","",2,2013,"1","UJA"
"10210357","","1","","","-996","",2,2013,"1","UJA"
"10210102","","0","","","","",2,2013,"1","UJA"
"10210118","","0","","","","",2,2013,"1","UJA"
"10210107","","0","","","","",2,2013,"1","UJA"
"10210110","","0","","","","",2,2013,"1","UJA"
"10210123","","1","","","11","",2,2013,"1","UJA"
"10210106","","0","","","","",2,2013,"1","UJA"
"10210007","","0","","","","",2,2013,"1","UJA"
"10210852","","0","","","","",2,2013,"1","UJA"
"10210470","","0","","","","",2,2013,"1","UJA"
"10210586","","1","","","11","",2,2013,"1","UJA"
"10210006","","0","","","","",2,2013,"1","UJA"
"10210120","","1","","","11","",2,2013,"1","UJA"
"10210456","","1","","","11","",2,2013,"1","UJA"
"10210002","","0","","","","",2,2013,"1","UJA"
"10210103","","0","","","","",2,2013,"1","UJA"
"10210459","","0","","","","",2,2013,"1","UJA"
"10211462","","0","","","","",2,2013,"1","UJA"
"10210454","","0","","","","",2,2013,"1","UJA"
"10211572","","1","","","11","",2,2013,"1","UJA"
"10210455","","0","","","","",2,2013,"1","UJA"
"10210851","","0","","","","",2,2013,"1","UJA"
"10210108","","0","","","","",2,2013,"1","UJA"
"10210466","","0","","","","",2,2013,"1","UJA"
"10210105","","0","","","","",2,2013,"1","UJA"
"10211465","","0","","","","",2,2013,"1","UJA"
"10210100","","0","","","","",2,2013,"1","UJA"
"10210759","","0","","","","",2,2013,"1","UJA"
"10210121","","0","","","","",2,2013,"1","UJA"
"10210009","","1","","","-996","",2,2013,"1","UJA"
"10210846","","0","","","","",2,2013,"1","UJA"
"10210830","","0","","","","",2,2013,"1","UJA"
"10210507","","1","","","11","",2,2013,"1","UJA"
"10210005","","1","","","11","",2,2013,"1","UJA"
"10210632","","0","","","","",2,2013,"1","UJA"
"10210833","","0","","","","",2,2013,"1","UJA"
"10210842","","0","","","","",2,2013,"1","UJA"
"10210770","","0","","","","",2,2013,"1","UJA"
"10210744","","0","","","","",2,2013,"1","UJA"
"10211602","","1","","","11","",2,2013,"1","UJA"
"10210839","","0","","","","",2,2013,"1","UJA"
"10210497","","0","","","","",2,2013,"1","UJA"
"10211492","","0","","","","",2,2013,"1","UJA"
