ID,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,s009_country,s011_prgrm
,1,0,,,,,12,2011,2,KBK3
,1,0,,,,,1,2012,2,TRR
,1,0,,,,,1,2012,2,MBL
,1,1,1,0,0,0,1,2012,2,KBK3
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MBL
,1,0,,,,,1,2012,2,PLS
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,PLS
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MBL
,1,0,,,,,1,2012,2,MBL
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,,,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,NTB
,1,0,,,,,1,2012,2,MBL
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,PLS
,,,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MBL
,1,0,,,,,1,2012,2,MBL
,1,0,,,,,1,2012,2,PLS
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MBL
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,,0,,,,,1,2012,2,NTB
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MBL
,,0,,,,,1,2012,2,NTB
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,,,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,1,0,,,,,1,2012,2,MFW
,,,,,,,1,2012,2,PLS
,.s,.s,,,,,1,2012,2,TRR
,1,0,,,,,7,2012,2,TRR
,1,0,,,,,7,2012,2,TRR
,1,0,,,,,11,2012,2,NTB
,.s,.s,,,,,12,2012,2,TRR
,.s,.s,,,,,12,2012,2,TRR
,,,,,,,12,2012,2,TRR
,.s,.s,,,,,3,2013,2,MFW
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
,,,,,,,4,2013,2,KBK3
