id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,BSA,10010004,2.5,65,2.166667,1.153846,5.769231,3,5,2015-03-06,2015-10-24,10,2015,3
,BSA,10010008,3,22,0.7333333,4.090909,20.45454,3,6,2015-02-04,2015-07-07,7,2015,3
,BSA,10020008,6,125,4.166667,1.44,7.2,4,9,2015-01-22,2015-10-23,10,2015,3
,BSA,10020016,6,156,5.2,1.153846,5.769231,4,9,2015-01-22,2015-10-15,10,2015,3
,BSA,10020017,1,109,3.633333,0.2752293,1.376147,3,5,2015-01-28,2015-10-14,10,2015,3
,BSA,10020026,4.5,127,4.233333,1.062992,5.314961,4,7,2015-02-10,2015-10-24,10,2015,3
,BSA,10020027,3.5,127,4.233333,0.8267717,4.133858,4,6,2015-02-10,2015-10-24,10,2015,3
,BSA,10020028,5.5,127,4.233333,1.299213,6.496063,4,8,2015-02-10,2015-10-24,10,2015,3
,KKM2,10050023,3,231,7.7,0.3896104,1.948052,2,4,2015-02-18,2015-10-07,10,2015,3
,KKM2,10050025,3,244,8.133333,0.3688525,1.844262,2,6,2014-06-19,2015-02-18,2,2015,3
,KKM2,10050026,3,236,7.866667,0.3813559,1.90678,2,4,2015-02-13,2015-10-07,10,2015,3
,KKM2,10050027,3,225,7.5,0.4,2,2,5,2015-02-18,2015-10-01,10,2015,3
,KKM2,10050028,3,225,7.5,0.4,2,2,5,2015-02-18,2015-10-01,10,2015,3
,BSA,10050055,3,240,8,0.375,1.875,2,6,2014-06-18,2015-02-13,2,2015,3
,KKM2,10050056,2,240,8,0.25,1.25,2,4,2014-06-18,2015-02-13,2,2015,3
,KKM2,10050058,3,238,7.933333,0.3781513,1.890756,2,5,2014-06-19,2015-02-12,2,2015,3
,BSA,10050063,3,254,8.466666,0.3543307,1.771654,3,5,2014-06-25,2015-10-12,10,2015,3
,KKM,10050065,3,55,1.833333,1.636364,8.181818,3,6,2015-03-02,2015-07-22,7,2015,3
,BSA,10050066,5,139,4.633333,1.079137,5.395684,4,8,2015-03-02,2015-10-14,10,2015,3
,BSA,10050067,5,139,4.633333,1.079137,5.395684,4,9,2015-03-02,2015-10-14,10,2015,3
,KKM2,10050071,2,248,8.266666,0.2419355,1.209677,6,9,2014-06-11,2015-10-01,10,2015,3
