id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,BSA,10010001,,,,,,1,0,2015/05/14,2015/05/14,5,2015,1
,BSA,10010002,,,,,,2,0,2015/02/16,2015/06/10,6,2015,1
,BSA,10010003,,,,,,1,0,2015/04/24,2015/04/24,4,2015,1
,BSA,10010004,,,,,,1,0,2015/03/06,2015/03/06,3,2015,1
,BSA,10010005,,,,,,2,0,2015/03/09,2015/05/24,5,2015,1
,BSA,10010006,,,,,,3,0,2015/01/29,2015/07/14,7,2015,1
,BSA,10010007,,,,,,2,0,2015/02/04,2015/06/02,6,2015,1
,BSA,10010008,3,22,0.7333333,4.090909,20.45454,3,6,2015/02/04,2015/07/07,7,2015,1
,BSA,10010009,,,,,,2,3,2015/03/10,2015/07/22,7,2015,1
,BSA,10010010,,,,,,1,0,2015/01/22,2015/01/22,1,2015,1
,BSA,10010011,,,,,,2,0,2015/02/23,2015/07/11,7,2015,1
,BSA,10010012,,,,,,2,0,2015/02/04,2015/06/02,6,2015,1
,BSA,10010015,,,,,,1,0,2015/06/11,2015/06/11,6,2015,1
,BSA,10020001,,,,,,1,0,2015/02/10,2015/02/10,2,2015,1
,BSA,10020002,,,,,,1,0,2015/03/06,2015/03/06,3,2015,1
,BSA,10020003,,,,,,1,0,2015/02/02,2015/02/02,2,2015,1
,BSA,10020004,,,,,,1,0,2015/01/28,2015/01/28,1,2015,1
,BSA,10020005,,,,,,2,3,2015/02/02,2015/06/23,6,2015,1
,BSA,10020006,,,,,,1,0,2015/01/28,2015/01/28,1,2015,1
,BSA,10020007,,,,,,1,0,2015/02/02,2015/02/02,2,2015,1
,BSA,10020008,,,,,,2,3,2015/01/22,2015/06/20,6,2015,1
,BSA,10020009,,,,,,1,0,2015/02/02,2015/02/02,2,2015,1
,BSA,10020010,,,,,,2,3,2015/03/06,2015/05/25,5,2015,1
,BSA,10020011,,,,,,2,3,2015/01/28,2015/05/12,5,2015,1
,BSA,10020012,,,,,,1,0,2015/02/02,2015/02/02,2,2015,1
,BSA,10020013,,,,,,1,0,2015/02/02,2015/02/02,2,2015,1
,BSA,10020015,,,,,,1,0,2015/03/06,2015/03/06,3,2015,1
,BSA,10020016,,,,,,2,3,2015/01/22,2015/05/12,5,2015,1
,BSA,10020017,,,,,,2,3,2015/01/28,2015/06/27,6,2015,1
,BSA,10020019,,,,,,1,0,2015/02/02,2015/02/02,2,2015,1
,BSA,10020020,,,,,,2,2,2015/01/28,2015/06/20,6,2015,1
,BSA,10020021,,,,,,2,4,2015/03/06,2015/04/14,4,2015,1
,BSA,10020022,,,,,,2,2,2015/02/10,2015/07/29,7,2015,1
,BSA,10020023,,,,,,1,0,2015/02/10,2015/02/10,2,2015,1
,BSA,10020024,,,,,,2,0,2015/02/02,2015/03/31,3,2015,1
,BSA,10020025,,,,,,1,0,2015/02/10,2015/02/10,2,2015,1
,BSA,10020026,,,,,,2,3,2015/02/10,2015/06/19,6,2015,1
,BSA,10020027,,,,,,2,3,2015/02/10,2015/06/19,6,2015,1
,BSA,10020028,,,,,,2,3,2015/02/10,2015/06/19,6,2015,1
,BSA,10030001,,,,,,3,0,2015/02/06,2015/06/17,6,2015,1
,BSA,10030002,,,,,,3,0,2015/02/06,2015/07/14,7,2015,1
,BSA,10030004,,,,,,3,0,2015/04/14,2015/06/11,6,2015,1
,BSA,10030005,,,,,,4,4,2015/02/18,2015/07/16,7,2015,1
,BSA,10030006,,,,,,3,0,2015/02/06,2015/07/14,7,2015,1
,BSA,10030007,,,,,,1,0,2015/01/29,2015/01/29,1,2015,1
,BSA,10030008,,,,,,3,0,2015/02/06,2015/07/14,7,2015,1
,BSA,10030009,,,,,,2,3,2015/02/06,2015/05/12,5,2015,1
,BSA,10030010,,,,,,2,0,2015/02/16,2015/05/12,5,2015,1
,BSA,10030011,,,,,,3,0,2015/02/06,2015/07/14,7,2015,1
,BSA,10030012,,,,,,2,0,2015/02/06,2015/05/12,5,2015,1
,BSA,10030013,,,,,,2,0,2015/02/16,2015/05/12,5,2015,1
,BSA,10030014,,,,,,1,0,2015/05/12,2015/05/12,5,2015,1
,BSA,10030015,,,,,,3,0,2015/02/06,2015/07/14,7,2015,1
,BSA,10030016,,,,,,3,0,2015/02/16,2015/08/06,8,2015,1
,BSA,10030017,,,,,,2,0,2015/02/06,2015/05/14,5,2015,1
,KKM,10038090,,,,,,1,2,2015/01/17,2015/01/17,1,2015,1
,BSA,10050001,,,,,,2,0,2015/03/13,2015/05/14,5,2015,1
,BSA,10050002,,,,,,1,0,2015/02/20,2015/02/20,2,2015,1
,BSA,10050003,,,,,,1,0,2015/03/16,2015/03/16,3,2015,1
,BSA,10050005,,,,,,1,0,2015/03/11,2015/03/11,3,2015,1
,BSA,10050006,,,,,,1,0,2015/03/16,2015/03/16,3,2015,1
,BSA,10050007,,,,,,1,0,2015/03/11,2015/03/11,3,2015,1
,BSA,10050008,,,,,,2,0,2015/03/13,2015/06/11,6,2015,1
,BSA,10050009,,,,,,2,0,2015/03/13,2015/05/14,5,2015,1
,BSA,10050010,,,,,,1,0,2015/05/11,2015/05/11,5,2015,1
,BSA,10050011,,,,,,2,0,2015/03/07,2015/05/11,5,2015,1
,BSA,10050012,,,,,,1,0,2015/04/06,2015/04/06,4,2015,1
,BSA,10050013,,,,,,2,0,2015/03/07,2015/06/04,6,2015,1
,BSA,10050014,,,,,,2,0,2015/03/07,2015/06/04,6,2015,1
,BSA,10050015,,,,,,2,0,2015/03/07,2015/05/11,5,2015,1
,BSA,10050016,,,,,,2,0,2015/03/07,2015/06/04,6,2015,1
,BSA,10050017,,,,,,2,0,2015/03/07,2015/06/04,6,2015,1
