id,vcs201,vcs011_prgrm,month,year,country
,98,Kibuku 4,1,2012,2
,25,Kibuku 4,1,2012,2
,33,Kibuku 4,6,2013,2
,26,Kibuku 4,6,2013,2
,59,Kibuku 4,6,2013,2
,31,Kibuku 4,6,2013,2
,32,Kibuku 4,6,2013,2
,30,Kibuku 4,6,2013,2
,27,Kibuku 4,6,2013,2
,55,Kibuku 4,6,2013,2
,41,Kibuku 4,6,2013,2
,43,Kibuku 4,6,2013,2
,27,Kibuku 4,6,2013,2
,50,Kibuku 4,7,2013,2
,27,Kibuku 4,7,2013,2
,59,Kibuku 4,7,2013,2
,50,Kibuku 4,7,2013,2
,62,Kibuku 4,7,2013,2
,56,Kibuku 4,7,2013,2
,30,Kibuku 4,7,2013,2
,40,Kibuku 4,7,2013,2
,39,Kibuku 4,7,2013,2
,36,Kibuku 4,7,2013,2
,35,Kibuku 4,7,2013,2
,43,Kibuku 4,7,2013,2
,49,Kibuku 4,7,2013,2
,47,Kibuku 4,7,2013,2
,35,Kibuku 4,7,2013,2
,47,Kibuku 4,7,2013,2
,35,Kibuku 4,7,2013,2
,54,Kibuku 4,7,2013,2
,41,Kibuku 4,7,2013,2
,30,Kibuku 4,7,2013,2
,35,Kibuku 4,7,2013,2
,39,Kibuku 4,7,2013,2
,30,Kibuku 4,7,2013,2
,34,Kibuku 4,7,2013,2
,32,Kibuku 4,7,2013,2
,42,Kibuku 4,7,2013,2
,41,Kibuku 4,7,2013,2
,67,Kibuku 4,7,2013,2
,40,Kibuku 4,7,2013,2
,400,Kibuku 4,7,2013,2
,30,Kibuku 4,7,2013,2
,74,Kibuku 4,7,2013,2
,50,Kibuku 4,7,2013,2
,54,Kibuku 4,7,2013,2
,49,Kibuku 4,7,2013,2
,40,Kibuku 4,7,2013,2
,28,Kibuku 4,7,2013,2
,59,Kibuku 4,7,2013,2
,95,Kibuku 4,7,2013,2
,36,Kibuku 4,7,2013,2
,36,Kibuku 4,7,2013,2
,31,Kibuku 4,7,2013,2
,49,Kibuku 4,7,2013,2
,44,Kibuku 4,7,2013,2
,26,Kibuku 4,7,2013,2
,36,Kibuku 4,7,2013,2
,69,Kibuku 4,7,2013,2
,37,Kibuku 4,7,2013,2
,30,Kibuku 4,7,2013,2
,41,Kibuku 4,7,2013,2
,25,Kibuku 4,7,2013,2
,41,Kibuku 4,7,2013,2
,54,Kibuku 4,7,2013,2
,80,Kibuku 4,7,2013,2
,52,Kibuku 4,7,2013,2
,35,Kibuku 4,7,2013,2
,47,Kibuku 4,7,2013,2
,39,Kibuku 4,7,2013,2
,49,Kibuku 4,7,2013,2
,28,Kibuku 4,7,2013,2
,36,Kibuku 4,7,2013,2
,27,Kibuku 4,7,2013,2
,30,Kibuku 4,7,2013,2
,43,Kibuku 4,7,2013,2
,46,Kibuku 4,7,2013,2
,41,Kibuku 4,7,2013,2
,54,Kibuku 4,7,2013,2
,49,Kibuku 4,7,2013,2
,30,Kibuku 4,7,2013,2
,53,Kibuku 4,7,2013,2
,134,Kibuku 4,7,2013,2
,40,Kibuku 4,7,2013,2
,49,Kibuku 4,7,2013,2
,40,Kibuku 3,11,2013,2
