ID,vcs201_attendees_total,vcs011_prgrm,year,vcs009_country,vcs014_mtg_date
,25,Kibuku 4,2013,Uganda,01-Jan-12
,98,Kibuku 4,2013,Uganda,01-Jan-12
,32,Manafwa,2014,Uganda,10-Jan-13
,56,Manafwa,2014,Uganda,10-Jan-13
,55,Kibuku 4,2013,Uganda,27-Jun-13
,27,Kibuku 4,2013,Uganda,27-Jun-13
,26,Kibuku 4,2013,Uganda,27-Jun-13
,33,Kibuku 4,2013,Uganda,27-Jun-13
,31,Kibuku 4,2013,Uganda,27-Jun-13
,59,Kibuku 4,2013,Uganda,27-Jun-13
,30,Kibuku 4,2013,Uganda,27-Jun-13
,32,Kibuku 4,2013,Uganda,27-Jun-13
,43,Kibuku 4,2013,Uganda,28-Jun-13
,41,Kibuku 4,2013,Uganda,28-Jun-13
,27,Kibuku 4,2013,Uganda,28-Jun-13
,27,Kibuku 4,2013,Uganda,01-Jul-13
,59,Kibuku 4,2013,Uganda,01-Jul-13
,50,Kibuku 4,2013,Uganda,01-Jul-13
,62,Kibuku 4,2013,Uganda,02-Jul-13
,50,Kibuku 4,2013,Uganda,02-Jul-13
,30,Kibuku 4,2013,Uganda,03-Jul-13
,40,Kibuku 4,2013,Uganda,03-Jul-13
,39,Kibuku 4,2013,Uganda,03-Jul-13
,36,Kibuku 4,2013,Uganda,03-Jul-13
,56,Kibuku 4,2013,Uganda,03-Jul-13
,35,Kibuku 4,2013,Uganda,03-Jul-13
,49,Kibuku 4,2013,Uganda,04-Jul-13
,43,Kibuku 4,2013,Uganda,04-Jul-13
,47,Kibuku 4,2013,Uganda,04-Jul-13
,35,Kibuku 4,2013,Uganda,04-Jul-13
,47,Kibuku 4,2013,Uganda,05-Jul-13
,54,Kibuku 4,2013,Uganda,05-Jul-13
,41,Kibuku 4,2013,Uganda,05-Jul-13
,35,Kibuku 4,2013,Uganda,05-Jul-13
,34,Kibuku 4,2013,Uganda,06-Jul-13
,30,Kibuku 4,2013,Uganda,06-Jul-13
,35,Kibuku 4,2013,Uganda,06-Jul-13
,42,Kibuku 4,2013,Uganda,06-Jul-13
,32,Kibuku 4,2013,Uganda,06-Jul-13
,39,Kibuku 4,2013,Uganda,06-Jul-13
,30,Kibuku 4,2013,Uganda,06-Jul-13
,30,Kibuku 4,2013,Uganda,09-Jul-13
,40,Kibuku 4,2013,Uganda,09-Jul-13
,400,Kibuku 4,2013,Uganda,09-Jul-13
,41,Kibuku 4,2013,Uganda,09-Jul-13
,67,Kibuku 4,2013,Uganda,09-Jul-13
,31,Kibuku 4,2013,Uganda,10-Jul-13
,74,Kibuku 4,2013,Uganda,10-Jul-13
,40,Kibuku 4,2013,Uganda,10-Jul-13
,36,Kibuku 4,2013,Uganda,10-Jul-13
