id,cem301_attendees_total,cem009_country,month,year,country
,17,1,10,2014,1
,18,1,6,2014,1
,25,1,1,2015,1
,16,1,6,2014,1
,19,1,6,2014,1
,15,1,12,2014,1
,51,1,12,2014,1
,18,1,6,2014,1
,14,1,6,2014,1
,12,1,6,2014,1
,16,1,6,2014,1
,19,1,6,2014,1
,12,1,6,2014,1
,20,1,6,2014,1
,15,1,6,2014,1
,19,1,7,2014,1
,16,1,6,2014,1
,25,1,6,2014,1
,10,1,6,2014,1
,22,1,6,2014,1
,16,1,6,2014,1
,24,1,6,2014,1
,12,1,6,2014,1
,30,1,1,2015,1
,15,1,1,2015,1
,31,1,12,2014,1
,17,1,6,2014,1
,19,1,6,2014,1
,18,1,6,2014,1
,16,1,12,2014,1
,16,1,6,2014,1
,22,1,1,2015,1
,33,1,2,2015,1
,13,1,5,2014,1
,14,1,6,2014,1
,17,1,1,2015,1
,19,1,6,2014,1
,25,1,5,2014,1
,16,1,5,2014,1
,15,1,5,2014,1
,6,1,5,2014,1
,18,1,6,2014,1
,14,1,5,2014,1
,7,1,5,2014,1
,22,1,5,2014,1
,10,1,5,2014,1
,20,1,6,2014,1
,12,1,5,2014,1
,19,1,5,2014,1
,22,1,5,2014,1
,19,1,5,2014,1
,16,1,5,2014,1
,15,1,5,2014,1
,15,1,5,2014,1
,23,1,6,2014,1
,10,1,5,2014,1
,16,1,5,2014,1
,21,1,6,2014,1
,16,1,5,2014,1
,19,1,5,2014,1
,16,1,5,2014,1
,19,1,6,2014,1
,16,1,5,2014,1
,16,1,5,2014,1
,16,1,5,2014,1
,15,1,5,2014,1
,15,1,5,2014,1
,14,1,5,2014,1
,15,1,5,2014,1
,13,1,6,2014,1
,15,1,5,2014,1
,18,1,5,2014,1
,16,1,5,2014,1
,15,1,5,2014,1
,18,1,5,2014,1
,21,1,7,2013,1
,21,1,7,2013,1
,23,1,7,2013,1
,26,1,7,2013,1
,36,1,7,2013,1
,26,1,7,2013,1
,16,1,7,2013,1
,25,1,7,2013,1
,19,1,7,2013,1
,34,1,7,2013,1
,49,1,7,2013,1
,31,1,7,2013,1
,28,1,7,2013,1
,24,1,7,2013,1
,21,1,5,2013,1
,41,1,7,2013,1
,26,1,7,2013,1
,44,1,7,2013,1
,23,1,7,2013,1
,37,1,7,2013,1
,23,1,7,2013,1
,37,1,7,2013,1
,47,1,7,2013,1
,18,1,7,2013,1
,17,1,7,2013,1
,40,1,7,2013,1
,34,1,7,2013,1
,18,1,7,2013,1
,31,1,7,2013,1
,31,1,7,2013,1
,24,1,7,2013,1
,19,1,7,2013,1
,23,1,7,2013,1
,17,1,7,2013,1
,18,1,7,2013,1
,24,1,7,2013,1
,20,1,6,2013,1
,22,1,6,2013,1
,23,1,6,2013,1
,23,1,6,2013,1
,16,1,6,2013,1
,26,1,6,2013,1
,20,1,6,2013,1
,32,1,6,2013,1
,20,1,6,2013,1
,20,1,6,2013,1
,24,1,6,2013,1
,16,1,6,2013,1
,18,1,6,2013,1
,29,1,6,2013,1
,41,1,6,2013,1
,23,1,6,2013,1
,29,1,6,2013,1
,29,1,6,2013,1
,16,1,6,2013,1
,25,1,7,2013,1
,28,1,7,2013,1
,23,1,7,2013,1
,20,1,7,2013,1
,32,1,7,2013,1
,21,1,7,2013,1
,23,1,7,2013,1
,26,1,7,2013,1
,16,1,7,2013,1
,18,1,7,2013,1
,17,1,7,2013,1
,23,1,7,2013,1
,18,1,7,2013,1
,30,1,7,2013,1
,21,1,7,2013,1
