ID,vcs201_attendees_total,vcs011_prgrm,month,year,country
,113,TRR,9,2015,2
,50,NTB,11,2014,2
,48,MFW,10,2014,2
,22,SRK,10,2014,2
,82,MFW,10,2014,2
,73,MFW,10,2014,2
,27,MFW,10,2014,2
,53,MFW,10,2014,2
,36,MFW,10,2014,2
,52,MFW,10,2014,2
,46,MFW,10,2014,2
,77,MFW,10,2014,2
,56,MFW,10,2014,2
,30,MFW,10,2014,2
,30,MFW,10,2014,2
,39,MFW,10,2014,2
,86,MFW,10,2014,2
,36,MFW,10,2014,2
,38,MFW,10,2014,2
,43,MFW,10,2014,2
,59,MFW,10,2014,2
,47,MFW,10,2014,2
,74,MFW,10,2014,2
,53,MFW,10,2014,2
,34,MFW,10,2014,2
,44,MFW,10,2014,2
,35,MFW,10,2014,2
,38,MFW,10,2014,2
,37,MFW,10,2014,2
,70,MFW,10,2014,2
,43,MFW,10,2014,2
,70,MFW,10,2014,2
,37,MFW,10,2014,2
,66,MFW,10,2014,2
,57,MFW,10,2014,2
,34,MFW,10,2014,2
,32,MFW,10,2014,2
,43,MFW,10,2014,2
,49,MFW,10,2014,2
,43,MFW,10,2014,2
,48,MFW,10,2014,2
,57,MFW,10,2014,2
,45,MFW,10,2014,2
,27,MFW,10,2014,2
,41,MFW,10,2014,2
,45,MFW,10,2014,2
,49,MFW,10,2014,2
,50,MFW,10,2014,2
,29,MFW,10,2014,2
,43,MFW,10,2014,2
,65,MFW,10,2014,2
,37,SRK,10,2014,2
,21,MFW,10,2014,2
,39,MFW,10,2014,2
,69,MFW,10,2014,2
,54,MFW,10,2014,2
,26,MFW,10,2014,2
,50,SRK,10,2014,2
,49,SRK,10,2014,2
,66,SRK,10,2014,2
,26,SRK,10,2014,2
,62,SRK,10,2014,2
,30,SRK,10,2014,2
,34,MFW,10,2014,2
,119,MFW,10,2014,2
,63,SRK,10,2014,2
,35,MFW,10,2014,2
,42,MFW,10,2014,2
,66,MFW,10,2014,2
,35,MFW,10,2014,2
,52,MFW,10,2014,2
,98,MFW,10,2014,2
,98,MFW,10,2014,2
,39,MFW,10,2014,2
,40,MFW,10,2014,2
,41,MFW,10,2014,2
,31,MFW,10,2014,2
,38,MFW,10,2014,2
,79,MFW,10,2014,2
,48,MFW,10,2014,2
,61,MFW,10,2014,2
,26,MFW,10,2014,2
,32,MFW,10,2014,2
,66,MFW,10,2014,2
,49,MFW,10,2014,2
,39,MFW,10,2014,2
,44,MFW,10,2014,2
,80,MFW,10,2014,2
,34,MFW,10,2014,2
,35,MFW,10,2014,2
,45,MFW,10,2014,2
,31,MFW,10,2014,2
,33,MFW,10,2014,2
,40,MFW,10,2014,2
,41,MFW,10,2014,2
,40,MFW,10,2014,2
,39,MFW,10,2014,2
,75,MFW,10,2014,2
,72,MFW,10,2014,2
,60,MFW,10,2014,2
,41,MFW,10,2014,2
,140,MFW,10,2014,2
,74,MFW,10,2014,2
,41,MFW,10,2014,2
,43,MFW,10,2014,2
,29,MFW,10,2014,2
,51,MFW,10,2014,2
,32,MFW,10,2014,2
,33,MFW,10,2014,2
,47,MFW,10,2014,2
,99,MFW,10,2014,2
,43,MFW,10,2014,2
,40,MFW,10,2014,2
,26,MFW,10,2014,2
,59,MFW,10,2014,2
,80,MFW,10,2014,2
,40,MFW,10,2014,2
,41,MFW,10,2014,2
,26,MFW,10,2014,2
,41,MFW,10,2014,2
,39,MFW,10,2014,2
,40,MFW,10,2014,2
,48,MFW,10,2014,2
,59,MFW,10,2014,2
,49,MFW,10,2014,2
,44,MFW,10,2014,2
,42,MFW,10,2014,2
,59,MFW,10,2014,2
,42,MFW,10,2014,2
,44,MFW,10,2014,2
,38,MFW,10,2014,2
,41,MFW,10,2014,2
,37,MFW,10,2014,2
,25,MFW,10,2014,2
,46,MFW,10,2014,2
,40,MFW,10,2014,2
,24,MFW,10,2014,2
,30,MFW,10,2014,2
,26,MFW,10,2014,2
,27,MFW,10,2014,2
,38,MFW,10,2014,2
,69,MFW,10,2014,2
,32,MFW,10,2014,2
,34,MFW,10,2014,2
,64,MFW,10,2014,2
,40,MFW,10,2014,2
,40,MFW,10,2014,2
,42,MFW,10,2014,2
,25,MFW,10,2014,2
,70,MFW,10,2014,2
,98,MFW,10,2014,2
,64,MFW,10,2014,2
,47,MFW,10,2014,2
,40,SRK,10,2014,2
,41,SRK,10,2014,2
,53,SRK,10,2014,2
,42,MFW,10,2014,2
,49,MFW,10,2014,2
,45,SRK,10,2014,2
,94,MFW,10,2014,2
,43,SRK,10,2014,2
,78,MFW,10,2014,2
,47,SRK,10,2014,2
,52,MFW,10,2014,2
,63,SRK,10,2014,2
,88,MFW,10,2014,2
,50,SRK,10,2014,2
,48,SRK,10,2014,2
,29,MFW,10,2014,2
,36,MFW,10,2014,2
,57,MFW,10,2014,2
,33,MFW,10,2014,2
,49,MFW,10,2014,2
,37,MFW,10,2014,2
,31,MFW,10,2014,2
,31,MFW,10,2014,2
,39,MFW,10,2014,2
,35,MFW,10,2014,2
,38,MFW,10,2014,2
,43,MFW,10,2014,2
,63,MFW,10,2014,2
,70,MFW,10,2014,2
,74,MFW,10,2014,2
,41,MFW,10,2014,2
,35,MFW,10,2014,2
,40,MFW,10,2014,2
,57,MFW,10,2014,2
,49,MFW,10,2014,2
,46,MFW,10,2014,2
