id,cem301_attendees_total,prog,month,year,country
,235,Zomba 3,11,2014,3
,56,Zomba 3,11,2014,3
,127,Zomba 3,11,2014,3
,105,Zomba 3,11,2014,3
,54,Zomba 3,11,2014,3
,48,Zomba 3,11,2014,3
,51,Zomba 3,11,2014,3
,42,Zomba 3,11,2014,3
,70,Zomba 3,12,2014,3
,50,Zomba 3,12,2014,3
,80,Zomba 3,12,2014,3
,50,Zomba 3,12,2014,3
,60,Zomba 3,12,2014,3
,20,Zomba 3,12,2014,3
,45,Zomba 3,11,2014,3
,21,Zomba 3,11,2014,3
,31,Zomba 3,11,2014,3
,23,Zomba 3,11,2014,3
,25,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,28,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,68,Zomba 3,11,2014,3
,28,Zomba 3,11,2014,3
,58,Zomba 4,11,2014,3
,51,Zomba 3,11,2014,3
,19,Zomba 3,12,2014,3
,25,Zomba 3,12,2014,3
,63,Zomba 3,11,2014,3
,36,Zomba 3,11,2014,3
,33,Zomba 3,12,2014,3
,30,Zomba 3,11,2014,3
,30,Zomba 3,12,2014,3
,44,Zomba 3,12,2014,3
,42,Zomba 3,12,2014,3
,36,Zomba 3,12,2014,3
,42,Zomba 3,12,2014,3
,40,Zomba 3,12,2014,3
,38,Zomba 3,12,2014,3
,46,Zomba 3,12,2014,3
,32,Zomba 3,12,2014,3
,52,Zomba 3,12,2014,3
,56,Zomba 3,12,2014,3
,150,Zomba 3,12,2014,3
,34,Zomba 3,4,2015,3
,38,Zomba 3,12,2014,3
,45,Zomba 3,12,2014,3
,20,Zomba 3,12,2014,3
,11,Zomba 3,12,2014,3
,35,Zomba 3,12,2014,3
,14,Zomba 3,12,2014,3
,16,Zomba 3,12,2014,3
,18,Zomba 3,12,2014,3
,32,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,78,Zomba 3,12,2014,3
,76,Zomba 3,12,2014,3
,45,Zomba 3,12,2014,3
,25,Zomba 3,12,2014,3
,20,Zomba 3,12,2014,3
,40,Zomba 3,12,2014,3
,35,Zomba 4,4,2015,3
,60,Zomba 3,12,2014,3
,21,Zomba 3,12,2014,3
