id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,MFW,703017,2,524,17.46667,0.1145038,0.5725191,2,6,08-Mei-14,14-Okt-15,10,2015,2
,KBK1,7020003,4,235,7.833333,0.5106383,2.553191,2,8,24-Jul-14,16-Mar-15,3,2015,2
,KBK2,7020005,4,263,8.766666,0.4562738,2.281369,2,8,24-Jun-14,14-Mar-15,3,2015,2
,KBK2,7020009,4,210,7,0.5714286,2.857143,2,8,16-Mar-15,12-Okt-15,10,2015,2
,KBK1,7020010,4,322,10.73333,0.3726708,1.863354,2,7,14-Mar-15,30-Jan-16,1,2016,2
,KBK2,7020011,4,264,8.8,0.4545454,2.272727,2,6,25-Jun-14,16-Mar-15,3,2015,2
,KBK2,7020012,4,264,8.8,0.4545454,2.272727,2,5,25-Jun-14,16-Mar-15,3,2015,2
,KBK1,7020014,4,262,8.733334,0.4580153,2.290076,2,8,25-Jun-14,14-Mar-15,3,2015,2
,KBK1,7020015,4,262,8.733334,0.4580153,2.290076,2,8,25-Jun-14,14-Mar-15,3,2015,2
,KBK2,7020019,4,263,8.766666,0.4562738,2.281369,2,6,26-Jun-14,16-Mar-15,3,2015,2
,KBK2,7020021,3,484,16.13333,0.1859504,0.9297521,3,6,23-Jun-14,20-Okt-15,10,2015,2
,KBK2,7020022,12,585,19.5,0.6153846,3.076923,4,15,23-Jun-14,29-Jan-16,1,2016,2
,KBK2,7020023,12,586,19.53333,0.6143345,3.071672,4,16,23-Jun-14,30-Jan-16,1,2016,2
,KBK2,7020024,4,483,16.1,0.2484472,1.242236,2,8,24-Jun-14,20-Okt-15,10,2015,2
,KBK2,7020025,8,320,10.66667,0.75,3.75,4,16,14-Mar-15,29-Jan-16,1,2016,2
,KBK2,7020026,4,280,9.333333,0.4285714,2.142857,2,8,10-Jun-14,17-Mar-15,3,2015,2
,KBK2,7020027,4,280,9.333333,0.4285714,2.142857,2,8,10-Jun-14,17-Mar-15,3,2015,2
,KBK2,7020028,8,587,19.56667,0.4088586,2.044293,3,11,10-Jun-14,18-Jan-16,1,2016,2
,KBK2,7020029,8,587,19.56667,0.4088586,2.044293,3,12,10-Jun-14,18-Jan-16,1,2016,2
,KBK2,7020031,8,593,19.76667,0.4047218,2.023609,3,12,04-Jun-14,18-Jan-16,1,2016,2
,KBK2,7020032,8,592,19.73333,0.4054054,2.027027,3,12,05-Jun-14,18-Jan-16,1,2016,2
,KBK2,7020034,4,281,9.366667,0.4270463,2.135231,2,8,06-Jun-14,14-Mar-15,3,2015,2
,KBK2,7020036,4,281,9.366667,0.4270463,2.135231,2,8,05-Jun-14,13-Mar-15,3,2015,2
,KBK2,7020037,4.2,286,9.533334,0.4405594,2.202797,2,8,04-Jun-14,17-Mar-15,3,2015,2
,KBK2,7020038,4,277,9.233334,0.433213,2.166065,2,8,10-Jun-14,14-Mar-15,3,2015,2
,KBK2,7020040,4,281,9.366667,0.4270463,2.135231,2,8,06-Jun-14,14-Mar-15,3,2015,2
,KBK2,7020041,4,281,9.366667,0.4270463,2.135231,2,7,06-Jun-14,14-Mar-15,3,2015,2
,KBK2,7020042,4,281,9.366667,0.4270463,2.135231,2,7,06-Jun-14,14-Mar-15,3,2015,2
,KBK2,7020043,4,280,9.333333,0.4285714,2.142857,3,11,10-Jun-14,16-Mei-16,5,2016,2
,KBK2,7020044,8,712,23.73333,0.3370787,1.685393,3,12,04-Jun-14,16-Mei-16,5,2016,2
,KBK2,7020045,4,286,9.533334,0.4195804,2.097902,3,12,04-Jun-14,16-Mei-16,5,2016,2
,KBK2,7020046,7,712,23.73333,0.2949438,1.474719,3,10,04-Jun-14,16-Mei-16,5,2016,2
,KBK2,7020047,4,427,14.23333,0.2810304,1.405152,2,8,17-Mar-15,17-Mei-16,5,2016,2
,KBK2,7020048,4,427,14.23333,0.2810304,1.405152,2,6,17-Mar-15,17-Mei-16,5,2016,2
,KBK2,7020049,8,712,23.73333,0.3370787,1.685393,3,12,04-Jun-14,16-Mei-16,5,2016,2
,KBK4,7020051,12,581,19.36667,0.6196213,3.098107,4,15,17-Jun-14,19-Jan-16,1,2016,2
,KBK3,7020052,11,581,19.36667,0.5679862,2.839931,4,14,17-Jun-14,19-Jan-16,1,2016,2
,KBK3,7020053,12,581,19.36667,0.6196213,3.098107,4,16,17-Jun-14,19-Jan-16,1,2016,2
,KBK3,7020054,12,581,19.36667,0.6196213,3.098107,4,15,17-Jun-14,19-Jan-16,1,2016,2
,KBK3,7020055,12,581,19.36667,0.6196213,3.098107,4,16,17-Jun-14,19-Jan-16,1,2016,2
,KBK3,7020056,16,590,19.66667,0.8135594,4.067797,5,19,17-Jun-14,28-Jan-16,1,2016,2
,KBK3,7020057,16,591,19.7,0.8121827,4.060914,5,20,16-Jun-14,28-Jan-16,1,2016,2
,KBK3,7020058,15,227,7.566667,1.982379,9.911894,5,19,11-Mar-15,24-Okt-15,10,2015,2
,KBK3,7020059,7,317,10.56667,0.6624606,3.312303,3,11,09-Mar-15,20-Jan-16,1,2016,2
,KBK3,7020060,12,582,19.4,0.6185567,3.092784,4,16,17-Jun-14,20-Jan-16,1,2016,2
,KBK3,7020062,8,313,10.43333,0.7667732,3.833866,3,12,13-Mar-15,20-Jan-16,1,2016,2
,KBK3,7020063,11,590,19.66667,0.5593221,2.79661,4,13,17-Jun-14,28-Jan-16,1,2016,2
,KBK3,7020064,8,322,10.73333,0.7453416,3.726708,3,12,12-Mar-15,28-Jan-16,1,2016,2
,KBK3,7020065,15,329,10.96667,1.367781,6.838906,5,19,06-Mar-15,29-Jan-16,1,2016,2
,KBK3,7020066,14,589,19.63333,0.713073,3.565365,5,18,19-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020067,16,589,19.63333,0.8149406,4.074703,5,19,19-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020068,20,589,19.63333,1.018676,5.093379,6,24,19-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020069,15,589,19.63333,0.7640068,3.820034,5,18,19-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020070,16,589,19.63333,0.8149406,4.074703,5,20,19-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020071,16,589,19.63333,0.8149406,4.074703,5,19,19-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020072,15.8,590,19.66667,0.8033898,4.016949,5,20,18-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020073,15,591,19.7,0.7614213,3.807106,5,19,17-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020074,16,591,19.7,0.8121827,4.060914,5,20,17-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020075,14,590,19.66667,0.7118644,3.559322,5,18,18-Jun-14,29-Jan-16,1,2016,2
,KBK3,7020076,16,586,19.53333,0.8191127,4.095563,5,20,18-Jun-14,25-Jan-16,1,2016,2
,KBK3,7020077,8,227,7.566667,1.057269,5.286344,3,12,12-Jun-15,25-Jan-16,1,2016,2
