ID,cem301_attendees_total,month,year,country
,64,1,2012,2
,32,1,2012,2
,23,1,2012,2
,37,1,2012,2
,53,1,2012,2
,19,1,2012,2
,55,1,2012,2
,36,1,2012,2
,38,1,2012,2
,45,1,2012,2
,43,1,2012,2
,27,1,2012,2
,38,1,2012,2
,26,1,2012,2
,28,1,2012,2
,42,1,2012,2
,30,1,2012,2
,26,1,2012,2
,,1,2012,2
,56,9,2012,2
,40,12,2012,2
,46,12,2012,2
,22,1,2013,2
,33,1,2013,2
,38,4,2013,2
,25,4,2013,2
,68,4,2013,2
,52,4,2013,2
,35,4,2013,2
,32,4,2013,2
,48,4,2013,2
,44,4,2013,2
,32,4,2013,2
,30,4,2013,2
,19,4,2013,2
,42,4,2013,2
,52,4,2013,2
,23,4,2013,2
,20,4,2013,2
,32,4,2013,2
,22,4,2013,2
,25,4,2013,2
,21,4,2013,2
,30,4,2013,2
,30,4,2013,2
,32,4,2013,2
,37,4,2013,2
,32,4,2013,2
,48,4,2013,2
,30,4,2013,2
,22,4,2013,2
,17,4,2013,2
,49,4,2013,2
,38,4,2013,2
,19,4,2013,2
,29,4,2013,2
,46,4,2013,2
,44,4,2013,2
,21,4,2013,2
,26,4,2013,2
,35,4,2013,2
,28,4,2013,2
,26,4,2013,2
,,4,2013,2
,37,4,2013,2
,39,4,2013,2
,23,4,2013,2
,33,4,2013,2
,29,4,2013,2
,39,4,2013,2
,44,4,2013,2
,29,4,2013,2
,19,4,2013,2
,20,4,2013,2
,,4,2013,2
,22,4,2013,2
,54,4,2013,2
,21,4,2013,2
,21,4,2013,2
,32,4,2013,2
,21,4,2013,2
,26,4,2013,2
,41,4,2013,2
,19,4,2013,2
,19,4,2013,2
,61,4,2013,2
,37,4,2013,2
,155,4,2013,2
,24,4,2013,2
,59,4,2013,2
,31,4,2013,2
,34,4,2013,2
,31,4,2013,2
,45,4,2013,2
,19,4,2013,2
,31,4,2013,2
,28,4,2013,2
,29,4,2013,2
,38,4,2013,2
,30,4,2013,2
,30,4,2013,2
,28,4,2013,2
,22,4,2013,2
,36,4,2013,2
,23,4,2013,2
,30,4,2013,2
,21,4,2013,2
,36,4,2013,2
,35,4,2013,2
,22,4,2013,2
,43,4,2013,2
,75,4,2013,2
,20,4,2013,2
,24,4,2013,2
,31,4,2013,2
,22,4,2013,2
,40,4,2013,2
,33,4,2013,2
,10,4,2013,2
,31,4,2013,2
,24,4,2013,2
,32,4,2013,2
,33,4,2013,2
,32,4,2013,2
,32,4,2013,2
,37,4,2013,2
,28,4,2013,2
,42,4,2013,2
,28,4,2013,2
,31,4,2013,2
,16,4,2013,2
,68,4,2013,2
,59,4,2013,2
,43,4,2013,2
,38,4,2013,2
,41,4,2013,2
,48,4,2013,2
,28,4,2013,2
,44,4,2013,2
,33,4,2013,2
,40,4,2013,2
,38,4,2013,2
,35,4,2013,2
,37,4,2013,2
,21,4,2013,2
,32,4,2013,2
,36,4,2013,2
,27,4,2013,2
,37,4,2013,2
,55,4,2013,2
,58,4,2013,2
,54,4,2013,2
,40,4,2013,2
,41,4,2013,2
,28,4,2013,2
,32,4,2013,2
,22,4,2013,2
,54,4,2013,2
,35,4,2013,2
,66,4,2013,2
,55,4,2013,2
,35,4,2013,2
,40,4,2013,2
,29,4,2013,2
,71,4,2013,2
,34,4,2013,2
,30,4,2013,2
,35,4,2013,2
,46,4,2013,2
,41,4,2013,2
,31,4,2013,2
,42,4,2013,2
,32,4,2013,2
,39,4,2013,2
,22,4,2013,2
,36,4,2013,2
,44,4,2013,2
,25,4,2013,2
,59,4,2013,2
,22,4,2013,2
,40,4,2013,2
,39,4,2013,2
,44,4,2013,2
,102,4,2013,2
,48,4,2013,2
,86,4,2013,2
,33,4,2013,2
,39,4,2013,2
,32,4,2013,2
,61,4,2013,2
,56,4,2013,2
,33,4,2013,2
,37,4,2013,2
,39,5,2013,2
,35,5,2013,2
,41,5,2013,2
,27,5,2013,2
,58,5,2013,2
,35,5,2013,2
,40,5,2013,2
,61,5,2013,2
,49,5,2013,2
,56,5,2013,2
,38,5,2013,2
,25,5,2013,2
,67,5,2013,2
,39,5,2013,2
,60,5,2013,2
,43,5,2013,2
,41,5,2013,2
,12,5,2013,2
,40,5,2013,2
,30,5,2013,2
,50,5,2013,2
,45,5,2013,2
,36,5,2013,2
,40,5,2013,2
,48,5,2013,2
,14,5,2013,2
,52,5,2013,2
,49,5,2013,2
,43,5,2013,2
,46,5,2013,2
,52,5,2013,2
,47,5,2013,2
,62,5,2013,2
,42,5,2013,2
,31,5,2013,2
,28,5,2013,2
,27,5,2013,2
,28,5,2013,2
,43,5,2013,2
,15,5,2013,2
,47,5,2013,2
,30,5,2013,2
,47,5,2013,2
,55,5,2013,2
,60,5,2013,2
,35,5,2013,2
,28,5,2013,2
,28,5,2013,2
,96,5,2013,2
,38,5,2013,2
,31,5,2013,2
,60,5,2013,2
,51,5,2013,2
,41,5,2013,2
,,5,2013,2
,40,5,2013,2
,60,5,2013,2
,63,5,2013,2
,40,5,2013,2
,35,5,2013,2
,45,5,2013,2
,36,5,2013,2
,57,5,2013,2
,38,5,2013,2
,51,5,2013,2
,72,5,2013,2
,36,5,2013,2
,78,5,2013,2
,23,5,2013,2
,38,5,2013,2
,78,5,2013,2
,41,5,2013,2
,43,5,2013,2
,70,5,2013,2
,22,5,2013,2
,32,5,2013,2
,30,5,2013,2
,34,5,2013,2
,89,5,2013,2
,34,5,2013,2
,79,5,2013,2
,46,5,2013,2
,25,5,2013,2
,41,5,2013,2
,37,5,2013,2
,50,5,2013,2
,89,5,2013,2
,70,5,2013,2
,37,5,2013,2
,52,5,2013,2
,35,5,2013,2
,26,5,2013,2
,46,5,2013,2
,25,5,2013,2
,67,5,2013,2
,46,5,2013,2
,60,5,2013,2
,49,5,2013,2
,40,5,2013,2
,40,5,2013,2
,22,5,2013,2
,48,5,2013,2
,35,5,2013,2
,50,5,2013,2
,36,5,2013,2
,30,5,2013,2
,67,5,2013,2
,49,5,2013,2
,39,5,2013,2
,22,5,2013,2
,40,5,2013,2
,45,5,2013,2
,28,5,2013,2
,43,5,2013,2
,46,5,2013,2
,83,5,2013,2
,27,5,2013,2
,45,5,2013,2
,38,5,2013,2
,60,5,2013,2
,56,5,2013,2
,63,5,2013,2
,24,5,2013,2
,35,5,2013,2
,33,5,2013,2
,33,5,2013,2
,42,5,2013,2
,21,5,2013,2
