id,cr011_prgrm,cr102_wpt_id,total_chl_used,total_period_day,total_period_30day,avrg_30day_usage,avrg_30day_usage_litres,num_of_Deliveries,Jerrican_delivered,date_of_first_delivery,date_of_last_delivery,month,year,country
,Busia,10010001,,,,,,1,0,14may2015,14may2015,5,2015,1
,Busia,10010002,,,,,,2,0,16-Feb-15,10-Jun-15,6,2015,1
,Busia,10010003,,,,,,1,0,24-Apr-15,24-Apr-15,4,2015,1
,Busia,10010004,,,,,,1,0,06mar2015,06mar2015,3,2015,1
,Busia,10010005,,,,,,2,0,09mar2015,24may2015,5,2015,1
,Busia,10010006,,,,,,2,0,29-Jan-15,30-Apr-15,4,2015,1
,Busia,10010007,,,,,,2,0,04-Feb-15,02-Jun-15,6,2015,1
,Busia,10010008,,,,,,2,3,04-Feb-15,15-Jun-15,6,2015,1
,Busia,10010009,,,,,,1,0,10mar2015,10mar2015,3,2015,1
,Busia,10010010,,,,,,1,0,22-Jan-15,22-Jan-15,1,2015,1
,Busia,10010011,,,,,,1,0,23-Feb-15,23-Feb-15,2,2015,1
,Busia,10010012,,,,,,2,0,04-Feb-15,02-Jun-15,6,2015,1
,Busia,10010015,,,,,,1,0,11-Jun-15,11-Jun-15,6,2015,1
,Busia,10020001,,,,,,1,0,10-Feb-15,10-Feb-15,2,2015,1
,Busia,10020002,,,,,,1,0,06mar2015,06mar2015,3,2015,1
,Busia,10020003,,,,,,1,0,02-Feb-15,02-Feb-15,2,2015,1
,Busia,10020004,,,,,,1,0,28-Jan-15,28-Jan-15,1,2015,1
,Busia,10020005,,,,,,1,0,02-Feb-15,02-Feb-15,2,2015,1
,Busia,10020006,,,,,,1,0,28-Jan-15,28-Jan-15,1,2015,1
,Busia,10020007,,,,,,1,0,02-Feb-15,02-Feb-15,2,2015,1
,Busia,10020008,,,,,,2,3,22-Jan-15,20-Jun-15,6,2015,1
,Busia,10020009,,,,,,1,0,02-Feb-15,02-Feb-15,2,2015,1
,Busia,10020010,,,,,,1,0,06mar2015,06mar2015,3,2015,1
,Busia,10020011,,,,,,1,0,28-Jan-15,28-Jan-15,1,2015,1
,Busia,10020012,,,,,,1,0,02-Feb-15,02-Feb-15,2,2015,1
,Busia,10020013,,,,,,1,0,02-Feb-15,02-Feb-15,2,2015,1
,Busia,10020015,,,,,,1,0,06mar2015,06mar2015,3,2015,1
,Busia,10020016,,,,,,2,3,22-Jan-15,12may2015,5,2015,1
,Busia,10020017,,,,,,1,0,28-Jan-15,28-Jan-15,1,2015,1
,Busia,10020019,,,,,,1,0,02-Feb-15,02-Feb-15,2,2015,1
,Busia,10020020,,,,,,2,2,28-Jan-15,20-Jun-15,6,2015,1
,Busia,10020021,,,,,,1,0,06mar2015,06mar2015,3,2015,1
,Busia,10020022,,,,,,1,0,10-Feb-15,10-Feb-15,2,2015,1
,Busia,10020023,,,,,,1,0,10-Feb-15,10-Feb-15,2,2015,1
,Busia,10020024,,,,,,2,0,02-Feb-15,31mar2015,3,2015,1
,Busia,10020025,,,,,,1,0,10-Feb-15,10-Feb-15,2,2015,1
,Busia,10020026,,,,,,2,3,10-Feb-15,19-Jun-15,6,2015,1
,Busia,10020027,,,,,,2,3,10-Feb-15,19-Jun-15,6,2015,1
,Busia,10020028,,,,,,2,3,10-Feb-15,19-Jun-15,6,2015,1
,Busia,10030001,,,,,,3,0,06-Feb-15,17-Jun-15,6,2015,1
,Busia,10030002,,,,,,2,0,06-Feb-15,12may2015,5,2015,1
,Busia,10030004,,,,,,3,0,14-Apr-15,11-Jun-15,6,2015,1
,Busia,10030005,,,,,,3,0,18-Feb-15,05-Jun-15,6,2015,1
,Busia,10030006,,,,,,2,0,06-Feb-15,12may2015,5,2015,1
,Busia,10030007,,,,,,1,0,29-Jan-15,29-Jan-15,1,2015,1
,Busia,10030008,,,,,,2,0,06-Feb-15,12may2015,5,2015,1
,Busia,10030009,,,,,,2,3,06-Feb-15,12may2015,5,2015,1
,Busia,10030010,,,,,,2,0,16-Feb-15,12may2015,5,2015,1
,Busia,10030011,,,,,,2,0,06-Feb-15,12may2015,5,2015,1
,Busia,10030012,,,,,,2,0,06-Feb-15,12may2015,5,2015,1
,Busia,10030013,,,,,,2,0,16-Feb-15,12may2015,5,2015,1
,Busia,10030014,,,,,,1,0,12may2015,12may2015,5,2015,1
,Busia,10030015,,,,,,2,0,06-Feb-15,12may2015,5,2015,1
,Busia,10030016,,,,,,2,0,16-Feb-15,15may2015,5,2015,1
