id,cem301_attendees_total,cem011_prgrm,month,year,cem009_country
,73,Zomba 1,4,2014,3
,33,Zomba 1,4,2014,3
,75,Zomba 1,12,2013,3
,32,Zomba 1,4,2014,3
,40,Zomba 1,4,2014,3
,35,Zomba 1,12,2013,3
,45,Zomba 1,12,2013,3
,49,Zomba 1,4,2014,3
,60,Zomba 1,4,2014,3
,54,Zomba 1,4,2014,3
,24,Zomba 1,1,2013,3
,25,Zomba 1,4,2014,3
,16,Zomba 1,4,2014,3
,58,Zomba 1,12,2013,3
,63,Zomba 1,4,2014,3
,53,Zomba 1,12,2013,3
,70,Zomba 1,12,2013,3
,25,Zomba 1,12,2013,3
,22,Zomba 1,4,2014,3
,88,Zomba 1,4,2014,3
,82,Zomba 1,12,2013,3
,26,Zomba 1,4,2014,3
,101,Zomba 1,12,2013,3
,85,Zomba 1,4,2014,3
,47,Zomba 1,12,2013,3
,86,Zomba 1,4,2014,3
,64,Zomba 1,4,2014,3
,37,Zomba 1,12,2013,3
,78,Zomba 1,12,2013,3
,49,Zomba 1,4,2014,3
,33,Zomba 1,4,2014,3
,1040,Zomba 1,4,2014,3
,40,Zomba 1,4,2014,3
,26,Zomba 1,12,2013,3
,56,Zomba 1,4,2014,3
,43,Zomba 1,4,2014,3
,47,Zomba 1,4,2014,3
,63,Zomba 1,4,2014,3
,42,Zomba 1,4,2014,3
,27,Zomba 1,12,2013,3
,40,Zomba 1,12,2013,3
,30,Zomba 1,12,2013,3
,150,Zomba 1,12,2013,3
,75,Zomba 1,12,2013,3
,80,Zomba 1,4,2014,3
,60,Zomba 1,4,2014,3
,72,Zomba 1,12,2013,3
,50,Zomba 1,12,2013,3
,98,Zomba 1,4,2014,3
,72,Zomba 1,4,2014,3
,38,Zomba 1,4,2014,3
,59,Zomba 2,4,2014,3
,47,Zomba 2,4,2014,3
,63,Zomba 2,4,2014,3
,52,Zomba 2,4,2014,3
,41,Zomba 2,4,2014,3
,40,Zomba 2,4,2014,3
,40,Zomba 2,4,2014,3
,32,Zomba 2,4,2014,3
,63,Zomba 2,4,2014,3
,52,Zomba 2,4,2014,3
,35,Zomba 2,4,2014,3
,30,Zomba 2,4,2014,3
,24,Zomba 2,4,2014,3
,23,Zomba 2,4,2014,3
,21,Zomba 2,4,2014,3
,46,Zomba 2,4,2014,3
,30,Zomba 2,4,2014,3
,45,Zomba 2,4,2014,3
,20,Zomba 2,4,2014,3
,24,Zomba 2,4,2014,3
,24,Zomba 2,4,2014,3
,41,Zomba 2,4,2014,3
,30,Zomba 3,12,2014,3
,21,Zomba 3,12,2014,3
,33,Zomba 3,12,2014,3
,40,Zomba 3,11,2014,3
,40,Zomba 3,11,2014,3
,23,Zomba 3,12,2014,3
,42,Zomba 3,12,2014,3
,103,Zomba 3,12,2014,3
,48,Zomba 3,12,2014,3
,46,Zomba 3,12,2014,3
,25,Zomba 3,12,2014,3
,36,Zomba 3,12,2014,3
,39,Zomba 3,12,2014,3
,34,Zomba 3,12,2014,3
,95,Zomba 3,11,2014,3
,38,Zomba 3,12,2014,3
,20,Zomba 3,11,2014,3
,120,Zomba 3,11,2014,3
,28,Zomba 3,12,2014,3
,53,Zomba 3,12,2014,3
,60,Zomba 3,12,2014,3
,30,Zomba 3,11,2014,3
,39,Zomba 3,11,2014,3
,158,Zomba 3,11,2014,3
,18,Zomba 3,12,2014,3
,40,Zomba 3,12,2014,3
,35,Zomba 3,12,2014,3
,36,Zomba 3,12,2014,3
,82,Zomba 3,11,2014,3
,44,Zomba 3,11,2014,3
,169,Zomba 3,11,2014,3
,70,Zomba 3,11,2014,3
,32,Zomba 3,12,2014,3
,46,Zomba 3,11,2014,3
,385,Zomba 3,11,2014,3
,50,Zomba 3,12,2014,3
,40,Zomba 3,12,2014,3
,22,Zomba 3,11,2014,3
,20,Zomba 3,12,2014,3
,45,Zomba 3,12,2014,3
,43,Zomba 3,12,2014,3
,25,Zomba 3,4,2015,3
,38,Zomba 3,12,2014,3
,18,Zomba 3,11,2014,3
,42,Zomba 3,12,2014,3
,49,Zomba 3,11,2014,3
,49,Zomba 3,4,2015,3
,56,Zomba 3,11,2014,3
,48,Zomba 3,12,2014,3
,54,Zomba 3,11,2014,3
,89,Zomba 3,12,2014,3
,25,Zomba 3,12,2014,3
,15,Zomba 3,12,2014,3
,60,Zomba 3,12,2014,3
,11,Zomba 3,12,2014,3
,27,Zomba 3,12,2014,3
,48,Zomba 3,11,2014,3
,38,Zomba 3,12,2014,3
,82,Zomba 3,12,2014,3
,46,Zomba 3,12,2014,3
,85,Zomba 3,11,2014,3
,55,Zomba 3,11,2014,3
,96,Zomba 3,12,2014,3
,39,Zomba 3,11,2014,3
,48,Zomba 3,11,2014,3
,50,Zomba 3,4,2015,3
,15,Zomba 3,12,2014,3
,21,Zomba 3,11,2014,3
,31,Zomba 3,12,2014,3
,29,Zomba 3,11,2014,3
,28,Zomba 3,12,2014,3
,55,Zomba 3,12,2014,3
,47,Zomba 3,11,2014,3
,88,Zomba 3,11,2014,3
,49,Zomba 3,12,2014,3
,50,Zomba 3,12,2014,3
,55,Zomba 3,11,2014,3
,12,Zomba 3,12,2014,3
,150,Zomba 3,11,2014,3
,235,Zomba 3,11,2014,3
,18,Zomba 3,4,2015,3
,58,Zomba 3,11,2014,3
,89,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,25,Zomba 3,11,2014,3
,30,Zomba 3,12,2014,3
,93,Zomba 3,11,2014,3
,47,Zomba 3,11,2014,3
,78,Zomba 3,12,2014,3
,150,Zomba 3,12,2014,3
,80,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,60,Zomba 3,11,2014,3
,60,Zomba 3,12,2014,3
,36,Zomba 3,4,2015,3
,60,Zomba 3,11,2014,3
,15,Zomba 3,12,2014,3
,16,Zomba 3,12,2014,3
,90,Zomba 3,12,2014,3
,68,Zomba 3,12,2014,3
,63,Zomba 3,11,2014,3
,80,Zomba 3,11,2014,3
,70,Zomba 3,12,2014,3
,48,Zomba 3,11,2014,3
,24,Zomba 3,12,2014,3
,38,Zomba 3,12,2014,3
,50,Zomba 3,11,2014,3
,105,Zomba 3,11,2014,3
,30,Zomba 3,12,2014,3
,80,Zomba 3,12,2014,3
,25,Zomba 3,11,2014,3
,26,Zomba 3,12,2014,3
,25,Zomba 3,12,2014,3
,20,Zomba 3,12,2014,3
,32,Zomba 3,12,2014,3
,60,Zomba 3,12,2014,3
,28,Zomba 3,12,2014,3
,140,Zomba 3,11,2014,3
,40,Zomba 3,12,2014,3
,51,Zomba 3,12,2013,3
,45,Zomba 3,12,2014,3
,140,Zomba 3,12,2014,3
,987,Zomba 3,11,2014,3
,47,Zomba 3,11,2014,3
,127,Zomba 3,11,2014,3
,47,Zomba 3,11,2014,3
,103,Zomba 3,11,2014,3
,40,Zomba 3,4,2015,3
,26,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,41,Zomba 3,12,2014,3
,23,Zomba 3,12,2014,3
,38,Zomba 3,11,2014,3
,100,Zomba 3,11,2014,3
,45,Zomba 3,11,2014,3
,60,Zomba 3,11,2014,3
,60,Zomba 3,11,2014,3
,80,Zomba 3,11,2014,3
,12,Zomba 3,12,2014,3
,42,Zomba 3,11,2014,3
,50,Zomba 3,12,2014,3
,34,Zomba 3,4,2015,3
,60,Zomba 3,12,2014,3
,40,Zomba 3,11,2014,3
,69,Zomba 3,11,2014,3
,60,Zomba 3,12,2014,3
,45,Zomba 3,11,2014,3
,70,Zomba 3,12,2014,3
,29,Zomba 3,12,2014,3
,56,Zomba 3,12,2014,3
,14,Zomba 3,12,2014,3
,40,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,136,Zomba 3,11,2014,3
,70,Zomba 3,11,2014,3
,32,Zomba 3,12,2014,3
,18,Zomba 3,12,2014,3
,61,Zomba 3,11,2014,3
,58,Zomba 3,12,2014,3
,78,Zomba 3,11,2014,3
,55,Zomba 3,11,2014,3
,20,Zomba 3,12,2014,3
,58,Zomba 3,12,2014,3
,64,Zomba 3,12,2014,3
,44,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,42,Zomba 3,12,2014,3
,76,Zomba 3,12,2014,3
,60,Zomba 3,11,2014,3
,35,Zomba 3,11,2014,3
,14,Zomba 3,12,2014,3
,116,Zomba 3,11,2014,3
,48,Zomba 3,12,2014,3
,28,Zomba 3,12,2014,3
,82,Zomba 3,11,2014,3
,25,Zomba 3,12,2014,3
,65,Zomba 3,12,2014,3
,28,Zomba 3,11,2014,3
,38,Zomba 3,12,2014,3
,38,Zomba 3,12,2014,3
,42,Zomba 3,11,2014,3
,30,Zomba 3,12,2014,3
,29,Zomba 3,11,2014,3
,38,Zomba 3,12,2014,3
,44,Zomba 3,11,2014,3
,62,Zomba 3,12,2014,3
,46,Zomba 3,12,2014,3
,23,Zomba 3,11,2014,3
,48,Zomba 3,12,2014,3
,36,Zomba 3,11,2014,3
,55,Zomba 3,11,2014,3
,39,Zomba 3,12,2014,3
,58,Zomba 3,12,2014,3
,14,Zomba 3,12,2014,3
,25,Zomba 3,12,2014,3
,63,Zomba 3,11,2014,3
,108,Zomba 3,11,2014,3
,63,Zomba 3,11,2014,3
,60,Zomba 3,11,2014,3
,28,Zomba 3,11,2014,3
,80,Zomba 3,11,2014,3
,45,Zomba 3,11,2014,3
,50,Zomba 3,11,2014,3
,40,Zomba 3,12,2014,3
,40,Zomba 3,12,2014,3
,37,Zomba 3,12,2014,3
,45,Zomba 3,12,2014,3
,14,Zomba 3,12,2014,3
,15,Zomba 3,12,2014,3
,10,Zomba 3,11,2014,3
,22,Zomba 3,12,2014,3
,51,Zomba 3,11,2014,3
,22,Zomba 3,12,2014,3
,29,Zomba 3,11,2014,3
,27,Zomba 3,11,2014,3
,52,Zomba 3,11,2014,3
,22,Zomba 3,12,2014,3
,35,Zomba 3,12,2014,3
,100,Zomba 3,11,2014,3
,48,Zomba 3,12,2014,3
,50,Zomba 3,12,2014,3
,85,Zomba 3,11,2014,3
,19,Zomba 3,12,2014,3
,16,Zomba 3,12,2014,3
,40,Zomba 3,12,2014,3
,40,Zomba 3,11,2014,3
,36,Zomba 3,11,2014,3
,61,Zomba 3,11,2014,3
,24,Zomba 3,12,2014,3
,35,Zomba 3,12,2014,3
,70,Zomba 3,11,2014,3
,31,Zomba 3,11,2014,3
,68,Zomba 3,11,2014,3
,68,Zomba 3,12,2014,3
,77,Zomba 3,11,2014,3
,125,Zomba 3,12,2014,3
,52,Zomba 3,12,2014,3
,9,Zomba 3,12,2014,3
,22,Zomba 3,12,2014,3
,65,Zomba 3,12,2014,3
,58,Zomba 3,12,2014,3
,77,Zomba 3,11,2014,3
,60,Zomba 3,11,2014,3
,29,Zomba 3,12,2014,3
,58,Zomba 3,11,2014,3
,223,Zomba 3,11,2014,3
,90,Zomba 3,11,2014,3
,31,Zomba 3,11,2014,3
,40,Zomba 3,12,2014,3
,12,Zomba 3,12,2014,3
,45,Zomba 3,12,2014,3
,50,Zomba 3,11,2014,3
,34,Zomba 3,12,2014,3
,104,Zomba 3,1,2015,3
,85,Zomba 3,11,2014,3
,42,Zomba 3,12,2014,3
,38,Zomba 3,11,2014,3
,80,Zomba 3,12,2014,3
,60,Zomba 3,11,2014,3
,56,Zomba 3,11,2014,3
,20,Zomba 3,12,2014,3
,26,Zomba 3,12,2014,3
,52,Zomba 3,12,2014,3
,37,Zomba 3,1,2015,3
,60,Zomba 3,1,2015,3
,18,Zomba 3,12,2014,3
,30,Zomba 3,12,2014,3
,28,Zomba 3,12,2014,3
,10,Zomba 3,11,2014,3
,11,Zomba 3,12,2014,3
,51,Zomba 3,11,2014,3
,49,Zomba 3,11,2014,3
,94,Zomba 3,11,2014,3
,50,Zomba 3,11,2014,3
,48,Zomba 3,11,2014,3
,22,Zomba 3,12,2014,3
,60,Zomba 3,11,2014,3
,41,Zomba 3,11,2014,3
,67,Zomba 3,12,2014,3
,42,Zomba 3,11,2014,3
,75,Zomba 3,1,2015,3
,85,Zomba 3,1,2015,3
,22,Zomba 3,11,2014,3
,21,Zomba 3,11,2014,3
,42,Zomba 3,11,2014,3
,55,Zomba 3,12,2014,3
,30,Zomba 3,11,2014,3
,38,Zomba 3,11,2014,3
,27,Zomba 3,12,2014,3
,77,Zomba 3,11,2014,3
,60,Zomba 3,11,2014,3
,60,Zomba 3,12,2014,3
,44,Zomba 3,12,2014,3
,20,Zomba 3,12,2014,3
,50,Zomba 3,12,2014,3
,55,Zomba 3,11,2014,3
,60,Zomba 3,11,2014,3
,25,Zomba 3,4,2015,3
,35,Zomba 3,11,2014,3
,96,Zomba 3,11,2014,3
,32,Zomba 3,11,2014,3
,51,Zomba 3,11,2014,3
,67,Zomba 3,11,2014,3
,93,Zomba 3,11,2014,3
,26,Zomba 3,12,2014,3
,126,Zomba 3,11,2014,3
,28,Zomba 3,12,2014,3
,27,Zomba 3,12,2014,3
,20,Zomba 3,12,2014,3
,38,Zomba 3,12,2014,3
,25,Zomba 3,11,2014,3
,54,Zomba 3,11,2014,3
,68,Zomba 3,11,2014,3
,40,Zomba 3,12,2014,3
,25,Zomba 3,12,2014,3
,31,Zomba 3,12,2014,3
,14,Zomba 3,12,2014,3
,50,Zomba 3,12,2014,3
,11,Zomba 3,12,2014,3
,28,Zomba 3,12,2014,3
,52,Zomba 3,12,2014,3
,45,Zomba 3,11,2014,3
,50,Zomba 3,12,2014,3
,59,Zomba 3,12,2014,3
,90,Zomba 3,11,2014,3
,55,Zomba 3,11,2014,3
,70,Zomba 3,11,2014,3
,52,Zomba 3,12,2014,3
,60,Zomba 3,11,2014,3
,45,Zomba 3,12,2014,3
,40,Zomba 3,12,2014,3
,82,Zomba 3,11,2014,3
,13,Zomba 3,12,2014,3
,56,Zomba 3,11,2014,3
,136,Zomba 3,11,2014,3
,292,Zomba 3,11,2014,3
,55,Zomba 3,11,2014,3
,112,Zomba 3,11,2014,3
,30,Zomba 3,12,2014,3
,46,Zomba 3,11,2014,3
,23,Zomba 3,12,2014,3
,120,Zomba 3,11,2014,3
,49,Zomba 3,12,2014,3
,16,Zomba 3,12,2014,3
,38,Zomba 3,11,2014,3
,45,Zomba 3,11,2014,3
,80,Zomba 3,11,2014,3
,47,Zomba 3,11,2014,3
,65,Zomba 3,12,2014,3
,28,Zomba 4,3,2015,3
,29,Zomba 4,3,2015,3
,90,Zomba 4,5,2015,3
,15,Zomba 4,3,2015,3
,40,Zomba 4,12,2014,3
,25,Zomba 4,12,2014,3
,49,Zomba 4,3,2015,3
,50,Zomba 4,3,2015,3
,44,Zomba 4,3,2015,3
,12,Zomba 4,3,2015,3
,65,Zomba 4,3,2015,3
,32,Zomba 4,3,2015,3
,32,Zomba 4,12,2014,3
,38,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,42,Zomba 4,3,2015,3
,27,Zomba 4,12,2014,3
,67,Zomba 4,3,2015,3
,60,Zomba 4,3,2015,3
,17,Zomba 4,12,2014,3
,85,Zomba 4,4,2015,3
,20,Zomba 4,12,2014,3
,28,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,20,Zomba 4,12,2014,3
,60,Zomba 4,3,2015,3
,26,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,114,Zomba 4,3,2015,3
,50,Zomba 4,3,2015,3
,50,Zomba 4,3,2015,3
,23,Zomba 4,12,2014,3
,17,Zomba 4,3,2015,3
,29,Zomba 4,12,2014,3
,38,Zomba 4,3,2015,3
,26,Zomba 4,3,2015,3
,22,Zomba 4,3,2015,3
,22,Zomba 4,3,2015,3
,35,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,16,Zomba 4,3,2015,3
,42,Zomba 4,3,2015,3
,15,Zomba 4,3,2015,3
,35,Zomba 4,3,2015,3
,48,Zomba 4,11,2014,3
,16,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,23,Zomba 4,4,2015,3
,20,Zomba 4,3,2015,3
,24,Zomba 4,3,2015,3
,16,Zomba 4,3,2015,3
,50,Zomba 4,3,2015,3
,30,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,44,Zomba 4,12,2014,3
,80,Zomba 4,4,2015,3
,40,Zomba 4,3,2015,3
,38,Zomba 4,3,2015,3
,24,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,22,Zomba 4,3,2015,3
,18,Zomba 4,4,2015,3
,52,Zomba 4,3,2015,3
,11,Zomba 4,12,2014,3
,30,Zomba 4,3,2015,3
,33,Zomba 4,3,2015,3
,41,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,10,Zomba 4,3,2015,3
,45,Zomba 4,3,2015,3
,48,Zomba 4,3,2015,3
,10,Zomba 4,12,2014,3
,18,Zomba 4,3,2015,3
,48,Zomba 4,4,2015,3
,28,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,12,Zomba 4,3,2015,3
,50,Zomba 4,3,2015,3
,22,Zomba 4,3,2015,3
,60,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,15,Zomba 4,3,2015,3
,30,Zomba 4,3,2015,3
,50,Zomba 4,12,2014,3
,25,Zomba 4,3,2015,3
,32,Zomba 4,3,2015,3
,19,Zomba 4,3,2015,3
,33,Zomba 4,3,2015,3
,60,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,54,Zomba 4,3,2015,3
,46,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,15,Zomba 4,3,2015,3
,43,Zomba 4,3,2015,3
,250,Zomba 4,12,2014,3
,10,Zomba 4,3,2015,3
,46,Zomba 4,3,2015,3
,16,Zomba 4,3,2015,3
,38,Zomba 4,3,2015,3
,25,Zomba 4,12,2014,3
,20,Zomba 4,3,2015,3
,42,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,58,Zomba 4,12,2014,3
,28,Zomba 4,3,2015,3
,25,Zomba 4,4,2015,3
,30,Zomba 4,3,2015,3
,35,Zomba 4,3,2015,3
,23,Zomba 4,3,2015,3
,13,Zomba 4,3,2015,3
,50,Zomba 4,3,2015,3
,7,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,43,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,31,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,42,Zomba 4,3,2015,3
,41,Zomba 4,3,2015,3
,60,Zomba 4,3,2015,3
,12,Zomba 4,12,2014,3
,14,Zomba 4,3,2015,3
,30,Zomba 4,3,2015,3
,41,Zomba 4,3,2015,3
,200,Zomba 4,12,2014,3
,43,Zomba 4,3,2015,3
,8,Zomba 4,3,2015,3
,52,Zomba 4,3,2015,3
,50,Zomba 4,3,2015,3
,45,Zomba 4,12,2014,3
,38,Zomba 4,3,2015,3
,69,Zomba 4,3,2015,3
,32,Zomba 4,3,2015,3
,24,Zomba 4,3,2015,3
,26,Zomba 4,3,2015,3
,16,Zomba 4,3,2015,3
,36,Zomba 4,3,2015,3
,63,Zomba 4,3,2015,3
,23,Zomba 4,12,2014,3
,35,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,30,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,15,Zomba 4,12,2014,3
,10,Zomba 4,3,2015,3
,29,Zomba 4,3,2015,3
,13,Zomba 4,3,2015,3
,70,Zomba 4,3,2015,3
,60,Zomba 4,3,2015,3
,21,Zomba 4,3,2015,3
,126,Zomba 4,12,2014,3
,20,Zomba 4,3,2015,3
,29,Zomba 4,3,2015,3
,16,Zomba 4,2,2015,3
,39,Zomba 4,3,2015,3
,65,Zomba 4,3,2015,3
,30,Zomba 4,3,2015,3
,22,Zomba 4,11,2014,3
,25,Zomba 4,3,2015,3
,11,Zomba 4,3,2015,3
,34,Zomba 4,3,2015,3
,24,Zomba 4,3,2015,3
,11,Zomba 4,4,2015,3
,19,Zomba 4,3,2015,3
,19,Zomba 4,3,2015,3
,22,Zomba 4,12,2014,3
,16,Zomba 4,3,2015,3
,90,Zomba 4,5,2015,3
,36,Zomba 4,3,2015,3
,48,Zomba 4,3,2015,3
,40,Zomba 4,3,2015,3
,200,Zomba 4,12,2014,3
,35,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,32,Zomba 4,3,2015,3
,22,Zomba 4,3,2015,3
,19,Zomba 4,3,2015,3
,45,Zomba 4,3,2015,3
,25,Zomba 4,12,2014,3
,16,Zomba 4,3,2015,3
,107,Zomba 4,3,2015,3
,20,Zomba 4,12,2014,3
,25,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,19,Zomba 4,3,2015,3
,48,Zomba 4,3,2015,3
,19,Zomba 4,3,2015,3
,29,Zomba 4,3,2015,3
,85,Zomba 4,4,2015,3
,24,Zomba 4,12,2014,3
,85,Zomba 4,3,2015,3
,19,Zomba 4,3,2015,3
,19,Zomba 4,3,2015,3
,40,Zomba 4,12,2014,3
,25,Zomba 4,12,2014,3
,75,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,347,Zomba 4,12,2014,3
,7,Zomba 4,3,2015,3
,29,Zomba 4,3,2015,3
,32,Zomba 4,3,2015,3
,96,Zomba 4,3,2015,3
,16,Zomba 4,3,2015,3
,18,Zomba 4,3,2015,3
,10,Zomba 4,4,2015,3
,90,Zomba 4,5,2015,3
,10,Zomba 4,3,2015,3
,35,Zomba 4,3,2015,3
,45,Zomba 4,3,2015,3
,24,Zomba 4,3,2015,3
,15,Zomba 4,3,2015,3
,20,Zomba 4,3,2013,3
,28,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,26,Zomba 4,3,2015,3
,27,Zomba 4,3,2015,3
,16,Zomba 4,3,2015,3
,40,Zomba 4,3,2015,3
,32,Zomba 4,3,2015,3
,42,Zomba 4,3,2015,3
,80,Zomba 4,3,2015,3
,40,Zomba 4,3,2015,3
,27,Zomba 4,4,2015,3
,46,Zomba 4,3,2015,3
,42,Zomba 4,12,2014,3
,16,Zomba 4,12,2014,3
,15,Zomba 4,3,2015,3
,38,Zomba 4,3,2015,3
,17,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,25,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,85,Zomba 4,3,2015,3
,47,Zomba 4,3,2015,3
,45,Zomba 4,3,2015,3
,20,Zomba 4,3,2015,3
,28,Zomba 4,3,2015,3
,45,Zomba 4,4,2015,3
,38,Zomba 4,3,2015,3
,75,Zomba 4,3,2015,3
,49,Zomba 4,12,2014,3
,46,Zomba 4,12,2014,3
,10,Zomba 4,12,2014,3
,24,Zomba 4,3,2015,3
,150,Zomba 4,12,2014,3
,20,Zomba 4,3,2015,3
,40,Zomba 4,3,2015,3
,28,Zomba 4,12,2014,3
