id,cem301_attendees_total,cem009_country,month,year,country,cem005_today
,17,1,10,2014,1,30oct2014
,18,1,6,2014,1,18-Jun-14
,25,1,1,2015,1,20-Jan-15
,16,1,6,2014,1,17-Jun-14
,19,1,6,2014,1,19-Jun-14
,15,1,12,2014,1,10dec2014
,51,1,12,2014,1,11dec2014
,18,1,6,2014,1,18-Jun-14
,14,1,6,2014,1,19-Jun-14
,12,1,6,2014,1,25-Jun-14
,16,1,6,2014,1,26-Jun-14
,19,1,6,2014,1,27-Jun-14
,12,1,6,2014,1,12-Jun-14
,20,1,6,2014,1,12-Jun-14
,15,1,6,2014,1,13-Jun-14
,19,1,7,2014,1,02-Jul-14
,16,1,6,2014,1,12-Jun-14
,25,1,6,2014,1,20-Jun-14
,10,1,6,2014,1,27-Jun-14
,22,1,6,2014,1,25-Jun-14
,16,1,6,2014,1,23-Jun-14
,24,1,6,2014,1,23-Jun-14
,12,1,6,2014,1,24-Jun-14
,30,1,1,2015,1,21-Jan-15
,15,1,1,2015,1,21-Jan-15
,31,1,12,2014,1,11dec2014
,17,1,6,2014,1,27-Jun-14
,19,1,6,2014,1,30-Jun-14
,18,1,6,2014,1,30-Jun-14
,16,1,12,2014,1,10dec2014
,16,1,6,2014,1,27-Jun-14
,22,1,1,2015,1,27-Jan-15
,33,1,2,2015,1,27-Feb-15
,13,1,5,2014,1,05may2014
,14,1,6,2014,1,05-Jun-14
,17,1,1,2015,1,12-Jan-15
,19,1,6,2014,1,04-Jun-14
,25,1,5,2014,1,27may2014
,16,1,5,2014,1,20may2014
,15,1,5,2014,1,06may2014
,6,1,5,2014,1,05may2014
,18,1,6,2014,1,06-Jun-14
,14,1,5,2014,1,13may2014
,7,1,5,2014,1,29may2014
,22,1,5,2014,1,26may2014
,10,1,5,2014,1,29may2014
,20,1,6,2014,1,03-Jun-14
,12,1,5,2014,1,22may2014
,19,1,5,2014,1,16may2014
,22,1,5,2014,1,20may2014
,19,1,5,2014,1,27may2014
,16,1,5,2014,1,19may2014
,15,1,5,2014,1,14may2014
,15,1,5,2014,1,13may2014
,23,1,6,2014,1,04-Jun-14
,10,1,5,2014,1,23may2014
,16,1,5,2014,1,06may2014
,21,1,6,2014,1,03-Jun-14
,16,1,5,2014,1,22may2014
,19,1,5,2014,1,19may2014
,16,1,5,2014,1,07may2014
,19,1,6,2014,1,05-Jun-14
,16,1,5,2014,1,09may2014
,16,1,5,2014,1,21may2014
,16,1,5,2014,1,15may2014
,15,1,5,2014,1,15may2014
,15,1,5,2014,1,22may2014
,14,1,5,2014,1,26may2014
,15,1,5,2014,1,28may2014
,13,1,6,2014,1,09-Jun-14
,15,1,5,2014,1,09may2014
,18,1,5,2014,1,08may2014
,16,1,5,2014,1,05may2014
,15,1,5,2014,1,07may2014
,18,1,5,2014,1,12may2014
,21,1,7,2013,1,16-Jul-13
,21,1,7,2013,1,11-Jul-13
,23,1,7,2013,1,11-Jul-13
,26,1,7,2013,1,16-Jul-13
,36,1,7,2013,1,11-Jul-13
,26,1,7,2013,1,13-Jul-13
,16,1,7,2013,1,10-Jul-13
,25,1,7,2013,1,10-Jul-13
,19,1,7,2013,1,16-Jul-13
,34,1,7,2013,1,16-Jul-13
,49,1,7,2013,1,16-Jul-13
,31,1,7,2013,1,16-Jul-13
,28,1,7,2013,1,10-Jul-13
,24,1,7,2013,1,10-Jul-13
,21,1,5,2013,1,14may2013
,41,1,7,2013,1,10-Jul-13
,26,1,7,2013,1,17-Jul-13
,44,1,7,2013,1,16-Jul-13
,23,1,7,2013,1,16-Jul-13
,37,1,7,2013,1,16-Jul-13
,23,1,7,2013,1,10-Jul-13
,37,1,7,2013,1,17-Jul-13
,47,1,7,2013,1,11-Jul-13
,18,1,7,2013,1,12-Jul-13
,17,1,7,2013,1,11-Jul-13
,40,1,7,2013,1,11-Jul-13
,34,1,7,2013,1,11-Jul-13
,18,1,7,2013,1,12-Jul-13
,31,1,7,2013,1,11-Jul-13
,31,1,7,2013,1,31-Jul-13
,24,1,7,2013,1,11-Jul-13
,19,1,7,2013,1,11-Jul-13
,23,1,7,2013,1,11-Jul-13
,17,1,7,2013,1,17-Jul-13
,18,1,7,2013,1,12-Jul-13
,24,1,7,2013,1,12-Jul-13
,20,1,6,2013,1,17-Jun-13
,22,1,6,2013,1,15-Jun-13
,23,1,6,2013,1,17-Jun-13
,23,1,6,2013,1,17-Jun-13
,16,1,6,2013,1,17-Jun-13
,26,1,6,2013,1,15-Jun-13
,20,1,6,2013,1,17-Jun-13
,32,1,6,2013,1,17-Jun-13
,20,1,6,2013,1,17-Jun-13
,20,1,6,2013,1,17-Jun-13
,24,1,6,2013,1,17-Jun-13
,16,1,6,2013,1,17-Jun-13
,18,1,6,2013,1,17-Jun-13
,29,1,6,2013,1,17-Jun-13
,41,1,6,2013,1,17-Jun-13
,23,1,6,2013,1,21-Jun-13
,29,1,6,2013,1,17-Jun-13
,29,1,6,2013,1,17-Jun-13
,16,1,6,2013,1,17-Jun-13
,25,1,7,2013,1,12-Jul-13
,28,1,7,2013,1,10-Jul-13
,23,1,7,2013,1,10-Jul-13
,20,1,7,2013,1,16-Jul-13
,32,1,7,2013,1,17-Jul-13
,21,1,7,2013,1,11-Jul-13
,23,1,7,2013,1,06-Jul-13
,26,1,7,2013,1,07-Jul-13
,16,1,7,2013,1,08-Jul-13
,18,1,7,2013,1,06-Jul-13
,17,1,7,2013,1,06-Jul-13
,23,1,7,2013,1,08-Jul-13
,18,1,7,2013,1,13-Jul-13
,30,1,7,2013,1,13-Jul-13
,21,1,7,2013,1,08-Jul-13
,21,1,7,2013,1,06-Jul-13
,26,1,7,2013,1,06-Jul-13
,22,1,7,2013,1,08-Jul-13
,19,1,7,2013,1,08-Jul-13
,18,1,7,2013,1,06-Jul-13
,19,1,7,2013,1,06-Jul-13
,30,1,7,2013,1,06-Jul-13
,16,1,7,2013,1,06-Jul-13
,26,1,7,2013,1,08-Jul-13
,26,1,7,2013,1,08-Jul-13
