id,vcs201_attendees_total,vcs011_prgrm,month,year,vcs009_country
,36,Zomba1,2,2014,3
,83,Zomba1,11,2013,3
,70,Zomba1,11,2013,3
,69,Zomba1,5,2015,3
,172,Zomba1,12,2013,3
,134,Zomba1,11,2013,3
,50,Zomba1,2,2014,3
,95,Zomba1,11,2013,3
,54,Zomba1,2,2014,3
,47,Zomba1,2,2014,3
,68,Zomba1,2,2014,3
,64,Zomba1,11,2013,3
,84,Zomba1,11,2013,3
,95,Zomba1,11,2013,3
,43,Zomba1,2,2014,3
,95,Zomba1,11,2013,3
,125,Zomba1,2,2014,3
,56,Zomba1,2,2014,3
,95,Zomba1,11,2013,3
,15,Zomba1,2,2014,3
,63,Zomba1,2,2014,3
,73,Zomba1,2,2014,3
,140,Zomba1,11,2013,3
,109,Zomba1,12,2013,3
,59,Zomba1,2,2014,3
,95,Zomba1,11,2013,3
,100,Zomba1,3,2014,3
,72,Zomba1,12,2013,3
,290,Zomba1,2,2014,3
,66,Zomba1,2,2014,3
,70,Zomba1,2,2014,3
,47,Zomba1,2,2014,3
,51,Zomba1,2,2014,3
,58,Zomba1,12,2013,3
,54,Zomba1,2,2014,3
,58,Zomba1,2,2014,3
,70,Zomba1,2,2014,3
,54,Zomba1,2,2014,3
,51,Zomba1,2,2014,3
,23,Zomba1,2,2014,3
,40,Zomba1,11,2013,3
,95,Zomba1,11,2013,3
,32,Zomba1,2,2014,3
,72,Zomba1,1,2013,3
,55,Zomba1,2,2014,3
,42,Zomba1,11,2013,3
,128,Zomba1,1,2013,3
,211,Zomba1,2,2014,3
,118,Zomba1,12,2013,3
,65,Zomba1,2,2014,3
,55,Zomba1,2,2014,3
,56,Zomba1,2,2014,3
,57,Zomba1,2,2014,3
,60,Zomba3,11,2014,3
,112,Zomba3,10,2014,3
,20,Zomba3,11,2014,3
,81,Zomba3,1,2013,3
,75,Zomba3,10,2014,3
,68,Zomba3,10,2014,3
,230,Zomba3,10,2014,3
,236,Zomba3,1,2012,3
,42,Zomba3,11,2014,3
,42,Zomba3,11,2014,3
,385,Zomba3,10,2014,3
,72,Zomba3,10,2014,3
,89,Zomba3,11,2014,3
,65,Zomba3,5,2015,3
,280,Zomba3,10,2014,3
,35,Zomba3,11,2014,3
,160,Zomba3,10,2014,3
,150,Zomba3,10,2014,3
,110,Zomba3,11,2014,3
,149,Zomba3,11,2014,3
,28,Zomba3,10,2014,3
,204,Zomba3,10,2014,3
,207,Zomba3,10,2014,3
,57,Zomba3,1,2013,3
,38,Zomba3,11,2014,3
,68,Zomba3,1,2013,3
,148,Zomba3,10,2014,3
,186,Zomba3,11,2014,3
,48,Zomba3,11,2014,3
,63,Zomba3,10,2014,3
,1224,Zomba3,11,2014,3
,55,Zomba3,11,2014,3
,30,Zomba3,10,2014,3
,80,Zomba3,11,2014,3
,16,Zomba3,11,2014,3
,94,Zomba3,10,2014,3
,135,Zomba3,10,2014,3
,100,Zomba3,10,2014,3
,89,Zomba3,10,2014,3
,142,Zomba3,11,2014,3
,235,Zomba3,10,2014,3
,505,Zomba3,10,2014,3
,122,Zomba3,11,2014,3
,93,Zomba3,11,2014,3
,44,Zomba3,11,2014,3
,61,Zomba3,11,2014,3
,200,Zomba3,10,2014,3
,36,Zomba3,11,2014,3
,400,Zomba3,10,2014,3
,196,Zomba3,10,2014,3
,250,Zomba3,11,2014,3
,186,Zomba3,11,2014,3
,87,Zomba3,11,2014,3
,500,Zomba3,10,2014,3
,200,Zomba3,10,2014,3
,72,Zomba3,11,2014,3
,56,Zomba3,11,2014,3
,102,Zomba3,11,2014,3
,133,Zomba3,10,2014,3
,380,Zomba3,10,2014,3
,53,Zomba3,10,2014,3
,82,Zomba3,10,2014,3
,163,Zomba3,10,2014,3
,63,Zomba3,11,2014,3
,550,Zomba3,10,2014,3
,96,Zomba3,10,2014,3
