ID,cem301_attendees_total,cem0_prgrm,month,year,country
,23,SRK,1,2012,2
,19,MBL,1,2012,2
,64,PLS,1,2012,2
,32,SRK,1,2012,2
,37,KBK2,1,2012,2
,32,SRK,1,2012,2
,53,MBL,1,2012,2
,55,KBK2,1,2012,2
,38,SRK,1,2012,2
,38,MBL,1,2012,2
,36,NTB,1,2012,2
,45,MBL,1,2012,2
,43,NTB,1,2012,2
,35,SRK,1,2012,2
,26,TRR,1,2012,2
,27,TRR,1,2012,2
,26,TRR,1,2012,2
,30,TRR,1,2012,2
,42,TRR,1,2012,2
,28,TRR,1,2012,2
,38,TRR,1,2012,2
,,TRR,1,2012,2
,56,SRK,9,2012,2
,46,TRR,12,2012,2
,40,TRR,12,2012,2
,22,KBK4,1,2013,2
,33,KBK4,1,2013,2
,38,KBK3,4,2013,2
,25,KBK3,4,2013,2
,68,KBK3,4,2013,2
,52,KBK3,4,2013,2
,35,KBK3,4,2013,2
,32,KBK3,4,2013,2
,48,KBK3,4,2013,2
,32,KBK3,4,2013,2
,44,KBK3,4,2013,2
,30,KBK3,4,2013,2
,19,KBK3,4,2013,2
,30,KBK3,4,2013,2
,23,KBK,4,2013,2
,22,KBK3,4,2013,2
,52,KBK3,4,2013,2
,21,KBK3,4,2013,2
,42,KBK3,4,2013,2
,30,KBK3,4,2013,2
,32,KBK3,4,2013,2
,25,KBK3,4,2013,2
,20,KBK,4,2013,2
,30,KBK3,4,2013,2
,17,KBK3,4,2013,2
,32,KBK3,4,2013,2
,22,KBK3,4,2013,2
,49,KBK3,4,2013,2
,32,KBK3,4,2013,2
,48,KBK3,4,2013,2
,37,KBK3,4,2013,2
,19,KBK3,4,2013,2
,38,KBK3,4,2013,2
,29,KBK3,4,2013,2
,44,KBK3,4,2013,2
,46,KBK3,4,2013,2
,26,KBK3,4,2013,2
,21,KBK3,4,2013,2
,23,KBK3,4,2013,2
,37,KBK3,4,2013,2
,39,KBK3,4,2013,2
,,KBK4,4,2013,2
,35,KBK3,4,2013,2
,33,KBK3,4,2013,2
,26,KBK3,4,2013,2
,28,KBK3,4,2013,2
,22,KBK3,4,2013,2
,29,KBK3,4,2013,2
,29,KBK3,4,2013,2
,54,KBK3,4,2013,2
,44,KBK3,4,2013,2
,39,KBK3,4,2013,2
,19,KBK3,4,2013,2
,21,KBK3,4,2013,2
,,KBK4,4,2013,2
,20,KBK3,4,2013,2
,26,KBK3,4,2013,2
,21,KBK3,4,2013,2
,21,KBK3,4,2013,2
,19,KBK3,4,2013,2
,19,KBK3,4,2013,2
,41,KBK3,4,2013,2
,32,KBK3,4,2013,2
,155,KBK3,4,2013,2
,59,KBK3,4,2013,2
,37,KBK3,4,2013,2
,61,KBK3,4,2013,2
,31,KBK3,4,2013,2
,24,KBK3,4,2013,2
,22,KBK3,4,2013,2
,31,KBK3,4,2013,2
,28,KBK3,4,2013,2
,30,KBK3,4,2013,2
,28,KBK3,4,2013,2
,45,KBK3,4,2013,2
,30,KBK3,4,2013,2
,31,KBK3,4,2013,2
,34,KBK3,4,2013,2
,19,KBK3,4,2013,2
,29,KBK3,4,2013,2
,38,KBK3,4,2013,2
,36,KBK2,4,2013,2
,21,KBK3,4,2013,2
,40,KBK2,4,2013,2
,24,KBK3,4,2013,2
,31,KBK3,4,2013,2
,30,KBK3,4,2013,2
,10,KBK3,4,2013,2
,31,KBK3,4,2013,2
,24,KBK3,4,2013,2
,20,KBK3,4,2013,2
,23,KBK3,4,2013,2
,75,KBK3,4,2013,2
,22,KBK3,4,2013,2
,36,KBK3,4,2013,2
,35,KBK3,4,2013,2
,22,KBK3,4,2013,2
,33,KBK3,4,2013,2
,43,KBK3,4,2013,2
,32,KBK3,4,2013,2
,42,KBK3,4,2013,2
,32,KBK3,4,2013,2
,33,KBK3,4,2013,2
,32,KBK3,4,2013,2
,31,KBK3,4,2013,2
,28,KBK3,4,2013,2
,28,KBK3,4,2013,2
,37,KBK3,4,2013,2
,68,KBK3,4,2013,2
,16,KBK3,4,2013,2
,38,KBK3,4,2013,2
,28,KBK,4,2013,2
,59,KBK3,4,2013,2
,41,KBK3,4,2013,2
,43,KBK3,4,2013,2
,48,KBK3,4,2013,2
,44,KBK3,4,2013,2
,33,KBK3,4,2013,2
,40,KBK3,4,2013,2
,35,KBK3,4,2013,2
,37,KBK3,4,2013,2
,38,KBK3,4,2013,2
,32,KBK3,4,2013,2
,21,KBK,4,2013,2
,36,KBK4,4,2013,2
,37,KBK3,4,2013,2
,58,KBK3,4,2013,2
,41,KBK3,4,2013,2
,27,KBK3,4,2013,2
,40,KBK3,4,2013,2
,54,KBK3,4,2013,2
,28,KBK3,4,2013,2
,55,KBK3,4,2013,2
,30,KBK3,4,2013,2
,40,KBK3,4,2013,2
,22,KBK3,4,2013,2
,54,KBK3,4,2013,2
,32,KBK3,4,2013,2
,35,KBK3,4,2013,2
,34,KBK3,4,2013,2
,29,KBK3,4,2013,2
,66,KBK3,4,2013,2
,35,KBK3,4,2013,2
,35,KBK3,4,2013,2
,55,KBK3,4,2013,2
,46,KBK3,4,2013,2
